Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4	LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003517824.1	27.50961	27.35706	27.46188	26.9394	26.774	27.73765	27.44721	27.56063	20.47819	28.05772	26.67533	26.25797	28.16504	27.0073	27.85246	27.9417	28.28656	28.46949	27.70114	27.86158	27.13239	27.99168	27.86221	28.04262	27.98186	28.1229	27.8614	27.18061
WP_003514917.1	20.42422	19.33272	18.89065	19.46067	19.00356	22.95741	18.78318	21.30033	22.62739	21.98647	20.00352	20.64485	28.45542	27.8659	28.15384	27.61882	28.87309	28.85574	27.96883	28.15839	28.41237	27.72934	28.49378	28.74097	28.86582	28.37907	29.15141	28.86887
WP_003518187.1	21.22304	20.92906	21.70663	22.0041	22.69298	22.31728	21.96666	21.05495	21.84568	20.2861	19.77584	20.94958	21.60607	21.36655	22.27028	21.00295	22.08157	21.59817	21.61475	21.61068	21.1819	20.4718	20.34811	20.93497	21.17429	21.51241	19.75733	21.89378
WP_003518528.1	19.28695	19.57267	26.06429	19.69608	24.26026	20.78637	25.00994	24.33853	20.93515	24.34911	20.32656	26.93817	24.93068	27.21952	19.19666	23.44485	25.70625	19.77703	20.24111	24.30752	20.21453	19.95268	23.74597	19.73985	26.95139	20.19571	20.28299	22.94641
WP_003512715.1	26.98215	26.60562	26.35378	26.605	26.92507	26.6249	26.19749	26.96795	26.36088	26.82549	26.34026	26.65406	24.35575	23.39596	25.19687	20.46878	21.48129	20.14164	23.56301	22.72331	20.06009	19.72311	20.06961	22.48223	20.41116	20.04078	20.75581	19.81926
WP_003512577.1	27.36939	28.3488	27.44011	27.67072	28.02965	27.58056	27.88989	28.06003	28.6474	27.79314	26.75815	29.24949	27.87232	28.41281	27.68474	27.29923	27.76448	27.64561	28.18771	27.81355	28.13485	28.33888	28.4852	28.24133	28.18888	28.57322	28.37101	28.35297
WP_003519665.1	19.52852	20.69245	19.58582	21.21892	22.66072	21.11988	23.78268	22.87447	22.87141	23.73173	20.29996	20.79144	23.21532	21.7073	22.12951	21.77331	21.51131	21.67641	21.30668	20.22676	23.21813	22.11626	22.27828	22.38029	23.66191	23.30275	22.75901	24.19269
WP_003512950.1	24.56996	24.38893	24.29825	24.51789	24.14342	23.92324	24.71202	24.38341	24.6652	24.36459	24.96045	23.19704	20.76093	21.14412	19.98736	20.012	20.21434	19.96247	21.83544	20.07265	20.8218	20.41304	23.11898	20.85248	20.87357	19.8145	20.22537	20.18143
WP_003512871.1	20.65587	20.03076	19.57651	20.79469	19.68785	20.13617	19.4887	20.14401	21.07394	20.40287	20.77141	19.09681	19.45186	19.97356	20.33984	20.32102	23.67551	23.62595	20.02231	19.84756	19.83453	20.2516	19.8444	20.1066	21.01401	20.33541	20.89942	20.02613
WP_003521254.1	24.15475	24.92701	24.30169	23.44373	23.83664	24.70464	23.79177	23.80625	19.46946	23.95198	22.90689	24.26999	23.95017	23.5116	23.79871	24.47446	24.49853	23.8547	23.26131	24.43071	23.88548	23.87806	23.851	24.57638	23.64483	24.30204	24.56064	23.64786
WP_003517223.1	19.98971	22.80571	19.80781	20.14551	19.67868	23.57872	23.33887	24.1446	22.93503	25.60172	20.9146	22.19808	20.21334	20.32684	20.18869	20.1052	20.0599	26.39233	20.52601	20.36573	20.35379	20.72698	20.36284	19.94934	19.39041	20.80398	19.23924	19.7993
WP_003512952.1	23.99589	24.16006	24.26806	24.37121	24.09077	24.73094	24.31594	24.88402	24.54099	25.27833	23.00458	24.32849	21.29952	24.18957	23.93882	23.75538	23.61862	23.67435	22.18639	23.88207	20.28308	20.86269	24.45141	21.29646	21.10484	20.36676	23.87125	21.08912
WP_003517648.1	26.5419	25.73012	24.83912	26.26265	25.92303	25.9199	26.10176	27.55066	27.92375	26.85336	26.48069	26.4151	26.72502	28.41571	27.9176	28.33459	28.27101	28.64869	28.28237	28.15075	28.04457	28.18141	28.14337	28.14234	27.72319	28.02243	27.63748	27.94784
WP_003513246.1	18.78031	18.82948	20.88726	23.62559	19.28973	20.90989	19.47925	20.48747	20.74115	20.85454	19.25927	20.88624	24.05074	20.17535	20.63666	20.9855	21.3142	20.82448	21.60597	21.42165	23.23244	21.34808	21.08564	21.00502	23.3291	21.2654	20.44092	20.74805
WP_003518938.1	26.173	26.85996	20.2494	18.96694	19.90636	18.95575	19.714	20.34019	22.82388	19.09823	21.0072	19.17946	20.55279	19.95409	19.96793	20.60203	19.83433	19.98529	20.97909	20.83184	20.82086	27.33397	20.82918	19.71964	19.4696	20.94629	20.99229	24.7783
WP_003514478.1	22.42663	22.11609	22.35444	25.55354	25.08634	20.6675	24.30774	23.39943	24.47124	23.04037	21.07158	22.95151	24.62256	20.46344	24.7698	22.72193	20.3536	19.75694	23.58419	24.09836	20.96272	24.25422	20.97082	20.24841	24.77073	24.31377	24.12891	22.1156
WP_003514025.1	20.53408	20.57148	24.69927	20.67601	20.96891	24.93695	20.80954	25.42753	21.16369	19.9002	19.34001	18.96605	26.16293	20.9216	26.24404	21.04893	20.82069	20.28263	26.06902	20.9734	19.32275	20.87136	19.33343	20.72405	19.26513	19.30108	19.32022	20.32147
WP_003518706.1	28.22376	28.54769	28.3096	28.17365	27.91389	28.4767	27.45907	27.10879	27.87067	27.97811	27.99988	28.27315	26.5513	26.24755	25.73151	25.86685	26.04178	24.9884	27.12835	27.01308	26.21948	26.27915	27.13643	27.57915	25.71748	25.52603	19.11115	26.26244
WP_003512565.1	25.73465	25.36061	24.65109	25.80399	25.74786	26.06804	26.03862	25.0749	23.75361	25.49222	23.47573	25.58678	24.37376	24.28723	23.92656	25.04526	23.15789	23.1015	23.982	23.97951	22.64721	22.78665	23.41436	22.77724	24.20285	24.56047	22.79506	23.78589
WP_003515445.1	27.00184	28.25732	28.51929	28.11986	27.51716	27.82972	29.18197	28.00022	27.01597	28.26218	28.16069	29.34556	27.94631	29.49957	28.04822	29.46946	28.25994	28.5832	28.07963	28.12247	29.18616	28.4766	27.90267	27.83251	27.90154	27.63464	28.15791	28.28701
WP_003516833.1	22.83111	19.87392	25.36082	25.42894	25.80102	22.3249	22.39326	20.12509	19.54772	25.14779	24.6786	26.08806	24.58702	24.32367	22.77131	21.18467	20.96255	20.75548	24.0091	23.63033	26.18651	19.20223	25.67961	20.86851	19.71806	21.03833	19.57428	20.79117
