Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4	LL1210_T1_rep1	LL1210_T1_rep2	LL1210_T1_rep3	LL1210_T1_rep4	LL1210_T2_rep1	LL1210_T2_rep2	LL1210_T2_rep3	LL1210_T2_rep4	LL1210_T3_rep1	LL1210_T3_rep2	LL1210_T3_rep3	LL1210_T3_rep4	LL1210_T4_rep1	LL1210_T4_rep2	LL1210_T4_rep3	LL1210_T4_rep4
WP_003517446.1	21.9716	23.40157	20.67742	21.70953	22.54251	22.7852	21.89325	23.82352	22.48639	23.75206	21.92392	22.72174	19.76812	18.40417	19.03663	18.62406	19.5239	18.70019	19.00975	18.80589	19.91896	19.08819	18.80222	18.65667	19.98067	19.22406	20.43487	19.22306
WP_003514104.1	21.96582	21.04675	22.69608	22.5552	24.23901	23.8885	24.32716	24.08913	23.83529	23.75406	23.10252	24.65194	22.11481	22.58822	21.13086	20.25982	18.88274	23.91655	19.72119	19.53778	18.75307	22.79573	24.00814	23.54446	22.70636	20.48593	22.05112	19.20744
WP_003513513.1	28.63109	28.71953	28.39353	27.88492	28.05553	27.9041	28.44436	28.49797	28.06991	29.21286	28.50696	28.81553	27.89271	27.92299	27.88534	27.77677	28.20584	28.2281	28.22068	28.25389	28.18498	28.57227	28.57621	28.41253	27.93984	28.26651	28.43594	28.44628
WP_003517181.1	25.79279	25.76555	26.19333	26.0558	26.53563	26.19296	26.09834	26.01957	26.71625	26.53482	25.24013	25.80375	28.0147	27.57907	28.47733	28.48477	27.76157	28.07725	27.78532	27.87747	27.72612	27.46022	27.69668	27.58391	27.76634	27.50793	27.81457	27.67825
WP_003518492.1	24.06313	24.44322	25.98258	26.19252	26.3445	25.13757	24.611	24.85897	24.74434	25.06764	22.97284	23.85241	21.23699	19.65282	20.88906	19.55693	21.02258	19.44268	19.09927	18.89798	20.29568	19.6306	19.53447	19.40353	18.82642	20.52035	20.46961	20.47235
WP_003517828.1	20.95621	19.68216	22.45777	21.27816	21.004	20.4968	20.65392	19.69356	19.52298	19.50416	20.49797	20.35706	19.8373	20.6484	19.82855	19.54206	20.77552	18.79361	21.17492	21.0333	19.47829	18.14759	18.89435	18.75064	20.35363	19.54605	19.48644	20.50686
WP_003517000.1	28.04054	28.76926	28.15163	27.71811	26.09866	27.49406	28.21069	27.20101	28.10998	27.89793	28.14786	29.07028	27.04955	27.61645	28.05388	27.94192	28.2589	28.37325	27.75336	27.99474	27.5884	27.38391	28.204	27.8655	27.51875	28.02025	28.0995	28.34932
WP_003517183.1	29.28728	29.58346	29.39854	29.28907	29.21509	29.03637	29.61139	29.79634	28.2759	29.44272	29.70858	29.90839	29.3232	29.68687	29.22473	29.03511	29.65232	29.70212	29.57423	29.39043	28.99154	29.2173	29.30437	28.983	29.30491	29.38943	29.60114	29.60689
WP_003511911.1	27.64488	27.12963	27.45866	27.34947	28.25194	25.85505	27.29211	25.9551	26.89544	26.76142	27.48154	27.20256	28.42047	27.15414	27.93781	27.63194	28.33596	28.07241	27.26592	28.38988	28.61384	27.95378	27.17808	27.76834	26.3612	27.32131	27.22528	27.32793
WP_003517022.1	24.43814	24.12949	24.15872	23.70561	24.44491	24.34275	24.13998	23.44105	23.16508	23.65266	22.4641	24.10123	23.75674	24.38621	24.1871	23.66749	22.96061	23.38222	23.10114	22.0599	22.84101	23.44412	21.03075	23.92785	24.09489	18.14598	23.88629	24.9879
WP_003513428.1	27.30498	27.21804	27.39206	27.36611	27.60624	28.20062	26.99435	27.03003	27.84537	27.77863	27.38706	27.6794	26.62256	26.15251	26.25662	26.5696	26.68548	26.5921	26.19709	26.58647	26.55902	27.09695	26.83497	27.09381	26.47852	26.36229	26.58103	26.87252
WP_003517888.1	20.38998	22.83746	22.87637	21.80148	19.28148	21.13452	24.86962	23.49151	20.56208	20.90113	23.78126	22.76919	25.39679	25.41685	25.24896	25.15765	25.66976	25.6432	25.33926	25.68192	25.08627	25.6855	25.74472	25.40565	25.37892	25.29763	24.42434	25.25165
WP_003519503.1	19.82281	26.71717	20.18759	19.59764	19.81115	19.79362	19.96555	24.16161	19.58001	20.02199	21.55197	18.98102	21.16373	19.34215	19.60234	20.74558	19.69191	20.95987	20.93527	20.78676	19.67141	27.69365	20.78408	20.92964	28.22143	19.83173	28.31311	19.5302
WP_003519075.1	23.51023	22.96514	24.00679	23.2304	23.95835	23.85586	23.19896	22.8814	22.46585	23.21058	22.2131	23.02739	23.39826	24.30756	23.14638	23.36654	21.59722	21.96694	22.32169	22.43274	20.70508	21.9435	22.47282	20.67805	22.72536	22.92733	22.95764	21.83394
WP_003517002.1	26.56296	27.15908	26.58204	27.03044	26.67506	26.54644	26.53192	26.96066	26.06483	27.14874	25.99945	26.90145	26.76666	26.45287	27.25447	27.19269	26.85192	26.9278	26.89639	27.09948	27.11356	26.43095	27.22091	27.28488	26.8525	27.18152	27.06419	26.46756
WP_003516256.1	25.76352	24.91019	25.14565	25.30696	25.61354	24.99925	25.54447	25.463	19.85697	25.37089	25.54777	25.49067	26.11422	24.36674	25.70808	26.05981	26.11751	25.99835	25.36936	25.33378	18.89193	26.00477	25.50192	24.78465	26.44218	26.02271	24.68229	25.97528
WP_003512078.1	25.24041	24.85877	24.88494	25.62917	25.43946	24.18876	25.12872	21.17972	20.98717	27.20054	19.05005	19.53173	24.50049	25.53671	25.69147	24.80632	25.71323	25.86319	27.17141	27.42563	18.44971	25.34193	25.29802	25.91214	25.82507	24.10267	25.59426	26.30958
WP_003511931.1	20.35919	19.80937	19.50694	19.90174	21.90362	19.91863	19.63335	19.76355	19.34031	22.46215	20.05344	18.02606	20.32898	19.86493	18.42151	23.80777	19.46077	20.70975	19.88416	23.20538	23.74253	22.10241	19.70222	22.55174	19.5444	20.0104	18.07365	18.12675
WP_003514651.1	29.68839	29.84772	30.20616	30.09752	30.46658	30.681	30.71443	30.77441	31.015	31.3298	30.48223	29.98947	30.15554	29.62633	30.46877	29.70682	30.12597	30.01549	30.23839	30.28813	29.26869	29.93391	28.98194	29.79504	29.35597	29.32915	29.87977	29.49876
WP_003512932.1	26.33322	26.09858	23.79008	24.12226	20.10527	25.24101	19.64814	21.10559	21.23307	25.51756	19.31449	19.79264	20.51368	18.43562	21.53266	20.77842	18.25422	19.61277	19.65996	19.70544	21.32555	19.88759	19.47145	19.57462	19.73559	18.90417	19.77473	19.81658
WP_003513418.1	28.09273	27.6126	27.65243	27.79659	27.58299	27.44473	27.50962	27.72407	27.94141	27.45259	27.52682	27.91452	27.12125	26.48375	27.93694	27.66011	27.51649	26.80184	26.88838	27.61522	27.66652	27.2977	27.47383	27.4784	27.71897	27.44561	27.48682	27.59457
WP_003516528.1	27.51219	29.2838	28.61511	28.95049	28.86973	28.14268	27.43252	28.46892	28.76054	28.70711	28.85557	28.98198	29.09998	29.41162	29.89028	29.35995	29.51059	29.78332	29.3714	29.30335	29.91556	29.19629	28.87483	29.64707	29.1877	29.00178	29.134	29.60716
WP_003512074.1	29.12654	29.74535	29.49271	29.71874	29.29692	29.06395	28.97685	29.24361	28.72347	29.48276	29.14439	29.88108	29.46507	29.53896	29.31225	29.12051	29.43166	29.52755	29.43654	29.44922	29.34822	29.48889	29.44996	29.4478	29.06736	29.00916	29.48668	29.38812
WP_003513065.1	24.6547	24.03881	23.56768	21.90043	26.03156	24.47668	20.44458	23.43694	27.04244	22.92983	23.40647	23.81276	20.30739	20.11261	19.66735	19.84916	19.52719	19.37877	18.4896	19.47479	20.3523	19.13991	18.26684	19.33925	18.96389	19.53983	19.95502	19.99568
WP_003519059.1	31.14502	30.83558	30.78611	31.03084	31.09544	30.9038	30.66262	30.50519	31.10588	30.85911	31.14854	31.11905	30.80722	31.42702	31.39943	31.45209	31.53682	31.61167	31.27782	31.46229	31.57244	31.50695	31.27034	31.6262	31.5571	31.51418	31.68914	31.51846
WP_003512072.1	24.85404	24.49867	25.08317	24.23733	24.6077	25.63978	24.1002	25.07719	25.16575	25.88142	25.2786	24.56681	24.55026	22.15834	24.14351	26.02503	25.18372	24.53317	26.02782	25.39991	24.32934	25.42161	25.36598	24.81328	22.90732	24.08194	24.22648	24.31543
WP_080514909.1	21.01257	20.05041	20.77488	19.30918	19.53216	29.6084	27.22415	20.26102	24.00918	20.21651	27.87232	24.76582	20.2945	19.392	27.99342	18.51383	20.54217	18.15732	19.72439	28.01473	19.17294	28.14853	23.85183	18.11061	28.41773	19.8992	18.83873	28.31367
WP_003518229.1	25.41852	24.60878	25.58238	27.12977	27.31037	25.93193	23.80898	25.86544	24.79429	19.99925	20.38651	25.91359	26.76426	26.19191	26.45029	25.70358	19.21047	19.44601	25.43669	25.28741	25.51327	25.19625	23.20613	23.9679	18.52608	18.72958	19.48017	18.88678
WP_003517016.1	27.23717	25.7714	25.81279	25.73945	26.50548	26.8455	26.37484	24.93452	21.56729	28.42888	22.45787	24.74705	24.65392	24.01633	22.5968	23.75103	23.17634	23.04196	22.1489	23.12424	27.23315	23.30827	22.86917	25.14231	26.63958	22.29382	22.80532	26.07973
WP_003519067.1	30.36518	29.96787	29.04075	29.50759	30.55931	30.08914	30.17544	29.73586	20.45925	28.69958	28.60195	30.64601	29.67406	30.97946	29.85759	29.11524	29.95822	30.49305	29.508	29.91519	29.17979	29.75834	29.18866	30.21057	29.48669	30.27262	29.61503	29.86772
WP_003518135.1	19.63875	19.33094	20.32318	21.17951	21.34109	20.15547	19.49078	23.40873	17.96945	19.98568	19.37331	19.03354	19.69864	19.37676	23.68481	20.12164	23.31285	23.61011	20.70892	23.63895	20.5479	23.79679	19.53776	19.40688	24.08487	23.90934	19.84281	19.52397
WP_003514216.1	25.15866	23.39048	23.38521	22.93421	22.00039	23.79544	23.6894	25.46132	25.35772	23.32458	19.65905	24.48711	23.89834	23.85981	23.10006	23.08067	23.92704	20.47352	23.04908	23.36876	25.49497	22.33716	23.46403	23.17275	23.65164	22.78586	21.67578	22.61587
WP_003517014.1	25.98066	29.07137	26.09235	26.281	26.38602	29.01371	28.06287	27.33411	27.62449	27.02706	29.15417	26.73675	26.55127	26.97269	27.51262	27.52617	26.84724	26.93779	28.24753	27.64205	25.97022	27.61817	26.67369	26.26764	26.94941	26.33426	27.85761	27.90856
WP_003513600.1	25.78842	25.87573	25.71339	25.892	19.95062	22.3345	25.10356	26.12237	25.57827	25.12679	23.89526	25.58113	23.54985	24.82653	23.44957	20.29205	22.77619	23.83055	24.32472	23.91059	18.15641	19.12409	24.17914	24.81831	23.35384	20.27712	23.72784	23.94073
WP_003513515.1	29.70542	29.72762	29.52253	29.06867	29.71741	29.61499	29.77364	29.48388	29.87749	29.80786	29.72724	30.23886	29.54214	29.59435	29.58134	29.13297	29.4835	29.53589	29.78431	29.64228	29.8338	29.97244	29.93555	29.85202	29.4301	29.37244	29.6877	29.81616
WP_003516504.1	24.57958	24.50686	24.73585	23.5566	23.84639	23.54297	24.53422	23.65569	20.0356	19.35812	23.15937	24.31771	22.82111	20.61061	22.51915	19.23697	19.74343	19.12538	19.41717	18.27078	20.8131	20.4043	20.82244	23.23274	21.85973	19.45712	18.66255	19.88421
WP_003514890.1	23.71422	18.82524	21.75764	23.72681	23.74103	19.4485	19.06972	23.20823	19.75882	21.90984	23.87376	19.01748	23.7824	20.64427	24.15355	23.92056	18.28628	23.45051	23.55196	23.06433	21.51997	23.07485	20.55111	20.44043	22.61135	23.61614	23.42302	18.71176
WP_003512797.1	24.16276	27.34277	27.56884	23.98509	23.00994	22.23294	27.26033	24.12062	21.9573	24.328	23.35307	23.43388	24.79759	25.23176	24.5899	19.84323	24.77372	25.30844	23.4882	24.70766	24.68966	24.61021	24.29089	24.77938	24.49765	24.83417	25.07976	23.66839
WP_003516266.1	24.94816	24.06576	19.9382	24.49422	24.64962	24.93602	25.7208	25.75595	26.09468	24.45255	26.51205	24.02393	24.37504	25.4389	25.88756	25.41522	26.36614	26.51837	25.19284	26.09737	26.67506	26.43669	26.73706	27.04078	26.60948	26.35604	26.30483	26.52965
WP_003517018.1	27.97783	27.4826	27.79902	27.5633	27.74206	27.53112	27.55779	27.52261	27.7438	27.86586	27.28669	27.66394	28.23655	28.69417	27.81974	27.92684	28.14112	28.37613	28.45729	28.62298	28.28932	28.27434	28.12723	28.74949	27.9995	28.17665	28.23075	28.28007
WP_003513430.1	26.2539	25.89365	26.2389	26.67279	26.87775	27.49628	27.47049	27.85514	26.56874	27.36466	27.03695	26.78617	26.91662	26.70169	27.57639	27.30414	26.80679	28.38591	26.38398	27.91464	29.28311	28.95461	28.9931	28.9604	28.68008	29.04583	29.05643	28.7304
WP_003518239.1	27.90169	28.40656	28.34754	28.32182	28.53415	28.72978	28.38253	28.86444	28.91693	29.42442	28.25595	28.64721	27.49884	27.63523	27.45864	27.70495	27.66832	27.70886	27.66152	27.80946	27.46691	27.5426	27.77915	27.81908	27.68021	27.66531	27.62353	27.55205
WP_003517033.1	26.02031	26.05305	25.25116	25.49755	25.30845	25.98065	25.54781	25.92262	25.27672	25.63267	24.57525	25.42895	25.44223	25.1854	25.95973	25.73833	25.33817	25.29449	25.16136	25.23068	25.12621	25.21678	24.79746	25.01933	25.00047	24.7343	24.1755	24.82092
ADU74289.1	28.89355	28.91599	28.46896	28.44574	28.7421	27.6806	28.58386	28.22839	27.92361	28.55932	28.07314	28.46702	28.11984	28.02428	28.78256	28.2956	27.9764	28.2532	28.29626	27.83949	28.54338	28.50697	28.6223	28.60244	28.39187	28.42535	28.64262	28.52429
WP_003512219.1	26.33977	27.28315	27.29967	26.63868	26.75787	27.9353	27.97577	27.58737	20.28808	26.7768	29.71849	28.7621	28.15635	29.49012	29.42411	29.57061	28.42972	28.61078	28.03496	29.01	26.64841	27.71088	28.31329	28.48266	27.05884	28.88658	26.78426	26.78322
WP_003514851.1	29.10315	28.62634	29.04175	28.98834	29.02121	28.30315	29.27211	29.28914	28.94727	29.62797	29.56886	29.11377	29.83745	29.89562	29.89418	29.83777	30.09633	30.15396	29.69739	30.13321	30.29978	30.17935	29.99033	30.17579	30.0585	29.82539	30.29553	29.45956
WP_003514776.1	22.02944	19.6429	19.89902	23.95969	20.46717	18.95157	21.53266	20.44789	22.78622	22.41898	20.82507	20.31725	20.14368	19.6916	20.66068	20.18599	19.99594	19.66492	19.93414	19.54107	20.54995	20.43923	19.22155	21.19419	20.40969	19.65085	20.22416	20.26304
WP_003513814.1	25.07479	25.20683	25.57861	26.01591	24.6329	25.53858	26.43893	26.05656	26.01293	26.49336	24.48159	25.23577	25.35573	23.6032	25.65401	24.93015	25.28151	25.19814	25.151	25.82944	24.14294	23.05018	25.31137	25.14217	23.01715	23.54289	24.1521	24.17133
WP_003513630.1	23.53709	23.6269	24.20317	24.00579	24.26056	24.34924	23.95303	23.68298	23.51782	24.09159	27.23508	23.3966	25.53684	25.48056	26.44918	24.51373	25.5985	25.62904	24.4527	25.6066	25.45227	24.66709	25.41002	26.76188	26.80045	26.64301	25.16442	26.72779
WP_003516262.1	23.30473	19.21833	23.17175	19.74184	20.76235	19.75505	19.61584	20.23917	19.54906	25.46699	19.12602	20.35271	18.91829	18.32262	19.35738	19.07044	19.26129	18.18978	18.52069	23.10621	21.59417	19.45076	19.75365	19.08437	19.2421	23.82251	23.20455	23.67182
WP_003513022.1	19.76683	20.06359	20.63267	21.08143	20.28019	19.33784	19.91909	21.24286	19.27963	19.82684	21.07877	20.10538	20.01114	20.38317	20.90369	20.49352	21.78068	21.05404	20.17907	20.58619	20.76801	20.6371	18.29884	21.16149	20.60334	18.86888	21.8198	19.44106
WP_003512076.1	29.59642	28.91326	28.48106	29.41402	29.13494	29.03313	29.31696	29.23597	29.25888	28.75641	29.03763	29.37444	29.76232	28.64442	29.37803	29.32097	29.44569	29.49704	29.71577	29.55056	28.60459	29.11407	29.4658	29.41817	28.23839	29.19001	29.02545	28.50677
WP_003516465.1	27.93853	28.1221	27.38289	28.40096	27.51924	28.14374	28.22485	28.2746	26.10898	27.15512	28.27924	27.52921	28.71689	28.03691	28.3136	28.09808	27.546	28.28787	28.40726	28.24642	27.16499	27.52851	28.37263	28.0431	26.97035	27.68352	28.15839	27.91645
WP_003519430.1	22.21528	21.96815	22.65646	23.02959	22.72904	22.22225	22.49511	20.22614	22.31289	18.53628	22.70283	19.34914	19.21077	21.1576	19.87897	21.84896	19.24575	21.21259	19.46646	20.5539	19.11547	18.03034	20.00575	19.62708	18.23572	21.69829	21.1986	19.63526
WP_003513536.1	23.80238	23.80727	23.95201	24.12945	24.32192	24.07627	24.85919	24.34195	25.50904	25.03351	21.92792	25.24314	24.09454	24.11799	24.16653	24.36325	22.98676	23.66619	24.16251	23.41544	24.38974	21.80944	22.9152	22.88236	24.97005	25.11123	24.74624	24.52896
WP_003513628.1	20.00949	22.65559	20.0896	23.45263	19.6102	20.16843	23.11134	19.62325	21.25595	20.9871	20.28043	22.86457	19.90204	19.97094	18.45288	20.54643	20.50364	19.92055	19.45139	19.22502	20.10955	19.7406	19.27229	18.14326	20.86588	18.42525	19.39671	18.8514
WP_003513072.1	24.11974	23.92403	23.84167	24.10449	22.58809	23.16668	22.56036	23.78275	19.93263	23.84431	22.87399	23.84011	25.32562	25.00168	24.57309	24.46264	24.60228	25.11121	24.75645	24.72471	24.4289	24.43791	24.69514	23.97609	24.85647	24.30885	24.75859	24.35015
WP_003518237.1	24.73431	24.50261	22.92444	23.60577	24.57015	23.97349	24.98343	24.49031	24.09137	24.06855	26.82241	24.60206	24.00944	22.7128	23.79408	24.11115	25.27374	24.06317	24.99921	24.26909	23.80154	23.2717	24.58442	23.53933	24.19796	25.68533	22.5063	24.11011
WP_003515613.1	23.8434	23.44819	23.18098	24.13968	22.50799	23.43729	23.48199	20.07354	20.97414	19.68725	21.86189	23.60322	23.54469	20.14564	26.59234	22.36184	21.85785	19.17683	20.67155	22.51036	19.37745	19.92187	26.84704	19.8842	27.27613	23.178	19.5922	23.25978
WP_003517043.1	25.03855	25.0019	25.76276	25.71917	24.77392	25.51516	25.06666	25.23036	23.87058	25.3835	24.7871	24.56251	24.85887	23.00489	24.42512	24.29346	23.85684	23.96966	23.89418	24.35315	25.78053	24.3486	24.89829	24.6297	24.28042	24.69485	24.95112	23.80152
WP_003517211.1	24.77242	19.62967	26.07784	22.46762	24.93894	25.13751	25.19656	24.90144	26.8679	25.09261	26.48379	26.57485	23.5537	19.06398	24.46945	21.63279	24.04074	23.85428	22.42926	24.35029	26.85489	25.84106	24.27093	25.53924	22.61973	21.83304	25.38072	18.40669
WP_003518639.1	27.18971	27.30079	27.7436	27.26243	27.20224	27.42344	27.02437	27.06646	27.10759	26.99422	26.73299	26.93123	26.78729	26.84028	26.86145	26.93061	26.9092	26.42949	26.70992	27.15664	26.19866	26.64954	26.89047	26.83455	27.09642	26.79394	26.90877	27.29508
WP_003513915.1	26.24357	26.25786	26.62043	25.98159	25.3408	26.67554	26.46495	25.26022	25.9198	26.61303	25.38336	25.89672	27.23864	25.6819	26.51663	27.4558	27.02936	27.61512	26.78439	26.91902	27.05698	27.14584	26.81286	26.93004	27.43295	27.2333	27.45733	26.9935
WP_003518225.1	26.62037	26.29191	26.33967	26.06556	26.31418	26.43289	26.08925	26.25913	26.02836	26.04083	26.52851	25.31292	24.53822	24.11474	25.35514	25.13932	25.01594	25.46308	25.32908	25.81021	25.08061	25.86712	25.71197	25.78052	25.24896	24.56232	25.56109	25.64288
WP_003517548.1	25.45557	25.51384	25.87469	25.47801	25.34999	25.38406	25.67128	25.86859	20.63278	25.40982	25.36889	25.29243	23.41863	23.93361	22.80513	24.74436	24.79853	23.59067	23.38488	24.92566	24.43047	23.96343	24.99671	25.04982	23.86262	24.41213	24.70665	24.19725
WP_003516178.1	19.28516	19.38072	23.07245	22.94301	22.99068	19.74204	25.44019	25.62371	20.73226	18.84432	17.71172	23.02167	24.30663	24.52604	25.55362	19.76435	23.07506	22.55368	23.29311	25.28155	20.43953	23.35521	22.67032	23.43938	22.4917	23.86595	23.1648	23.86051
WP_003514587.1	31.20109	31.17217	30.57212	30.29892	30.14075	29.29646	28.15309	28.9632	29.76538	30.1874	30.61945	30.67836	30.86842	31.35755	30.88729	31.14368	31.06776	31.15255	31.35706	31.17807	30.60688	30.93933	31.01509	30.9957	30.88363	30.97594	30.86544	31.35757
WP_003516105.1	25.96811	25.74375	26.15531	25.63852	26.60531	26.10235	25.71464	25.90367	25.46745	25.96169	25.05963	25.22273	26.44244	26.13141	26.28762	26.22314	25.97493	25.54069	26.95997	26.64123	24.28362	24.28386	26.46105	25.83585	22.31608	24.03056	23.43204	20.31998
WP_003512705.1	23.9621	24.41503	24.36296	24.14315	24.22475	24.93419	24.52102	24.7576	24.28797	24.60493	24.34045	24.99002	23.99371	21.76809	23.55534	19.94912	23.78237	23.76646	24.45485	22.91813	19.43574	18.79956	23.75267	23.13378	22.27099	20.33393	22.73393	19.13399
WP_003515625.1	26.86222	26.54376	26.30153	27.0482	26.36985	26.50409	27.06335	27.20083	26.70533	26.79123	26.21673	26.41376	26.94194	26.48681	26.64429	26.33299	26.56059	26.79107	26.22205	26.35092	26.65211	26.86426	26.88431	26.78284	26.60343	26.99559	26.54783	26.69143
WP_003514694.1	22.70915	23.64919	22.59553	20.27592	23.85279	22.83065	21.72648	21.63946	22.09368	22.52375	19.84335	17.90701	24.45744	24.2942	24.99412	23.10618	24.41907	24.94005	24.68385	24.05156	23.6992	24.49956	24.39457	23.92025	23.63564	24.49466	24.54549	24.42023
WP_003513388.1	28.98053	26.52269	25.9104	29.19178	26.60752	28.7382	28.86362	24.82785	28.37464	25.8871	28.70772	29.36389	25.0428	28.74617	28.54579	24.01419	28.36971	29.06349	28.91022	28.804	25.57627	28.61466	23.9225	28.74367	23.429	25.27301	29.04566	23.98746
WP_003517496.1	23.49674	19.07948	22.20463	23.66825	20.85829	19.49741	19.32818	23.27984	19.97583	22.64298	19.5578	19.6434	19.29775	19.68552	20.1261	19.20331	20.53796	19.1611	20.70483	19.75685	19.71882	21.18461	19.25678	19.13612	21.5657	19.15079	18.80312	20.51668
WP_003515331.1	18.77603	20.95335	20.60319	20.58113	24.09975	19.2014	23.24402	28.18387	23.68882	19.57235	20.10383	23.75392	21.31457	27.48665	19.40712	23.15957	19.56673	20.43452	19.76274	18.30277	20.87403	19.44446	20.51264	19.12029	20.60537	20.53015	18.35545	18.11175
WP_003514696.1	24.75891	23.60747	23.12187	23.85695	23.95602	21.04274	23.59199	24.33662	23.18177	24.66304	22.96273	24.00543	22.85868	24.8416	23.81414	24.72561	25.32212	25.15737	24.82141	25.26377	19.19074	25.24253	23.15235	25.90621	24.84179	24.0976	25.3588	25.14059
WP_003512048.1	28.51758	28.26037	28.13489	28.29943	27.59958	27.93464	27.86116	28.19918	27.97631	27.91049	28.13856	28.20103	28.10458	28.81276	28.73209	28.72144	28.66701	28.32166	28.88737	28.41747	28.0418	28.85857	28.97069	28.37001	28.25921	28.64373	28.59636	27.90718
WP_003515648.1	26.21975	26.19781	26.21169	25.55975	26.33603	25.04617	25.36607	25.6098	25.42857	25.60736	26.14807	25.90366	24.0573	23.81176	19.39191	18.78018	24.19246	20.46926	25.15999	24.16149	23.89174	23.63204	20.5469	20.4012	25.02178	18.13102	24.75616	23.95803
WP_003516984.1	29.66694	29.24194	29.35608	29.36822	29.36593	29.12864	29.14086	29.25657	29.32981	29.49112	28.96338	29.57074	28.98281	29.03382	28.77944	28.59352	29.01656	29.1832	28.94692	29.54985	29.61298	29.65925	29.24292	29.56707	29.21747	29.30022	29.35312	29.48325
WP_003514690.1	28.68694	28.63301	28.70148	28.70401	28.9669	29.22937	28.29099	29.44197	29.37198	28.76135	28.15873	29.26419	28.94906	28.46604	28.94371	29.26719	29.07434	28.89071	29.20474	28.42519	28.99716	28.80088	29.2333	29.20583	29.0069	29.21387	29.10105	29.24796
WP_003520661.1	25.61028	28.39848	28.09394	25.20468	25.49313	28.94982	27.46049	26.72111	20.18373	25.67256	19.34139	19.82744	27.58953	26.44557	27.81203	26.53296	25.52769	26.02899	27.90285	26.4353	24.645	24.0465	26.25126	25.81711	21.63916	20.79619	23.35529	20.78337
WP_003517492.1	22.3558	23.55199	24.84405	23.7289	23.69847	22.35683	23.52437	22.64597	22.50958	27.4069	20.719	21.53977	23.99565	23.08921	23.38785	27.53712	24.38313	23.39688	22.75985	22.89794	23.56621	23.36598	22.84555	22.91209	23.22282	21.84655	22.68546	22.45639
WP_003519055.1	31.8392	31.62201	32.28429	30.05411	30.85088	31.96959	32.1489	30.78458	32.17321	32.54927	33.13728	33.24046	31.3389	32.01244	33.08669	32.77763	33.46232	33.85592	33.27311	33.4605	33.2038	33.49788	31.5153	33.46371	31.77297	31.47326	33.55453	31.41779
WP_003518876.1	25.85158	26.00069	25.12164	25.69814	26.29355	26.46088	25.81718	26.28459	26.19387	25.98048	25.07248	26.76158	27.37616	27.41425	27.38198	27.14369	26.91466	26.79321	27.29039	26.86907	26.66189	26.5414	26.7735	27.0653	25.94321	26.81058	26.62107	26.53792
WP_003519057.1	27.62713	27.17334	30.25778	29.90301	30.2045	27.68901	28.74912	28.69839	27.95157	28.08059	27.86123	27.6488	27.86338	26.58157	27.81206	27.97067	27.40231	27.64091	28.2191	27.92493	26.06718	26.26392	27.16332	26.81744	25.22635	26.62549	25.09366	25.60612
WP_003515646.1	23.04437	22.9339	22.37075	22.85183	22.49504	22.20288	21.37394	22.05058	23.28281	22.96733	21.85156	23.46336	21.08171	22.76342	21.2796	20.60061	20.9382	22.6582	21.83523	20.00882	22.04604	22.30435	23.25763	23.12674	19.1852	22.25966	23.41243	22.71636
WP_003513565.1	28.58151	27.87267	28.51138	26.85956	26.37046	27.55644	27.99086	27.57831	26.77983	27.12994	26.22418	27.49549	28.00578	27.43286	27.46493	27.77326	28.45709	27.79084	30.01142	27.92132	27.91488	27.2006	27.07143	26.44086	26.15717	26.15449	27.90003	26.25593
WP_003513162.1	25.56645	25.99731	25.61015	26.3328	25.69892	25.99803	25.74558	25.8733	25.38084	26.122	25.41883	25.48425	24.13148	23.64562	24.26038	24.05287	23.41651	23.99629	24.45002	24.65998	24.47128	24.56756	25.16327	24.97544	24.29972	24.28583	25.26446	24.52991
WP_003512650.1	26.8581	27.16757	27.23636	26.9429	27.12666	26.27689	26.46716	26.17935	25.50954	26.54296	25.63919	27.12857	26.45673	26.16889	26.49996	26.56952	26.7426	26.41654	26.01696	26.61096	26.30661	26.75183	26.24066	26.53899	26.39909	26.6527	25.33032	26.17147
WP_003518858.1	26.93639	25.74313	25.72857	26.93114	26.16588	26.89002	26.10015	28.31367	26.52481	26.827	25.59695	26.33491	26.18327	27.08428	26.32092	25.7441	26.14278	25.82199	27.23825	25.9229	26.79688	27.07214	27.11154	26.71991	26.11129	26.8504	26.25604	26.40845
WP_003516455.1	30.32941	29.79299	28.99057	30.54989	30.47056	30.46519	30.38073	31.16747	29.36794	31.11783	31.39275	31.08862	29.44926	30.12549	29.36055	29.8052	29.99528	29.56058	29.50064	29.8629	29.51623	30.05227	29.43889	29.98274	29.13941	30.51335	29.81955	29.98406
WP_003518263.1	20.43975	20.27002	21.2288	21.6462	21.20068	20.10321	21.19328	20.71706	21.48022	18.93592	19.06342	18.68798	20.0604	20.03691	20.62298	19.47218	18.17107	19.48604	18.40894	19.27573	21.12537	19.80905	19.57723	20.43614	20.16936	21.50532	20.28148	21.49421
