"Protein"	"LL1210_T1_rep1"	"LL1210_T1_rep2"	"LL1210_T1_rep3"	"LL1210_T1_rep4"	"LL1210_T2_rep1"	"LL1210_T2_rep2"	"LL1210_T2_rep3"	"LL1210_T2_rep4"	"LL1210_T3_rep1"	"LL1210_T3_rep2"	"LL1210_T3_rep3"	"LL1210_T3_rep4"	"LL1210_T4_rep1"	"LL1210_T4_rep2"	"LL1210_T4_rep3"	"LL1210_T4_rep4"
"WP_003514583.1"	22.91345	22.09903	21.94213	22.67374	22.31945	23.3908	19.25787	22.30436	21.27024	23.56948	23.15942	22.24046	22.68326	23.40105	23.42014	21.77603
"WP_003516128.1"	21.55419	19.60214	21.5877	20.12419	21.04779	19.80551	20.04156	19.86736	20.29249	20.10987	20.2238	18.91714	20.27329	19.83441	20.14201	19.00682
"WP_003517274.1"	27.13143	26.08962	26.77071	24.87616	26.13359	25.61413	23.8104	26.17919	24.55363	26.30184	24.34871	24.8147	26.78989	23.12309	26.28801	27.19698
"WP_003520766.1"	26.86357	26.62995	26.47793	26.28427	27.56555	27.57292	27.13425	27.58845	27.73497	27.61626	27.13779	27.94173	28.20146	27.48301	27.64538	28.05695
"WP_003516312.1"	30.21424	30.05632	30.83069	30.59897	30.38446	29.81735	30.37554	30.3529	30.64437	30.7439	29.903	30.30765	31.08616	30.99386	30.51731	31.06286
"WP_003519009.1"	26.86992	27.66012	26.96067	26.65965	26.97551	26.29899	26.71992	27.41807	25.37173	26.17788	25.90529	26.24173	25.22507	25.16406	24.92187	25.86711
"WP_003513356.1"	26.50493	26.48962	26.6836	24.61689	25.73788	25.29512	27.1258	25.9633	25.32895	25.51146	25.65054	25.99399	23.18392	24.6425	23.62574	23.18775
"WP_003517251.1"	23.04498	24.15162	24.27716	22.87156	22.73813	23.5808	23.49304	23.51819	23.18497	23.87397	24.08499	24.45689	20.12039	23.18746	24.41049	24.29832
"WP_003517278.1"	26.61448	25.7438	26.07345	25.91636	26.53189	26.57314	25.7957	26.15471	27.65532	25.9488	26.24759	26.08631	25.37535	25.60608	24.66276	25.09934
"ADU73753.1"	29.89387	30.01015	29.88502	29.79565	30.2567	30.5844	29.82227	29.96392	30.33123	30.07983	29.89198	30.05297	29.55832	29.54938	29.59275	29.52943
"WP_003512581.1"	26.55778	26.36919	27.99048	27.66182	26.08731	28.16483	28.56049	25.3534	23.68413	25.18577	25.33581	25.94587	24.22967	26.43132	25.82825	24.55826
"WP_003513261.1"	22.44662	24.59904	22.82041	23.21498	22.82725	23.17965	20.39092	23.31951	22.67167	23.72243	22.57306	22.41003	22.8787	21.85598	19.98567	23.35043
"WP_004463784.1"	28.93636	28.71291	28.69149	29.15362	28.49542	28.50004	29.00834	28.57392	30.1332	29.53648	29.09441	29.11702	29.25741	29.29218	29.39048	29.16492
"WP_003517255.1"	20.69063	19.18107	26.61637	25.64514	26.34305	23.99408	27.01851	26.15584	26.09176	26.32196	26.26385	26.94558	19.89708	23.7147	26.53263	26.16748
"WP_003517824.1"	28.16504	27.0073	27.85246	27.9417	28.28656	28.46949	27.70114	27.86158	27.13239	27.99168	27.86221	28.04262	27.98186	28.1229	27.8614	27.18061
"WP_003514917.1"	28.45542	27.8659	28.15384	27.61882	28.87309	28.85574	27.96883	28.15839	28.41237	27.72934	28.49378	28.74097	28.86582	28.37907	29.15141	28.86887
"WP_003518187.1"	21.60607	21.36655	22.27028	21.00295	22.08157	21.59817	21.61475	21.61068	21.1819	20.4718	20.34811	20.93497	21.17429	21.51241	19.75733	21.89378
"WP_003518528.1"	24.93068	27.21952	19.19666	23.44485	25.70625	19.77703	20.24111	24.30752	20.21453	19.95268	23.74597	19.73985	26.95139	20.19571	20.28299	22.94641
"WP_003512715.1"	24.35575	23.39596	25.19687	20.46878	21.48129	20.14164	23.56301	22.72331	20.06009	19.72311	20.06961	22.48223	20.41116	20.04078	20.75581	19.81926
"WP_003512577.1"	27.87232	28.41281	27.68474	27.29923	27.76448	27.64561	28.18771	27.81355	28.13485	28.33888	28.4852	28.24133	28.18888	28.57322	28.37101	28.35297
"WP_003519665.1"	23.21532	21.7073	22.12951	21.77331	21.51131	21.67641	21.30668	20.22676	23.21813	22.11626	22.27828	22.38029	23.66191	23.30275	22.75901	24.19269
"WP_003512950.1"	20.76093	21.14412	19.98736	20.012	20.21434	19.96247	21.83544	20.07265	20.8218	20.41304	23.11898	20.85248	20.87357	19.8145	20.22537	20.18143
"WP_003512871.1"	19.45186	19.97356	20.33984	20.32102	23.67551	23.62595	20.02231	19.84756	19.83453	20.2516	19.8444	20.1066	21.01401	20.33541	20.89942	20.02613
"WP_003521254.1"	23.95017	23.5116	23.79871	24.47446	24.49853	23.8547	23.26131	24.43071	23.88548	23.87806	23.851	24.57638	23.64483	24.30204	24.56064	23.64786
"WP_003517223.1"	20.21334	20.32684	20.18869	20.1052	20.0599	26.39233	20.52601	20.36573	20.35379	20.72698	20.36284	19.94934	19.39041	20.80398	19.23924	19.7993
"WP_003512952.1"	21.29952	24.18957	23.93882	23.75538	23.61862	23.67435	22.18639	23.88207	20.28308	20.86269	24.45141	21.29646	21.10484	20.36676	23.87125	21.08912
"WP_003517648.1"	26.72502	28.41571	27.9176	28.33459	28.27101	28.64869	28.28237	28.15075	28.04457	28.18141	28.14337	28.14234	27.72319	28.02243	27.63748	27.94784
"WP_003513246.1"	24.05074	20.17535	20.63666	20.9855	21.3142	20.82448	21.60597	21.42165	23.23244	21.34808	21.08564	21.00502	23.3291	21.2654	20.44092	20.74805
"WP_003518938.1"	20.55279	19.95409	19.96793	20.60203	19.83433	19.98529	20.97909	20.83184	20.82086	27.33397	20.82918	19.71964	19.4696	20.94629	20.99229	24.7783
"WP_003514478.1"	24.62256	20.46344	24.7698	22.72193	20.3536	19.75694	23.58419	24.09836	20.96272	24.25422	20.97082	20.24841	24.77073	24.31377	24.12891	22.1156
"WP_003514025.1"	26.16293	20.9216	26.24404	21.04893	20.82069	20.28263	26.06902	20.9734	19.32275	20.87136	19.33343	20.72405	19.26513	19.30108	19.32022	20.32147
"WP_003518706.1"	26.5513	26.24755	25.73151	25.86685	26.04178	24.9884	27.12835	27.01308	26.21948	26.27915	27.13643	27.57915	25.71748	25.52603	19.11115	26.26244
"WP_003512565.1"	24.37376	24.28723	23.92656	25.04526	23.15789	23.1015	23.982	23.97951	22.64721	22.78665	23.41436	22.77724	24.20285	24.56047	22.79506	23.78589
"WP_003515445.1"	27.94631	29.49957	28.04822	29.46946	28.25994	28.5832	28.07963	28.12247	29.18616	28.4766	27.90267	27.83251	27.90154	27.63464	28.15791	28.28701
"WP_003516833.1"	24.58702	24.32367	22.77131	21.18467	20.96255	20.75548	24.0091	23.63033	26.18651	19.20223	25.67961	20.86851	19.71806	21.03833	19.57428	20.79117
"WP_003516973.1"	24.31349	24.52567	24.1529	24.39645	24.50244	24.12418	23.5309	23.9857	24.22391	23.6316	24.74861	24.08212	23.7964	23.61917	23.57621	23.17436
"ADU74051.1"	27.67642	28.45403	28.05276	28.80818	28.25101	28.35518	28.5837	28.24312	27.21175	28.01284	28.40604	28.29261	28.0696	28.99487	28.22418	28.84812
"WP_003513987.1"	21.69652	21.06076	20.47614	21.51474	21.64039	21.45399	21.39691	20.76037	21.85934	20.96473	22.72755	21.45714	21.74014	22.81875	21.65829	21.28019
