"Protein"	"LL1210_T1_rep1"	"LL1210_T1_rep2"	"LL1210_T1_rep3"	"LL1210_T1_rep4"	"LL1210_T2_rep1"	"LL1210_T2_rep2"	"LL1210_T2_rep3"	"LL1210_T2_rep4"	"LL1210_T3_rep1"	"LL1210_T3_rep2"	"LL1210_T3_rep3"	"LL1210_T3_rep4"	"LL1210_T4_rep1"	"LL1210_T4_rep2"	"LL1210_T4_rep3"	"LL1210_T4_rep4"
"WP_003518595.1"	30.12746	29.51888	29.83265	29.38366	29.52358	29.60621	29.86083	29.64573	29.29293	28.44024	28.81226	29.00555	29.28959	29.18815	29.02061	29.46285
"WP_003518077.1"	22.54066	23.3341	22.91035	22.48268	22.37413	23.16209	22.80279	22.45825	21.86795	22.52973	22.78089	21.50486	22.15135	22.52103	21.6471	22.23176
"WP_003518607.1"	28.0077	27.70319	27.63012	27.67	27.3766	27.47806	27.27933	27.69736	26.55663	26.50179	27.05532	26.99633	27.02083	27.37781	27.2534	27.1212
"WP_003514876.1"	20.1776	23.38725	19.59689	23.05174	25.55745	26.04405	25.86006	19.39365	19.74364	22.34277	21.38733	19.25645	19.27948	18.8599	22.04966	23.38531
"WP_003518741.1"	23.33329	22.01398	20.97422	20.05348	20.94027	20.79785	21.09508	20.03001	18.28653	23.05554	19.46589	19.90583	19.8071	21.00651	19.37919	19.48713
"WP_003517459.1"	25.03279	25.75723	26.71632	26.02663	27.3623	27.59988	27.07587	27.25451	27.72004	27.0738	26.61523	26.35367	26.83162	27.80047	26.61275	26.06864
"WP_003517772.1"	22.05572	21.36507	22.52112	23.4949	21.91255	21.92025	21.53539	23.26952	21.85633	21.24845	21.29516	21.70651	18.36453	21.44225	20.87275	22.27753
"WP_003512518.1"	20.41566	19.90107	20.10744	18.80953	23.46501	23.32305	19.65455	19.39599	19.99613	23.7129	20.87096	19.25883	23.8039	20.75866	23.06739	18.8424
"WP_003511591.1"	28.5883	28.3645	28.30201	29.05554	27.83972	27.02042	28.92157	28.96376	27.46514	28.45671	27.99449	29.04372	28.81524	28.07939	28.66041	28.95256
"WP_003514341.1"	20.30997	18.62577	20.29922	19.91894	19.4552	19.90125	21.01968	20.95116	25.13476	25.38552	25.16942	25.03105	25.59848	25.69764	25.36177	20.9942
"WP_003513424.1"	23.59274	19.76313	23.23571	22.92471	20.86254	20.09963	20.16058	19.46923	19.26152	19.40717	21.96574	20.84582	20.05707	19.67163	18.15781	20.74575
"WP_003521619.1"	20.14873	21.59935	20.08502	19.10645	19.97687	20.44214	20.18203	20.8736	19.24598	18.75464	19.98672	19.33357	19.32979	19.43976	19.44643	19.65609
"WP_003516357.1"	28.87141	26.44849	24.96685	24.26128	23.68999	25.1866	26.87236	25.42617	25.30711	25.08982	27.76723	28.92065	22.99732	24.9869	25.46218	25.05536
"WP_003511511.1"	25.96962	25.24944	26.80659	26.58118	25.69206	25.77308	25.33299	25.08918	25.2233	25.10917	24.15226	25.23791	24.77255	23.21983	22.84235	24.77975
"WP_003513087.1"	19.53179	18.93017	20.07164	19.80819	20.17284	19.87806	20.35066	19.9898	20.50382	20.93246	20.18237	20.76666	19.3144	18.22939	20.47387	19.42366
"WP_003517447.1"	27.9982	27.66287	28.19259	28.05784	27.74097	28.14065	28.3424	27.85109	28.10618	28.57704	28.15387	28.44682	28.96821	28.61394	28.43201	28.63954
"WP_003514847.1"	23.73656	24.71034	23.19825	24.86864	25.43898	19.86422	23.3681	25.45617	20.53814	24.2504	19.96385	19.86479	24.67413	25.31628	24.26799	23.95314
"WP_003512659.1"	29.61096	28.51873	29.19625	29.05998	29.20193	29.16467	28.60138	28.71245	29.21566	28.64197	28.91705	28.88996	28.6802	28.86856	29.13299	28.44714
"WP_041740028.1"	28.36393	19.64959	19.4529	19.19474	19.95396	19.2242	20.13836	20.18535	19.56694	20.681	19.9502	20.06434	20.55969	19.50639	27.91282	18.21036
"WP_003516311.1"	22.79022	21.85246	23.53078	21.2421	19.9403	22.54231	20.1251	19.96694	18.17133	19.57817	19.319	23.79338	20.59367	20.52458	19.12581	19.49045
"WP_003515533.1"	19.36205	22.28138	19.91503	21.00571	22.61939	22.4457	21.73908	22.43263	19.85171	19.34293	22.10943	22.38763	19.63216	23.15683	22.22807	23.79395
"WP_003516619.1"	25.75865	25.7496	26.93956	24.76311	24.42932	26.12542	25.64933	26.14073	27.78424	24.9998	26.08019	25.81597	25.99673	24.45859	26.68196	26.28247
"WP_003520963.1"	29.15635	29.13841	29.08199	29.18284	29.08749	29.47497	29.12849	29.19089	29.35713	29.22847	29.19832	29.2156	29.63985	29.32438	29.03442	29.47512
"WP_003518318.1"	20.62015	19.02069	24.94433	23.89032	23.94963	23.77632	23.58401	23.33499	25.29213	18.11497	24.0013	23.8183	22.59639	24.68272	24.11089	21.92046
"WP_003516353.1"	25.0252	24.16781	23.21306	23.8383	24.66405	25.45918	23.37776	25.43688	24.14246	22.94666	25.33101	24.66223	21.78483	21.87593	23.04333	21.80039
"WP_014522631.1"	25.82012	26.09703	25.12397	24.52139	24.46208	26.09912	26.28998	26.23735	25.44681	25.89929	27.02133	26.59933	25.32518	24.03935	24.72152	25.96575
"WP_003516377.1"	26.68698	26.84827	26.20402	25.66721	27.04584	26.97331	26.49488	26.66904	26.33153	26.78407	26.79768	26.50669	26.34678	26.15185	26.61255	26.3866
"WP_003514641.1"	31.41815	31.7776	29.995	29.93256	29.90198	30.03211	30.30212	29.65136	30.60452	29.52929	30.52404	30.66138	29.60241	31.03066	30.19134	30.82698
"WP_003516613.1"	19.54876	25.01601	27.67042	26.53082	25.21656	26.40813	26.35812	25.26916	25.33684	26.10776	25.42269	19.84146	27.34539	26.18063	19.66532	27.3865
"WP_003514309.1"	31.35692	31.18881	32.4382	31.80919	32.40133	32.40129	31.52536	32.40746	32.29173	32.12549	31.70308	32.18556	31.69237	31.55481	32.37347	31.77597
"WP_003514582.1"	27.55414	27.17767	27.42121	27.5853	27.67065	27.10176	27.21986	27.6905	27.33568	27.8897	27.67694	27.18689	27.42242	27.66599	27.31488	27.81335
"WP_003519322.1"	24.72092	24.15305	23.81878	24.24493	24.70412	24.39421	24.0628	24.58486	25.33487	24.80351	24.41273	24.45516	24.85748	25.11177	24.73522	24.80429
"WP_003514647.1"	30.68721	31.20783	31.3834	31.22037	30.72477	31.17664	30.4527	31.00583	30.22622	30.73495	30.75246	30.82845	30.54893	31.09651	31.07185	31.01844
"WP_003517748.1"	23.82137	24.27395	25.04756	25.87609	19.30808	25.02729	24.01991	25.13297	23.10039	24.75624	24.81153	23.24582	25.31284	25.15236	25.58452	25.10036
"WP_003517463.1"	22.98781	23.89318	23.24326	22.83391	23.38667	22.83512	23.98432	23.57619	23.49142	23.40172	23.86371	23.50413	23.24809	23.52305	23.12207	22.86078
"WP_003515896.1"	24.50174	23.1407	18.64261	19.96894	23.98047	25.22747	19.51184	23.94639	24.3192	23.91357	24.07292	23.93472	21.95107	19.18867	24.08148	22.33921
"WP_003514333.1"	21.19612	21.11964	22.93434	19.74779	19.78028	19.70222	19.96988	19.9533	20.02981	19.41053	19.79044	19.82755	18.25048	19.72331	18.19027	20.5111
"WP_003513824.1"	19.76591	20.87729	19.77741	18.59338	23.85626	18.38602	23.12924	19.32242	22.6011	23.78663	18.49239	19.18376	24.23606	24.9291	19.92093	19.17196
"WP_003517218.1"	20.36696	19.81439	18.94632	19.81134	18.48013	19.55986	18.70873	19.79362	18.92711	20.44351	19.65004	19.6646	19.91409	18.26155	19.17726	19.7079
"WP_003516363.1"	26.14524	26.03402	25.88872	25.742	25.70774	25.85275	25.43419	25.48597	26.3579	25.38451	25.92016	25.82958	25.84892	25.38357	25.39555	26.01487
"WP_003515537.1"	27.4936	28.575	29.19404	29.10078	29.45263	29.24579	29.25385	28.22577	29.12286	28.91765	29.28794	29.462	27.604	29.16175	29.14218	28.71539
"WP_003520957.1"	26.61342	22.79483	27.01192	26.29201	19.63965	26.27901	26.48553	26.19931	21.79875	26.7855	26.62686	26.43188	20.09041	19.97662	19.16153	18.2426
"WP_003514653.1"	29.94729	30.23544	30.54234	30.04338	30.07167	29.99405	30.22414	30.34604	29.57	30.19052	30.23758	30.24028	30.16013	30.49053	29.85362	30.21145
"WP_003514820.1"	26.24885	19.58767	19.66412	20.78245	18.79046	22.53003	19.83347	18.49622	24.64186	21.72726	24.20606	18.34066	22.95686	22.34337	25.65796	25.93514
"WP_003512860.1"	24.96228	27.00359	27.39651	27.34609	26.25924	23.79378	27.05351	19.65329	19.56074	23.58847	26.36568	26.63371	26.14547	23.66255	23.72876	26.50569
"WP_003517114.1"	24.42753	23.51961	23.76946	24.0397	24.09089	23.3132	23.32387	22.35401	23.15531	22.80823	21.92636	22.7049	18.99872	22.91891	21.9475	21.98478
"WP_003520986.1"	27.87555	27.77936	28.65549	28.26772	28.15925	27.66128	28.32613	28.35048	27.35739	27.26367	27.77598	27.63859	27.76474	27.51971	27.29867	27.64846
"WP_003512661.1"	28.36765	28.24819	28.03034	28.20225	27.99547	28.4886	28.23577	27.72831	28.05174	28.09374	28.21836	28.03407	28.26959	28.45693	28.25183	28.20225
"WP_003516993.1"	25.47615	25.25343	25.82506	25.49951	26.64451	26.58405	26.06453	26.62568	25.64077	26.35929	26.47789	25.11886	25.73501	25.91512	26.36679	25.18937
"WP_003514315.1"	29.1611	29.1788	28.8603	29.15996	29.65385	29.37599	29.09074	29.23543	29.29772	29.07619	29.54639	29.5767	29.48585	29.39321	28.55197	28.69943
"WP_003521121.1"	25.64754	24.53609	25.20622	19.50831	25.67982	25.75243	25.53972	25.62684	25.04052	25.5618	25.66195	25.89772	19.62603	19.23965	25.90602	19.96181
"WP_003516217.1"	25.80823	22.44872	24.14504	20.01823	26.05951	24.20767	24.57843	24.57777	24.89474	25.22895	25.82751	19.5214	24.52616	25.38771	24.80237	24.48728
"WP_003517446.1"	19.76812	18.40417	19.03663	18.62406	19.5239	18.70019	19.00975	18.80589	19.91896	19.08819	18.80222	18.65667	19.98067	19.22406	20.43487	19.22306
"WP_003514104.1"	22.11481	22.58822	21.13086	20.25982	18.88274	23.91655	19.72119	19.53778	18.75307	22.79573	24.00814	23.54446	22.70636	20.48593	22.05112	19.20744
"WP_003513513.1"	27.89271	27.92299	27.88534	27.77677	28.20584	28.2281	28.22068	28.25389	28.18498	28.57227	28.57621	28.41253	27.93984	28.26651	28.43594	28.44628
"WP_003517181.1"	28.0147	27.57907	28.47733	28.48477	27.76157	28.07725	27.78532	27.87747	27.72612	27.46022	27.69668	27.58391	27.76634	27.50793	27.81457	27.67825
"WP_003518492.1"	21.23699	19.65282	20.88906	19.55693	21.02258	19.44268	19.09927	18.89798	20.29568	19.6306	19.53447	19.40353	18.82642	20.52035	20.46961	20.47235
"WP_003517828.1"	19.8373	20.6484	19.82855	19.54206	20.77552	18.79361	21.17492	21.0333	19.47829	18.14759	18.89435	18.75064	20.35363	19.54605	19.48644	20.50686
"WP_003517000.1"	27.04955	27.61645	28.05388	27.94192	28.2589	28.37325	27.75336	27.99474	27.5884	27.38391	28.204	27.8655	27.51875	28.02025	28.0995	28.34932
"WP_003517183.1"	29.3232	29.68687	29.22473	29.03511	29.65232	29.70212	29.57423	29.39043	28.99154	29.2173	29.30437	28.983	29.30491	29.38943	29.60114	29.60689
"WP_003511911.1"	28.42047	27.15414	27.93781	27.63194	28.33596	28.07241	27.26592	28.38988	28.61384	27.95378	27.17808	27.76834	26.3612	27.32131	27.22528	27.32793
"WP_003517022.1"	23.75674	24.38621	24.1871	23.66749	22.96061	23.38222	23.10114	22.0599	22.84101	23.44412	21.03075	23.92785	24.09489	18.14598	23.88629	24.9879
"WP_003513428.1"	26.62256	26.15251	26.25662	26.5696	26.68548	26.5921	26.19709	26.58647	26.55902	27.09695	26.83497	27.09381	26.47852	26.36229	26.58103	26.87252
"WP_003517888.1"	25.39679	25.41685	25.24896	25.15765	25.66976	25.6432	25.33926	25.68192	25.08627	25.6855	25.74472	25.40565	25.37892	25.29763	24.42434	25.25165
"WP_003519503.1"	21.16373	19.34215	19.60234	20.74558	19.69191	20.95987	20.93527	20.78676	19.67141	27.69365	20.78408	20.92964	28.22143	19.83173	28.31311	19.5302
"WP_003519075.1"	23.39826	24.30756	23.14638	23.36654	21.59722	21.96694	22.32169	22.43274	20.70508	21.9435	22.47282	20.67805	22.72536	22.92733	22.95764	21.83394
"WP_003517002.1"	26.76666	26.45287	27.25447	27.19269	26.85192	26.9278	26.89639	27.09948	27.11356	26.43095	27.22091	27.28488	26.8525	27.18152	27.06419	26.46756
"WP_003516256.1"	26.11422	24.36674	25.70808	26.05981	26.11751	25.99835	25.36936	25.33378	18.89193	26.00477	25.50192	24.78465	26.44218	26.02271	24.68229	25.97528
"WP_003512078.1"	24.50049	25.53671	25.69147	24.80632	25.71323	25.86319	27.17141	27.42563	18.44971	25.34193	25.29802	25.91214	25.82507	24.10267	25.59426	26.30958
"WP_003511931.1"	20.32898	19.86493	18.42151	23.80777	19.46077	20.70975	19.88416	23.20538	23.74253	22.10241	19.70222	22.55174	19.5444	20.0104	18.07365	18.12675
"WP_003514651.1"	30.15554	29.62633	30.46877	29.70682	30.12597	30.01549	30.23839	30.28813	29.26869	29.93391	28.98194	29.79504	29.35597	29.32915	29.87977	29.49876
"WP_003512932.1"	20.51368	18.43562	21.53266	20.77842	18.25422	19.61277	19.65996	19.70544	21.32555	19.88759	19.47145	19.57462	19.73559	18.90417	19.77473	19.81658
"WP_003513418.1"	27.12125	26.48375	27.93694	27.66011	27.51649	26.80184	26.88838	27.61522	27.66652	27.2977	27.47383	27.4784	27.71897	27.44561	27.48682	27.59457
"WP_003516528.1"	29.09998	29.41162	29.89028	29.35995	29.51059	29.78332	29.3714	29.30335	29.91556	29.19629	28.87483	29.64707	29.1877	29.00178	29.134	29.60716
"WP_003512074.1"	29.46507	29.53896	29.31225	29.12051	29.43166	29.52755	29.43654	29.44922	29.34822	29.48889	29.44996	29.4478	29.06736	29.00916	29.48668	29.38812
"WP_003513065.1"	20.30739	20.11261	19.66735	19.84916	19.52719	19.37877	18.4896	19.47479	20.3523	19.13991	18.26684	19.33925	18.96389	19.53983	19.95502	19.99568
"WP_003519059.1"	30.80722	31.42702	31.39943	31.45209	31.53682	31.61167	31.27782	31.46229	31.57244	31.50695	31.27034	31.6262	31.5571	31.51418	31.68914	31.51846
"WP_003512072.1"	24.55026	22.15834	24.14351	26.02503	25.18372	24.53317	26.02782	25.39991	24.32934	25.42161	25.36598	24.81328	22.90732	24.08194	24.22648	24.31543
"WP_080514909.1"	20.2945	19.392	27.99342	18.51383	20.54217	18.15732	19.72439	28.01473	19.17294	28.14853	23.85183	18.11061	28.41773	19.8992	18.83873	28.31367
"WP_003518229.1"	26.76426	26.19191	26.45029	25.70358	19.21047	19.44601	25.43669	25.28741	25.51327	25.19625	23.20613	23.9679	18.52608	18.72958	19.48017	18.88678
"WP_003517016.1"	24.65392	24.01633	22.5968	23.75103	23.17634	23.04196	22.1489	23.12424	27.23315	23.30827	22.86917	25.14231	26.63958	22.29382	22.80532	26.07973
"WP_003519067.1"	29.67406	30.97946	29.85759	29.11524	29.95822	30.49305	29.508	29.91519	29.17979	29.75834	29.18866	30.21057	29.48669	30.27262	29.61503	29.86772
"WP_003518135.1"	19.69864	19.37676	23.68481	20.12164	23.31285	23.61011	20.70892	23.63895	20.5479	23.79679	19.53776	19.40688	24.08487	23.90934	19.84281	19.52397
"WP_003514216.1"	23.89834	23.85981	23.10006	23.08067	23.92704	20.47352	23.04908	23.36876	25.49497	22.33716	23.46403	23.17275	23.65164	22.78586	21.67578	22.61587
"WP_003517014.1"	26.55127	26.97269	27.51262	27.52617	26.84724	26.93779	28.24753	27.64205	25.97022	27.61817	26.67369	26.26764	26.94941	26.33426	27.85761	27.90856
"WP_003513600.1"	23.54985	24.82653	23.44957	20.29205	22.77619	23.83055	24.32472	23.91059	18.15641	19.12409	24.17914	24.81831	23.35384	20.27712	23.72784	23.94073
"WP_003513515.1"	29.54214	29.59435	29.58134	29.13297	29.4835	29.53589	29.78431	29.64228	29.8338	29.97244	29.93555	29.85202	29.4301	29.37244	29.6877	29.81616
"WP_003516504.1"	22.82111	20.61061	22.51915	19.23697	19.74343	19.12538	19.41717	18.27078	20.8131	20.4043	20.82244	23.23274	21.85973	19.45712	18.66255	19.88421
"WP_003514890.1"	23.7824	20.64427	24.15355	23.92056	18.28628	23.45051	23.55196	23.06433	21.51997	23.07485	20.55111	20.44043	22.61135	23.61614	23.42302	18.71176
"WP_003512797.1"	24.79759	25.23176	24.5899	19.84323	24.77372	25.30844	23.4882	24.70766	24.68966	24.61021	24.29089	24.77938	24.49765	24.83417	25.07976	23.66839
"WP_003516266.1"	24.37504	25.4389	25.88756	25.41522	26.36614	26.51837	25.19284	26.09737	26.67506	26.43669	26.73706	27.04078	26.60948	26.35604	26.30483	26.52965
"WP_003517018.1"	28.23655	28.69417	27.81974	27.92684	28.14112	28.37613	28.45729	28.62298	28.28932	28.27434	28.12723	28.74949	27.9995	28.17665	28.23075	28.28007
"WP_003513430.1"	26.91662	26.70169	27.57639	27.30414	26.80679	28.38591	26.38398	27.91464	29.28311	28.95461	28.9931	28.9604	28.68008	29.04583	29.05643	28.7304
"WP_003518239.1"	27.49884	27.63523	27.45864	27.70495	27.66832	27.70886	27.66152	27.80946	27.46691	27.5426	27.77915	27.81908	27.68021	27.66531	27.62353	27.55205
"WP_003517033.1"	25.44223	25.1854	25.95973	25.73833	25.33817	25.29449	25.16136	25.23068	25.12621	25.21678	24.79746	25.01933	25.00047	24.7343	24.1755	24.82092
"ADU74289.1"	28.11984	28.02428	28.78256	28.2956	27.9764	28.2532	28.29626	27.83949	28.54338	28.50697	28.6223	28.60244	28.39187	28.42535	28.64262	28.52429
"WP_003512219.1"	28.15635	29.49012	29.42411	29.57061	28.42972	28.61078	28.03496	29.01	26.64841	27.71088	28.31329	28.48266	27.05884	28.88658	26.78426	26.78322
"WP_003514851.1"	29.83745	29.89562	29.89418	29.83777	30.09633	30.15396	29.69739	30.13321	30.29978	30.17935	29.99033	30.17579	30.0585	29.82539	30.29553	29.45956
"WP_003514776.1"	20.14368	19.6916	20.66068	20.18599	19.99594	19.66492	19.93414	19.54107	20.54995	20.43923	19.22155	21.19419	20.40969	19.65085	20.22416	20.26304
"WP_003513814.1"	25.35573	23.6032	25.65401	24.93015	25.28151	25.19814	25.151	25.82944	24.14294	23.05018	25.31137	25.14217	23.01715	23.54289	24.1521	24.17133
"WP_003513630.1"	25.53684	25.48056	26.44918	24.51373	25.5985	25.62904	24.4527	25.6066	25.45227	24.66709	25.41002	26.76188	26.80045	26.64301	25.16442	26.72779
"WP_003516262.1"	18.91829	18.32262	19.35738	19.07044	19.26129	18.18978	18.52069	23.10621	21.59417	19.45076	19.75365	19.08437	19.2421	23.82251	23.20455	23.67182
"WP_003513022.1"	20.01114	20.38317	20.90369	20.49352	21.78068	21.05404	20.17907	20.58619	20.76801	20.6371	18.29884	21.16149	20.60334	18.86888	21.8198	19.44106
"WP_003512076.1"	29.76232	28.64442	29.37803	29.32097	29.44569	29.49704	29.71577	29.55056	28.60459	29.11407	29.4658	29.41817	28.23839	29.19001	29.02545	28.50677
"WP_003516465.1"	28.71689	28.03691	28.3136	28.09808	27.546	28.28787	28.40726	28.24642	27.16499	27.52851	28.37263	28.0431	26.97035	27.68352	28.15839	27.91645
"WP_003519430.1"	19.21077	21.1576	19.87897	21.84896	19.24575	21.21259	19.46646	20.5539	19.11547	18.03034	20.00575	19.62708	18.23572	21.69829	21.1986	19.63526
"WP_003513536.1"	24.09454	24.11799	24.16653	24.36325	22.98676	23.66619	24.16251	23.41544	24.38974	21.80944	22.9152	22.88236	24.97005	25.11123	24.74624	24.52896
"WP_003513628.1"	19.90204	19.97094	18.45288	20.54643	20.50364	19.92055	19.45139	19.22502	20.10955	19.7406	19.27229	18.14326	20.86588	18.42525	19.39671	18.8514
"WP_003513072.1"	25.32562	25.00168	24.57309	24.46264	24.60228	25.11121	24.75645	24.72471	24.4289	24.43791	24.69514	23.97609	24.85647	24.30885	24.75859	24.35015
"WP_003518237.1"	24.00944	22.7128	23.79408	24.11115	25.27374	24.06317	24.99921	24.26909	23.80154	23.2717	24.58442	23.53933	24.19796	25.68533	22.5063	24.11011
"WP_003515613.1"	23.54469	20.14564	26.59234	22.36184	21.85785	19.17683	20.67155	22.51036	19.37745	19.92187	26.84704	19.8842	27.27613	23.178	19.5922	23.25978
"WP_003517043.1"	24.85887	23.00489	24.42512	24.29346	23.85684	23.96966	23.89418	24.35315	25.78053	24.3486	24.89829	24.6297	24.28042	24.69485	24.95112	23.80152
"WP_003517211.1"	23.5537	19.06398	24.46945	21.63279	24.04074	23.85428	22.42926	24.35029	26.85489	25.84106	24.27093	25.53924	22.61973	21.83304	25.38072	18.40669
"WP_003518639.1"	26.78729	26.84028	26.86145	26.93061	26.9092	26.42949	26.70992	27.15664	26.19866	26.64954	26.89047	26.83455	27.09642	26.79394	26.90877	27.29508
"WP_003513915.1"	27.23864	25.6819	26.51663	27.4558	27.02936	27.61512	26.78439	26.91902	27.05698	27.14584	26.81286	26.93004	27.43295	27.2333	27.45733	26.9935
"WP_003518225.1"	24.53822	24.11474	25.35514	25.13932	25.01594	25.46308	25.32908	25.81021	25.08061	25.86712	25.71197	25.78052	25.24896	24.56232	25.56109	25.64288
"WP_003517548.1"	23.41863	23.93361	22.80513	24.74436	24.79853	23.59067	23.38488	24.92566	24.43047	23.96343	24.99671	25.04982	23.86262	24.41213	24.70665	24.19725
"WP_003516178.1"	24.30663	24.52604	25.55362	19.76435	23.07506	22.55368	23.29311	25.28155	20.43953	23.35521	22.67032	23.43938	22.4917	23.86595	23.1648	23.86051
"WP_003514587.1"	30.86842	31.35755	30.88729	31.14368	31.06776	31.15255	31.35706	31.17807	30.60688	30.93933	31.01509	30.9957	30.88363	30.97594	30.86544	31.35757
"WP_003516105.1"	26.44244	26.13141	26.28762	26.22314	25.97493	25.54069	26.95997	26.64123	24.28362	24.28386	26.46105	25.83585	22.31608	24.03056	23.43204	20.31998
"WP_003512705.1"	23.99371	21.76809	23.55534	19.94912	23.78237	23.76646	24.45485	22.91813	19.43574	18.79956	23.75267	23.13378	22.27099	20.33393	22.73393	19.13399
"WP_003515625.1"	26.94194	26.48681	26.64429	26.33299	26.56059	26.79107	26.22205	26.35092	26.65211	26.86426	26.88431	26.78284	26.60343	26.99559	26.54783	26.69143
"WP_003514694.1"	24.45744	24.2942	24.99412	23.10618	24.41907	24.94005	24.68385	24.05156	23.6992	24.49956	24.39457	23.92025	23.63564	24.49466	24.54549	24.42023
"WP_003513388.1"	25.0428	28.74617	28.54579	24.01419	28.36971	29.06349	28.91022	28.804	25.57627	28.61466	23.9225	28.74367	23.429	25.27301	29.04566	23.98746
"WP_003517496.1"	19.29775	19.68552	20.1261	19.20331	20.53796	19.1611	20.70483	19.75685	19.71882	21.18461	19.25678	19.13612	21.5657	19.15079	18.80312	20.51668
"WP_003515331.1"	21.31457	27.48665	19.40712	23.15957	19.56673	20.43452	19.76274	18.30277	20.87403	19.44446	20.51264	19.12029	20.60537	20.53015	18.35545	18.11175
"WP_003514696.1"	22.85868	24.8416	23.81414	24.72561	25.32212	25.15737	24.82141	25.26377	19.19074	25.24253	23.15235	25.90621	24.84179	24.0976	25.3588	25.14059
"WP_003512048.1"	28.10458	28.81276	28.73209	28.72144	28.66701	28.32166	28.88737	28.41747	28.0418	28.85857	28.97069	28.37001	28.25921	28.64373	28.59636	27.90718
"WP_003515648.1"	24.0573	23.81176	19.39191	18.78018	24.19246	20.46926	25.15999	24.16149	23.89174	23.63204	20.5469	20.4012	25.02178	18.13102	24.75616	23.95803
"WP_003516984.1"	28.98281	29.03382	28.77944	28.59352	29.01656	29.1832	28.94692	29.54985	29.61298	29.65925	29.24292	29.56707	29.21747	29.30022	29.35312	29.48325
"WP_003514690.1"	28.94906	28.46604	28.94371	29.26719	29.07434	28.89071	29.20474	28.42519	28.99716	28.80088	29.2333	29.20583	29.0069	29.21387	29.10105	29.24796
"WP_003520661.1"	27.58953	26.44557	27.81203	26.53296	25.52769	26.02899	27.90285	26.4353	24.645	24.0465	26.25126	25.81711	21.63916	20.79619	23.35529	20.78337
"WP_003517492.1"	23.99565	23.08921	23.38785	27.53712	24.38313	23.39688	22.75985	22.89794	23.56621	23.36598	22.84555	22.91209	23.22282	21.84655	22.68546	22.45639
"WP_003519055.1"	31.3389	32.01244	33.08669	32.77763	33.46232	33.85592	33.27311	33.4605	33.2038	33.49788	31.5153	33.46371	31.77297	31.47326	33.55453	31.41779
"WP_003518876.1"	27.37616	27.41425	27.38198	27.14369	26.91466	26.79321	27.29039	26.86907	26.66189	26.5414	26.7735	27.0653	25.94321	26.81058	26.62107	26.53792
"WP_003519057.1"	27.86338	26.58157	27.81206	27.97067	27.40231	27.64091	28.2191	27.92493	26.06718	26.26392	27.16332	26.81744	25.22635	26.62549	25.09366	25.60612
"WP_003515646.1"	21.08171	22.76342	21.2796	20.60061	20.9382	22.6582	21.83523	20.00882	22.04604	22.30435	23.25763	23.12674	19.1852	22.25966	23.41243	22.71636
"WP_003513565.1"	28.00578	27.43286	27.46493	27.77326	28.45709	27.79084	30.01142	27.92132	27.91488	27.2006	27.07143	26.44086	26.15717	26.15449	27.90003	26.25593
"WP_003513162.1"	24.13148	23.64562	24.26038	24.05287	23.41651	23.99629	24.45002	24.65998	24.47128	24.56756	25.16327	24.97544	24.29972	24.28583	25.26446	24.52991
"WP_003512650.1"	26.45673	26.16889	26.49996	26.56952	26.7426	26.41654	26.01696	26.61096	26.30661	26.75183	26.24066	26.53899	26.39909	26.6527	25.33032	26.17147
"WP_003518858.1"	26.18327	27.08428	26.32092	25.7441	26.14278	25.82199	27.23825	25.9229	26.79688	27.07214	27.11154	26.71991	26.11129	26.8504	26.25604	26.40845
"WP_003516455.1"	29.44926	30.12549	29.36055	29.8052	29.99528	29.56058	29.50064	29.8629	29.51623	30.05227	29.43889	29.98274	29.13941	30.51335	29.81955	29.98406
"WP_003518263.1"	20.0604	20.03691	20.62298	19.47218	18.17107	19.48604	18.40894	19.27573	21.12537	19.80905	19.57723	20.43614	20.16936	21.50532	20.28148	21.49421
"WP_003515482.1"	24.08931	23.74751	23.6128	27.18791	25.44854	25.49894	22.83203	23.39925	28.27264	25.97658	24.40394	21.3139	26.54531	25.98156	24.6367	23.94609
"WP_003517983.1"	23.28916	23.75285	22.38553	25.41548	23.31988	21.50413	23.3653	23.23826	23.9321	22.55983	23.24915	22.6825	26.21395	20.53221	25.10777	21.55228
"WP_003516459.1"	19.84255	18.89326	20.65656	20.78776	19.85151	18.07315	20.03898	19.26023	20.33443	20.54947	18.18382	19.44714	19.44457	21.57977	19.08759	20.51874
"WP_003513989.1"	18.70536	20.40644	19.70604	18.49956	22.99326	24.34414	20.21174	23.35859	25.33991	25.38583	24.61631	24.71466	25.47908	25.97443	25.35183	26.06966
"WP_003518626.1"	28.19042	24.79216	25.87264	25.06933	24.34747	23.59309	25.86047	24.6912	24.28248	24.3797	25.62957	25.99768	25.80977	25.79663	25.09318	25.98498
"WP_003513575.1"	24.99773	19.60464	25.76204	25.87519	25.79826	24.84671	25.32485	26.37203	26.51055	25.29716	25.99857	26.24509	24.41932	25.07159	24.85315	23.15829
"WP_003518868.1"	19.90515	19.79408	18.34014	22.73185	21.41062	19.77434	19.14207	20.51545	21.35076	18.62243	21.73118	21.86376	20.49605	19.09314	20.47949	22.66513
"WP_003517985.1"	20.86177	28.75149	19.98475	21.0415	20.02961	19.95464	22.61333	26.6514	17.78955	20.19246	19.86156	18.02595	19.50227	20.09039	18.05854	21.56884
