Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003519009.1	26.40061	27.67656	26.70192	26.06161	26.46069	26.49662	26.48661	27.02085	26.25797	27.83291	25.72492	25.73572
WP_003513356.1	26.73119	26.89371	26.38069	26.81187	26.7274	25.26074	26.60065	25.88775	20.19085	26.48217	25.88317	25.81472
WP_003517251.1	25.37495	24.5959	25.66985	25.80833	23.71189	24.21477	25.64526	26.01951	23.14162	25.35799	25.51057	24.69274
WP_003517278.1	25.84899	25.52633	25.78249	25.95113	25.26494	26.15773	26.68076	26.27229	24.70005	24.39448	24.27616	25.34846
ADU73753.1	29.20208	28.98351	29.20328	29.0013	29.14837	28.78591	29.08627	29.13046	29.02376	29.58703	29.03205	29.10979
WP_003512581.1	24.63194	25.06396	24.82	24.54271	30.33836	25.66572	24.82214	24.56617	26.0765	23.8945	24.46118	24.24237
WP_003513261.1	24.25521	23.8861	24.2918	24.73004	24.32591	23.17046	22.38877	23.89407	22.38937	23.71008	22.76858	19.62565
WP_004463784.1	28.78772	28.70908	29.20356	29.01847	28.38317	29.13763	28.95879	29.1466	29.37808	28.86595	28.4115	29.16179
WP_003517255.1	24.39179	23.59381	27.17681	27.66774	25.17584	19.68603	20.46273	23.33355	19.97017	22.77187	23.64675	20.16221
WP_003517824.1	27.50961	27.35706	27.46188	26.9394	26.774	27.73765	27.44721	27.56063	20.47819	28.05772	26.67533	26.25797
WP_003514917.1	20.42422	19.33272	18.89065	19.46067	19.00356	22.95741	18.78318	21.30033	22.62739	21.98647	20.00352	20.64485
WP_003518187.1	21.22304	20.92906	21.70663	22.0041	22.69298	22.31728	21.96666	21.05495	21.84568	20.2861	19.77584	20.94958
WP_003518528.1	19.28695	19.57267	26.06429	19.69608	24.26026	20.78637	25.00994	24.33853	20.93515	24.34911	20.32656	26.93817
WP_003512715.1	26.98215	26.60562	26.35378	26.605	26.92507	26.6249	26.19749	26.96795	26.36088	26.82549	26.34026	26.65406
WP_003512577.1	27.36939	28.3488	27.44011	27.67072	28.02965	27.58056	27.88989	28.06003	28.6474	27.79314	26.75815	29.24949
WP_003519665.1	19.52852	20.69245	19.58582	21.21892	22.66072	21.11988	23.78268	22.87447	22.87141	23.73173	20.29996	20.79144
WP_003512950.1	24.56996	24.38893	24.29825	24.51789	24.14342	23.92324	24.71202	24.38341	24.6652	24.36459	24.96045	23.19704
