Genes	hpt_T1	hpt_T2	hpt_T3
ADU73149.1	-0.221259736314	-1.09903252144	1.32029225776
ADU73379.1	-1.40184749713	0.862533451533	0.539314045597
ADU73504.1	0.190446873332	1.11836524626	-1.30881211959
ADU73598.1	-0.00735433776139	-1.22105114192	1.22840547969
ADU73719.1	0.544838920537	-1.40262427047	0.857785349932
ADU73753.1	-1.22502339182	0.00055723100759	1.22446616081
ADU73817.1	1.02803528465	0.327027891599	-1.35506317625
ADU73859.1	-0.289203057145	-1.05426092968	1.34346398682
ADU73917.1	0.661385259104	0.751863213941	-1.41324847304
ADU73938.1	1.41413676816	-0.719831640191	-0.694305127968
ADU73992.1	-1.1576438897	1.28231001759	-0.124666127885
ADU74011.1	-0.98396986838	-0.387703916252	1.37167378463
ADU74051.1	-1.35110514797	0.313770651609	1.03733449636
ADU74165.1	0.124574798818	1.15769655115	-1.28227134997
ADU74168.1	-0.275846831262	1.33914420893	-1.06329737767
ADU74249.1	-1.30531884101	0.181377082108	1.1239417589
ADU74289.1	1.33791832967	-0.272120523368	-1.0657978063
ADU74371.1	1.09016847524	0.235075695795	-1.32524417103
ADU74393.1	0.411348366169	0.96611692084	-1.37746528701
ADU74510.1	0.188643675975	1.11947805188	-1.30812172785
ADU74579.1	-0.682468745897	-0.731461906599	1.4139306525
ADU74599.1	1.36248365703	-1.00946235385	-0.353021303172
ADU74708.1	-0.262290510484	1.3346413151	-1.07235080461
ADU74726.1	0.623696321755	0.787357085504	-1.41105340726
ADU74909.1	1.41245334349	-0.767314021942	-0.645139321545
ADU74998.1	0.729718291382	0.684251626067	-1.41396991745
ADU75147.1	0.499788834684	0.895818609792	-1.39560744448
ADU75314.1	0.619122414569	0.791581643046	-1.41070405761
ADU75522.1	1.34372444622	-0.290020031261	-1.05370441496
ADU75526.1	0.741244912978	0.67241013372	-1.4136550467
ADU75560.1	-0.486670559678	-0.90660551201	1.39327607169
ADU75615.1	0.667204847687	-1.41347661486	0.74627176717
ADU75721.1	1.29878147375	-0.164751682968	-1.13402979079
ADU75724.1	1.15671474929	0.126276034718	-1.282990784
ADU75731.1	0.557691924659	0.846647168648	-1.40433909331
ADU75877.1	0.121792648624	1.15929829666	-1.28109094529
ADU75920.1	-0.834457441361	-0.571589050154	1.40604649151
WP_003511511.1	0.659220937572	0.753935015538	-1.41315595311
WP_003511531.1	-0.39987530776	-0.974828196697	1.37470350446
WP_003511544.1	0.495791135382	-1.39491054691	0.89911941153
WP_003511546.1	0.580836681852	0.826260467757	-1.40709714961
WP_003511547.1	0.167222369547	-1.29976393396	1.13254156441
WP_003511548.1	0.950546006091	0.431560343126	-1.38210634922
WP_003511549.1	-0.287062709875	1.34277955712	-1.05571684725
WP_003511555.1	1.09223474704	0.231871985675	-1.32410673271
WP_003511558.1	0.126186437447	1.15676650159	-1.28295293904
WP_003511560.1	1.32935089867	-1.08255059953	-0.246800299148
WP_003511564.1	1.13125929118	-1.3006053677	0.169346076522
WP_003511571.1	-0.439726794849	-0.944172795921	1.38389959077
WP_003511573.1	0.58479606222	-1.40752590459	0.822729842368
WP_003511577.1	-0.837112453382	-0.568577024341	1.40568947772
WP_003511583.1	-1.32388899203	0.23126079237	1.09262819966
WP_003511587.1	-0.605242643397	-0.804293764006	1.4095364074
WP_003511591.1	-0.359024612593	1.36413291884	-1.00510830625
WP_003511596.1	-0.603642366485	1.40939146094	-0.805749094455
WP_003511598.1	-1.41251836144	0.766208400397	0.646309961046
WP_003511600.1	1.36472430112	-1.00352517216	-0.361199128959
WP_003511604.1	1.11696566126	-1.30967573773	0.192710076469
WP_003511606.1	0.848995633193	-1.40398993556	0.554994302369
WP_003511607.1	0.261875034144	-1.33450143306	1.07262639892
WP_003511610.1	-0.610865494114	-0.799163337979	1.41002883209
WP_003511613.1	0.962356095518	0.416264462413	-1.37862055793
WP_003511615.1	0.616909487154	0.793619216507	-1.41052870366
WP_003511616.1	1.13098733623	-1.30078322602	0.169795889783
WP_003511628.1	1.29912275002	-0.165608835709	-1.13351391431
WP_003511639.1	1.02853325544	0.326322158102	-1.35485541354
WP_003511651.1	-1.34912652663	0.307285151587	1.04184137504
WP_003511653.1	-0.788583598716	1.41095395115	-0.622370352429
WP_003511658.1	-1.41372159102	0.739163230741	0.674558360275
WP_003511665.1	-1.41064777183	0.618406408486	0.79224136334
WP_003511674.1	-0.604753400289	-0.804738918763	1.40949231905
WP_003511675.1	0.336697642396	-1.35787646829	1.0211788259
WP_003511677.1	-0.999478719427	-0.366737251084	1.36621597051
WP_003511680.1	1.04746440141	0.299137014811	-1.34660141622
WP_003511686.1	0.111727191887	-1.27678037277	1.16505318089
WP_003511688.1	0.417486799347	0.961418375159	-1.37890517451
WP_003511692.1	1.39346507959	-0.90575718898	-0.487707890613
WP_003511705.1	-1.04592650589	-0.301371817397	1.34729832329
WP_003511707.1	-0.500270823061	1.39569066017	-0.895419837113
WP_003511713.1	-1.2023155076	-0.0436895654416	1.24600507304
WP_003511715.1	-1.12291621241	1.30596759905	-0.183051386639
WP_003511731.1	1.38477750734	-0.443805887474	-0.940971619869
WP_003511737.1	1.24588825695	-1.20244549896	-0.0434427579918
WP_003511746.1	1.11792018304	0.191167129872	-1.30908731291
WP_003511753.1	0.772748872561	0.639366459349	-1.41211533191
WP_003511777.1	-1.38446620972	0.942113047244	0.442353162477
WP_003511787.1	0.952678633935	-1.38149265499	0.428814021055
WP_003511862.1	0.226734274498	1.09553471012	-1.32226898462
WP_003511911.1	0.911519589926	-1.39216196705	0.480642377122
WP_003511913.1	-1.4098926216	0.800612901969	0.609279719633
WP_003511915.1	1.36644940802	-0.998838410119	-0.367610997906
WP_003511918.1	1.15066314886	0.136694224537	-1.2873573734
WP_003511963.1	0.3439935314	-1.3599577658	1.0159642344
WP_003511964.1	-1.36747919706	0.371488923249	0.995990273808
WP_003511976.1	1.13071215853	0.170250820452	-1.30096297898
WP_003511984.1	0.662293759749	0.750992312581	-1.41328607233
WP_003511986.1	1.07483995322	-1.33337180067	0.258531847454
WP_003512010.1	-1.32719893941	1.08657373774	0.240625201671
WP_003512012.1	-1.19187805571	1.25515828215	-0.0632802264427
