C0 (205 genes)	C1 (144 genes)	C2 (75 genes)	C3 (77 genes)	C4 (94 genes)	C5 (136 genes)	C6 (183 genes)	C7 (90 genes)	C8 (93 genes)	C9 (64 genes)	C10 (65 genes)
WP_003511546.1	WP_003512101.1	WP_003513404.1	WP_003513564.1	WP_003513605.1	WP_003512179.1	WP_003512262.1	WP_003512794.1	WP_003513025.1	WP_003514305.1	WP_003513128.1
WP_003511558.1	WP_003512174.1	WP_003513487.1	WP_003513587.1	WP_003513622.1	WP_003512291.1	WP_003512265.1	WP_003512850.1	WP_003513085.1	WP_003514679.1	WP_003513207.1
WP_003511615.1	WP_003512197.1	WP_003513533.1	WP_003513635.1	WP_003514124.1	WP_003512352.1	WP_003512317.1	WP_003512963.1	WP_003513089.1	WP_003514705.1	WP_003513389.1
WP_003511688.1	WP_003512252.1	WP_003513592.1	WP_003513674.1	WP_003514151.1	WP_003512370.1	WP_003512382.1	WP_003513046.1	WP_003513095.1	WP_003515069.1	WP_003513438.1
WP_003511753.1	WP_003512259.1	WP_003513826.1	WP_003513691.1	WP_003514194.1	WP_003512380.1	WP_003512411.1	WP_003513130.1	WP_003513096.1	WP_003515373.1	WP_003513575.1
WP_003511862.1	WP_003512309.1	WP_003513857.1	WP_003513811.1	WP_003514293.1	WP_003512401.1	WP_003512416.1	WP_003513132.1	WP_003513101.1	WP_003515591.1	WP_003513683.1
WP_003511984.1	WP_003512596.1	WP_003514317.1	WP_003513932.1	WP_003514503.1	WP_003512422.1	WP_003512577.1	WP_003513187.1	WP_003513126.1	WP_003515653.1	WP_003513758.1
WP_003512078.1	WP_003512622.1	WP_003514621.1	WP_003513957.1	WP_003514589.1	WP_003512576.1	WP_003512582.1	WP_003513238.1	WP_003513190.1	WP_003515787.1	WP_003513937.1
WP_003512112.1	WP_003512652.1	WP_003514703.1	WP_003514180.1	WP_003514601.1	WP_003512583.1	WP_003512606.1	WP_003513304.1	WP_003513423.1	WP_003515843.1	WP_003514198.1
WP_003512204.1	WP_003512755.1	WP_003514745.1	WP_003514292.1	WP_003515075.1	WP_003512678.1	WP_003512627.1	WP_003513362.1	WP_003513430.1	WP_003515853.1	WP_003514552.1
WP_003512254.1	WP_003512801.1	WP_003514788.1	WP_003514581.1	WP_003515330.1	WP_003512688.1	WP_003512628.1	WP_003513490.1	WP_003513529.1	WP_003515869.1	WP_003514635.1
WP_003512371.1	WP_003512947.1	WP_003514910.1	WP_003514587.1	WP_003515509.1	WP_003512787.1	WP_003512660.1	WP_003513680.1	WP_003513590.1	WP_003515894.1	WP_003514660.1
WP_003512384.1	WP_003512977.1	WP_003514923.1	WP_003514630.1	WP_003515527.1	WP_003512852.1	WP_003512687.1	WP_003513744.1	WP_003513649.1	WP_003515936.1	WP_003514722.1
WP_003512405.1	WP_003513028.1	WP_003515020.1	WP_003514643.1	WP_003515634.1	WP_003512921.1	WP_003512699.1	WP_003513814.1	WP_003513765.1	WP_003516132.1	WP_003514797.1
WP_003512420.1	WP_003513139.1	WP_003515365.1	WP_003514653.1	WP_003515650.1	WP_003512950.1	WP_003512705.1	WP_003513989.1	WP_003513773.1	WP_003516269.1	WP_003514863.1
