ProteinID	GO
WP_003513902.1	GO:0071944,GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0030312,GO:0005575,GO:0005576,GO:0030313,GO:0042597,GO:0005515,GO:0030288,GO:0006508,GO:0005886,GO:0031975,GO:0044462,GO:0008236
WP_003513908.1	GO:0016787,
WP_003513910.1	GO:0004222,GO:0016021,GO:0016020,GO:0071586
WP_003513911.1	GO:0005737,GO:0006426,GO:0004812,GO:0004820,GO:0004814,GO:0006420,GO:0044464,GO:0005623,GO:0000166,GO:0005575,GO:0006418,GO:0044424,GO:0005622,GO:0005524
WP_003513915.1	GO:0019220,GO:0080090,GO:0019222,GO:0042030,GO:0071840,GO:0044710,GO:0071704,GO:0036361,GO:0044092,GO:0006023,GO:0032780,GO:0008360,GO:1901564,GO:1901566,GO:0070589,GO:0008881,GO:0009894,GO:0030203,GO:0060590,GO:0009273,GO:0006807,GO:0003674,GO:0050789,GO:0044038,GO:1901576,GO:0051346,GO:0044260,GO:0065007,GO:0065009,GO:2000371,GO:2000372,GO:0050790,GO:0050794,GO:0003824,GO:0008150,GO:0008152,GO:0051336,GO:0042546,GO:0008657,GO:0006022,GO:0010911,GO:0006024,GO:0016020,GO:0072586,GO:0044249,GO:0034645,GO:0004857,GO:0043086,GO:0044699,GO:0030811,GO:0009987,GO:0060589,GO:0016854,GO:0016855,GO:0016853,GO:0044036,GO:1901137,GO:1901135,GO:0044464,GO:0005623,GO:0043170,GO:0031329,GO:0031323,GO:0047661,GO:0071944,GO:0043462,GO:0071554,GO:0071555,GO:0009252,GO:0033121,GO:0019219,GO:0030234,GO:0000270,GO:0051174,GO:0009058,GO:0009059,GO:0044763,GO:0051171,GO:0005886,GO:0009118,GO:1900542,GO:0044237,GO:0005575,GO:0044085,GO:0006140
WP_003513929.1	GO:0005737,GO:0004139,GO:0046386,GO:0044464,GO:0016829,GO:0016052,GO:0042558,GO:0005622,GO:0005575,GO:0003824,GO:0009264,GO:0044424,GO:0005623
WP_003513932.1	GO:0005737,GO:0000303,GO:0098869,GO:0071450,GO:0006801,GO:0003677,GO:0046983,GO:0004791,GO:0055114,GO:0016491
WP_003513934.1	GO:0005737,GO:0019430,GO:0009055,GO:0006091,GO:0016491,GO:0015035,GO:0045454,GO:0055114,GO:0004791
WP_003513937.1	GO:0016209,GO:0017004,GO:0098869,GO:0045454,GO:0016021,GO:0055114,GO:0016491
WP_003513940.1	GO:0047134,GO:0016021,GO:0016020,GO:0017004,GO:0055114
WP_003513950.1	GO:2001059,GO:0005975,GO:0016773,GO:0016310,GO:0016301,GO:0046031,GO:0046034,GO:0006091,GO:0006090,GO:0005524
WP_003513953.1	GO:0006290,GO:0004519,GO:0006289,GO:0090305,GO:0009411,
WP_003513954.1	GO:0003824,GO:0016740,GO:0016741,GO:0008150,GO:0008152,GO:0008168,GO:0003674,GO:0032259
WP_003513955.1	GO:0016787,GO:0061783,GO:0009253
WP_003513956.1	GO:0016779,GO:0005975,GO:0071704,GO:0009058,GO:0016868
WP_003513957.1	GO:0140098,GO:0016829,GO:0009982,GO:0009451,GO:0003723,GO:0001522
WP_003513961.1	GO:0051287,GO:1901363,GO:0000302,GO:0043234,GO:0071944,GO:0003674,GO:0005488,GO:0043167,GO:0003954,GO:1901265,GO:0016491,GO:0005737,GO:0050662,GO:0044710,GO:0050660,GO:0016020,GO:0008785,GO:0000166,GO:0098869,GO:0022900,GO:0071949,GO:0016667,GO:0016668,GO:0004601,GO:0009321,GO:0005622,GO:0036094,GO:0003824,GO:0006950,GO:0008150,GO:0008152,GO:0005886,GO:0042221,GO:0045454,GO:0006979,GO:0055114,GO:0009055,GO:1901700,GO:0032991,GO:0097159,GO:0050896,GO:0044464,GO:0005623,GO:0051920,GO:0005575,GO:0043168,GO:0044444,GO:0016651,GO:0044424,GO:0048037,GO:0015035,GO:0005829
WP_003513964.1	GO:0009991,GO:0009267,GO:0032843,GO:0009970,GO:0004601,GO:0003674,GO:0042594,GO:0007154,GO:0005622,GO:0044699,GO:0016491,GO:0005737,GO:0044710,GO:0016020,GO:0008785,GO:0006979,GO:0098869,GO:0016667,GO:0016668,GO:0016684,GO:0071496,GO:0033194,GO:0016209,GO:0009987,GO:0051716,GO:0003824,GO:0006950,GO:0008150,GO:0008152,GO:0042221,GO:0045454,GO:0010033,GO:0055114,GO:1901700,GO:0031668,GO:0031669,GO:0009605,GO:0050896,GO:0044464,GO:0031667,GO:0005623,GO:0051920,GO:0005575,GO:0044444,GO:0016671,GO:0016651,GO:0033554,GO:0033195,GO:0044424,GO:0044763,GO:0005829
WP_003513973.1	GO:0005737,GO:0005622,GO:0005618,GO:0016020,GO:0044464,GO:0005623,GO:0000166,GO:0005575,GO:0071944,GO:0005524,GO:0005886,GO:0044424,GO:0030312,GO:0003677,GO:0051301
WP_003513987.1	GO:0005737,GO:0005622,GO:0005618,GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0000166,GO:0005575,GO:0071944,GO:0005524,GO:0005886,GO:0044424,GO:0030312,GO:0003677,GO:0051301
WP_003514081.1	GO:0016787,GO:0016831,
WP_003514085.1	GO:0000272,GO:0004553
WP_003514092.1	GO:0016021
WP_003514102.1	GO:0051607,GO:0003723
WP_003514117.1	GO:0032069,GO:0080090,GO:0019222,GO:0031323,GO:0003674,GO:0003677,GO:0004857,GO:0043086,GO:0008428,GO:0051346,GO:0008080,GO:0050789,GO:0019219,GO:0065007,GO:0044092,GO:0065009,GO:0016787,GO:0060255,GO:0030234,GO:0050790,GO:0032074,GO:0050794,GO:0008150,GO:0051171,GO:0051336
WP_003514120.1	GO:0003700,GO:0016987,GO:0006355,GO:2000142,GO:0006351,GO:0006352,GO:0003677,GO:0003899
WP_003514124.1	GO:0008173,GO:0003723,GO:0001510,GO:0008168,GO:0006396
WP_003514126.1	GO:0090304,GO:0090305,GO:0034641,GO:0006807,GO:0003674,GO:0005623,GO:0090502,GO:0034660,GO:0043170,GO:0071840,GO:0005737,GO:0006139,GO:0004812,GO:0044260,GO:0004525,GO:0016021,GO:0004540,GO:0042254,GO:0071704,GO:0010467,GO:0006364,GO:0022613,GO:0016787,GO:0034470,GO:0009987,GO:0006725,GO:0016788,GO:0003824,GO:0008150,GO:0008152,GO:0046483,GO:0016070,GO:0044238,GO:0016072,GO:0004518,GO:0044464,GO:0044237,GO:0005622,GO:0005575,GO:0044085,GO:0019843,GO:0044424,GO:1901360,GO:0006396
WP_003514128.1	GO:0032502,GO:0000003,GO:0019954,GO:0043934,GO:0044767,GO:0030436,GO:0008150,GO:0009847,GO:0005886,GO:0016021,GO:0044699
WP_003514130.1	GO:0016021,GO:0009847
WP_003514134.1	GO:0005488,GO:0035639,GO:0019752,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0003674,GO:0008270,GO:0034645,GO:0034660,GO:0000166,GO:1901363,GO:0001883,GO:0001882,GO:0005737,GO:0006139,GO:0044710,GO:0004812,GO:0040007,GO:0004817,GO:0016874,GO:0006520,GO:0043038,GO:0043167,GO:0032555,GO:0071704,GO:0010467,GO:1901360,GO:0032549,GO:0017076,GO:0046872,GO:0005524,GO:0043168,GO:0005622,GO:0006423,GO:0043169,GO:0006412,GO:0009987,GO:0006725,GO:1901265,GO:0044260,GO:0036094,GO:0003824,GO:0009058,GO:0009059,GO:0008150,GO:0008152,GO:0043436,GO:0005623,GO:0044267,GO:0016875,GO:0016876,GO:0046483,GO:0016070,GO:0044238,GO:1901564,GO:0046914,GO:0006082,GO:0030554,GO:0019538,GO:0097159,GO:0005829,GO:0044464,GO:0044237,GO:0043170,GO:0005575,GO:0006399,GO:0044444,GO:0043039,GO:0032559,GO:0006418,GO:0044424,GO:1901576,GO:0032550,GO:0032553,GO:0044281
WP_003514136.1	GO:0016021
WP_003514151.1	GO:0016787,GO:0003908,GO:0008152,GO:0006281
WP_003514153.1	GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0005575,GO:0071944,GO:0005886
WP_003514161.1	GO:0018106,GO:0000155,GO:0016021,GO:0016310,GO:0005524,GO:0000160,GO:0016772,GO:0023014,GO:0007165
WP_003514166.1	GO:0004252,GO:0016021,GO:0016020,GO:0006508,GO:0008236
WP_003514168.1	GO:0016787,
WP_003514173.1	GO:0000287,GO:0034645,GO:0034061,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0003674,GO:0005488,GO:0003676,GO:0003677,GO:1901576,GO:0005622,GO:1901363,GO:0031224,GO:0005737,GO:0006139,GO:0051716,GO:0005623,GO:0044260,GO:0016021,GO:0016020,GO:0003887,GO:0071704,GO:0016740,GO:0006260,GO:0044699,GO:0006261,GO:0006281,GO:0009987,GO:0006725,GO:0006974,GO:0003824,GO:0006950,GO:0009059,GO:0008150,GO:0008152,GO:0044425,GO:0046483,GO:0044238,GO:0016779,GO:0000012,GO:0016772,GO:0050896,GO:0044464,GO:0009058,GO:0044237,GO:0043170,GO:0005575,GO:0006259,GO:0033554,GO:0097159,GO:0044424,GO:0044763,GO:1901360,GO:0003684,GO:0071897
WP_003514175.1	GO:0004170,GO:0006226,GO:0000287,GO:0008483,GO:0046081
WP_003514180.1	GO:0043094,GO:0005737,GO:0016791,GO:0016311,GO:0008973,GO:0016021,GO:0000287,GO:0003824,GO:0009117,GO:0008152,GO:0046872
WP_003514181.1	GO:0005737,GO:0000917,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0044424
WP_003514192.1	GO:0022607,GO:0031167,GO:0034660,GO:0034622,GO:0009451,GO:0000028,GO:0034641,GO:0006807,GO:0003674,GO:0005488,GO:0003676,GO:0003677,GO:0008168,GO:0043170,GO:1901363,GO:0044699,GO:0005737,GO:0006139,GO:0043566,GO:0008649,GO:0044260,GO:0042274,GO:0006396,GO:1901360,GO:0016433,GO:0042255,GO:0010467,GO:0016043,GO:0065003,GO:0071704,GO:0016740,GO:0016741,GO:0071840,GO:0005575,GO:0022613,GO:0070475,GO:0003690,GO:0046872,GO:0006364,GO:0016787,GO:0009987,GO:0034470,GO:0044238,GO:0008757,GO:0043933,GO:0006725,GO:0071826,GO:0005623,GO:0042254,GO:0008170,GO:0000179,GO:0043414,GO:0008173,GO:0008152,GO:0001510,GO:0070925,GO:0046483,GO:0016070,GO:0090304,GO:0016072,GO:0032259,GO:0006996,GO:0003824,GO:0000154,GO:0097159,GO:0044464,GO:0043412,GO:0044237,GO:0019843,GO:0052908,GO:0044763,GO:0044085,GO:0022618,GO:0003723,GO:0044424,GO:0008150,GO:0005622,GO:0003729
WP_003514194.1	GO:0009254,GO:0016021,GO:0019867,GO:0004553
WP_003514198.1	GO:0004536,GO:0051536,GO:0016788,GO:0090305,GO:0006259,GO:0016888,GO:0004527
WP_003514204.1	GO:0032502,GO:0000003,GO:0016021,GO:0043934,GO:0044767,GO:0030436,GO:0008150,GO:0019954,GO:0044699
WP_003514206.1	GO:0016021,GO:0016020,GO:0044464,GO:0005623,GO:0005575,GO:0071944,GO:0005886
WP_003514207.1	GO:0003677
WP_003514209.1	GO:0008152,GO:0005886,GO:0009451,GO:0090304,GO:0034641,GO:0006807,GO:0003674,GO:0005623,GO:0034660,GO:0008168,GO:0005622,GO:0000451,GO:0000453,GO:0005737,GO:0006139,GO:0008649,GO:0044260,GO:0016021,GO:0016020,GO:0016434,GO:0010467,GO:0071704,GO:0016740,GO:0016741,GO:0071840,GO:0022613,GO:0032259,GO:0006364,GO:0034470,GO:0008757,GO:0009987,GO:0006725,GO:0042254,GO:0043412,GO:0008171,GO:0008150,GO:0031167,GO:0001510,GO:0046483,GO:0016070,GO:0044238,GO:0016072,GO:0008173,GO:0003824,GO:0000154,GO:0044464,GO:0044237,GO:0043170,GO:0005575,GO:0071944,GO:0070677,GO:0044424,GO:0043414,GO:1901360,GO:0006396,GO:0044085
WP_003514211.1	GO:0008168,GO:0032259,GO:0003676,
WP_003514213.1	GO:0022900,GO:0046872,GO:0051539,GO:0009055
WP_003514216.1	GO:0008408,GO:0020037,GO:0003887,GO:0090305,GO:0022900,GO:0006260,GO:0071897,GO:0003677,GO:0009360,GO:0046872,GO:0005524,GO:0009055
WP_003514218.1	GO:0006235,GO:0006233,GO:0006227,GO:0016310,GO:0005829,GO:0004798,GO:0009041,GO:0046940,GO:0005524
WP_003514219.1	GO:0003824,
WP_003514222.1	GO:0016887,GO:0005524
WP_003514223.1	GO:0016021,GO:0055085,GO:0005886
WP_003514224.1	GO:0000160,GO:0003677,GO:0006355
WP_003514225.1	GO:0006304,GO:0000160,GO:0016773,GO:0000155,GO:0016021,GO:0016301,GO:0140096,GO:0016775,GO:0006464,GO:0016310,GO:0016772,GO:0003677,GO:0140299,GO:0005524,GO:0007165
WP_003514226.1	GO:0004022,GO:0055114
WP_003514228.1	GO:0006772,GO:0046434,GO:0009166,GO:0009167,GO:0009164,GO:0044281,GO:0009161,GO:0046130,GO:1901360,GO:0009169,GO:0044710,GO:0007213,GO:0009199,GO:0042454,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0043236,GO:0046128,GO:0046483,GO:0016818,GO:1901564,GO:1901565,GO:0034641,GO:0006163,GO:0019439,GO:0015405,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0016817,GO:0006807,GO:0003674,GO:0016887,GO:0006195,GO:1901575,GO:0017111,GO:0042623,GO:0006200,GO:0015399,GO:0019637,GO:1901361,GO:0022804,GO:0016787,GO:0006810,GO:0009158,GO:0009154,GO:0009150,GO:0009261,GO:0003824,GO:0008150,GO:0008152,GO:0034655,GO:0051234,GO:0044270,GO:0043492,GO:0016462,GO:1901292,GO:0044763,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0044699,GO:0009125,GO:0006139,GO:0016820,GO:0042724,GO:0042278,GO:0005215,GO:0009987,GO:0006725,GO:0055085,GO:0055086,GO:1901136,GO:1901135,GO:0046700,GO:0045202,GO:0072521,GO:0072523,GO:0022857,GO:0071704,GO:0006152,GO:0009228,GO:0019693,GO:0042626,GO:0044765,GO:0009117,GO:0009116,GO:0005886,GO:0009119,GO:0009056,GO:0051179,GO:0044238,GO:0044237,GO:1901657,GO:0006796,GO:0006793,GO:0043113,GO:1901658
WP_003514229.1	GO:0046434,GO:0009166,GO:0009167,GO:0009164,GO:0044281,GO:0009161,GO:0046130,GO:1901360,GO:0009169,GO:0044710,GO:0009199,GO:0046483,GO:0009207,GO:0009205,GO:0009203,GO:0046034,GO:0046128,GO:0042454,GO:0016818,GO:1901564,GO:1901565,GO:0034641,GO:0006163,GO:0005524,GO:0019439,GO:0015405,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0016817,GO:0006807,GO:0003674,GO:0016887,GO:0006195,GO:1901575,GO:0042623,GO:0006200,GO:0015399,GO:0019637,GO:1901361,GO:0022804,GO:0016787,GO:0006810,GO:0009158,GO:0009154,GO:0009150,GO:0009261,GO:0003824,GO:0008150,GO:0008152,GO:0034655,GO:0051234,GO:0044270,GO:0043492,GO:0016462,GO:1901292,GO:0009117,GO:0006753,GO:0044248,GO:0009128,GO:0009123,GO:0009126,GO:0009259,GO:0044699,GO:0009125,GO:0006139,GO:0016820,GO:0042278,GO:0005215,GO:0009987,GO:0006725,GO:0055085,GO:0055086,GO:0042626,GO:1901136,GO:1901135,GO:0046700,GO:0044237,GO:0072521,GO:0072523,GO:0022857,GO:0071704,GO:0006152,GO:0017111,GO:0044765,GO:0044763,GO:0009116,GO:0009119,GO:0009056,GO:0051179,GO:0044238,GO:0019693,GO:1901657,GO:0006796,GO:0006793,GO:1901658
WP_003514230.1	GO:0005975,GO:0016998,GO:0016021,GO:0005886,GO:0004553
WP_003514231.1	GO:0005737,GO:0001123,GO:0003700,GO:0016987,GO:0006355,GO:2000142,GO:0006352,GO:0003677
WP_003514256.1	GO:0016787,
WP_003514291.1	GO:0009628,GO:0009314,GO:0000731,GO:0090304,GO:0044249,GO:0034641,GO:0009411,GO:0009416,GO:0034645,GO:0003677,GO:1901362,GO:0009295,GO:1901360,GO:1901576,GO:0051716,GO:0044260,GO:0006281,GO:0071704,GO:0044699,GO:0046872,GO:0018130,GO:0006139,GO:0009987,GO:0006725,GO:0006974,GO:0006950,GO:0009059,GO:0008150,GO:0008152,GO:0019438,GO:0034654,GO:0046483,GO:0006310,GO:0044238,GO:0044271,GO:0050896,GO:0009058,GO:0044237,GO:0043170,GO:0005575,GO:0006807,GO:0033554,GO:0006259,GO:0044763,GO:0071897
WP_003514292.1	GO:0005737,GO:0043232,GO:0005575,GO:0003677,GO:0009295
WP_003514293.1	GO:0009360,GO:0008408,GO:0040007,GO:0003887,GO:0090305,GO:0008150,GO:0005524,GO:0003677,GO:0006260,GO:0071897
WP_003514302.1	GO:0005737,GO:0003735,GO:0005840,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0044424,GO:0006412
WP_003514304.1	GO:0022626,GO:0022627,GO:0019222,GO:0030529,GO:1901363,GO:1901360,GO:0080090,GO:0010604,GO:0048518,GO:0060255,GO:0046483,GO:0043232,GO:0019538,GO:0005829,GO:0044424,GO:0044422,GO:0009893,GO:0043229,GO:0006807,GO:0003674,GO:0005488,GO:0003676,GO:0005622,GO:0050789,GO:1901576,GO:0044260,GO:0065007,GO:0050794,GO:0008150,GO:0008152,GO:0016070,GO:0005840,GO:0097159,GO:0000376,GO:0044446,GO:0044444,GO:0044445,GO:0015935,GO:0044249,GO:0034641,GO:0034645,GO:0005737,GO:0006139,GO:0000049,GO:0043484,GO:0008380,GO:0005198,GO:0031323,GO:0009987,GO:0006725,GO:0044391,GO:0051252,GO:0044464,GO:0051254,GO:0005623,GO:0043170,GO:0043228,GO:0003723,GO:0031325,GO:0034337,GO:0034336,GO:0090304,GO:0040007,GO:0043226,GO:0003735,GO:0071704,GO:0010467,GO:0010468,GO:0033120,GO:0045935,GO:0044267,GO:0019219,GO:0000375,GO:0009058,GO:0009059,GO:0051171,GO:0000372,GO:0051173,GO:0009507,GO:0044238,GO:0032991,GO:0044237,GO:0019843,GO:0005575,GO:0006412,GO:0006396,GO:0048522
WP_003514305.1	GO:0022626,GO:0022627,GO:0019222,GO:0005198,GO:1901363,GO:0071840,GO:0080090,GO:0010605,GO:0010608,GO:0016020,GO:0048519,GO:0060255,GO:0044391,GO:0043232,GO:0019538,GO:0005829,GO:0044424,GO:0044422,GO:0022607,GO:0009892,GO:0009890,GO:0000028,GO:0043229,GO:0043228,GO:0003674,GO:0005488,GO:0003676,GO:0043170,GO:0050789,GO:0044267,GO:0044260,GO:0042255,GO:0042254,GO:0016043,GO:0065003,GO:0065007,GO:0009889,GO:0050794,GO:0008150,GO:0008152,GO:0005840,GO:0097159,GO:0044446,GO:0044444,GO:0010556,GO:0010558,GO:0015935,GO:0043226,GO:0044249,GO:0034645,GO:0044699,GO:0005737,GO:0051248,GO:0000049,GO:0042274,GO:0051246,GO:0031327,GO:0022618,GO:0022613,GO:0009987,GO:0030312,GO:0032269,GO:0032268,GO:0044464,GO:0005623,GO:0005622,GO:0003723,GO:0017148,GO:0003729,GO:0043933,GO:0031326,GO:0031324,GO:0031323,GO:0071944,GO:0034622,GO:0071826,GO:0040007,GO:0005618,GO:2000112,GO:2000113,GO:0030529,GO:0003735,GO:0071704,GO:0010467,GO:0044445,GO:0010468,GO:1901576,GO:0009058,GO:0009059,GO:0044763,GO:0005886,GO:0070925,GO:0006996,GO:0044238,GO:0032991,GO:0044237,GO:0019843,GO:0005575,GO:0044085,GO:0006417,GO:0006412,GO:0048523
WP_003514309.1	GO:0009628,GO:0034645,GO:0005886,GO:0008152,GO:0044249,GO:0071944,GO:0003674,GO:0005488,GO:0003676,GO:0001666,GO:1901363,GO:0005737,GO:1901576,GO:0040007,GO:0044260,GO:0005618,GO:0016020,GO:0071704,GO:0010467,GO:0005525,GO:0008135,GO:0044267,GO:0009987,GO:0003924,GO:0030312,GO:0006950,GO:0009059,GO:0008150,GO:0010038,GO:0010039,GO:0042221,GO:0010035,GO:0070482,GO:0044238,GO:0016779,GO:0005622,GO:0006412,GO:0019538,GO:0036293,GO:0050896,GO:0044464,GO:0009058,GO:0044237,GO:0043170,GO:0005575,GO:0044444,GO:0003723,GO:0097159,GO:0044424,GO:0003746,GO:0006414,GO:0005623,GO:0005829
WP_003514311.1	GO:0003700,GO:0016021,GO:0016987,GO:0006355,GO:2000142,GO:0006352,GO:0003677,GO:0003899
WP_003514315.1	GO:0005737,GO:0016021,GO:0009401,GO:0016740,GO:0016310
WP_003514317.1	GO:0090304,GO:0090305,GO:0034641,GO:0006807,GO:0003674,GO:0005623,GO:0009432,GO:0003677,GO:0005622,GO:1901360,GO:0005737,GO:0006139,GO:0051716,GO:0040007,GO:0044260,GO:0005618,GO:0016020,GO:0004520,GO:0071704,GO:0044699,GO:0016787,GO:0005515,GO:0006281,GO:0009987,GO:0006725,GO:0016788,GO:0006289,GO:0006974,GO:0003824,GO:0006950,GO:0008150,GO:0008152,GO:0005886,GO:0030312,GO:0046483,GO:0043234,GO:0044238,GO:0032991,GO:0009380,GO:0009381,GO:0004518,GO:0004519,GO:0050896,GO:0044464,GO:0044237,GO:0043170,GO:0005575,GO:0004536,GO:0071944,GO:0006259,GO:0033554,GO:0044424,GO:0044763
WP_003514320.1	GO:0016787,GO:0140096,GO:0006470
WP_003514322.1	GO:0009991,GO:0022607,GO:0006457,GO:0008152,GO:0070271,GO:0043933,GO:0044464,GO:0006458,GO:0031667,GO:0071944,GO:0046677,GO:0005488,GO:0042594,GO:0007154,GO:0016859,GO:0051301,GO:0016491,GO:0005737,GO:0044267,GO:0000413,GO:0005623,GO:0044260,GO:0005618,GO:0071840,GO:0016020,GO:0009636,GO:0016043,GO:0051083,GO:0065003,GO:0071704,GO:0044699,GO:0003755,GO:0043021,GO:0043022,GO:0071496,GO:0005515,GO:0044238,GO:0009987,GO:0051716,GO:0006464,GO:0030312,GO:0050896,GO:0003824,GO:0043412,GO:0036211,GO:0008150,GO:0031668,GO:0009267,GO:0005886,GO:0042221,GO:0018193,GO:0055114,GO:0016853,GO:0006461,GO:0007049,GO:0031669,GO:0018208,GO:0009605,GO:0019538,GO:0005829,GO:0044183,GO:0006950,GO:0044237,GO:0043170,GO:0005575,GO:0044763,GO:0044444,GO:0044085,GO:0003723,GO:0033554,GO:0071822,GO:0044424,GO:0003674,GO:0015031,GO:0005622
WP_003514324.1	GO:0005737,GO:0004252,GO:0016021,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0044424,GO:0006508
WP_003514326.1	GO:0006457,GO:0035639,GO:0071944,GO:0003674,GO:0005488,GO:0008233,GO:0000166,GO:1901363,GO:1901265,GO:0001882,GO:0043168,GO:0040007,GO:0005618,GO:0051082,GO:0043167,GO:0071704,GO:0001883,GO:0032549,GO:0017076,GO:0005524,GO:0016787,GO:0030312,GO:0036094,GO:0003824,GO:0008150,GO:0008152,GO:0006508,GO:0044238,GO:0030554,GO:0019538,GO:0097159,GO:0044464,GO:0005623,GO:0043170,GO:0005575,GO:0032559,GO:0032555,GO:0046983,GO:0032550,GO:0032553,GO:0008270
WP_003514331.1	GO:0004175,GO:0061711,GO:0009451,GO:0090304,GO:0090305,GO:0034641,GO:0006807,GO:0003674,GO:0005488,GO:0003677,GO:0034660,GO:0008233,GO:0005622,GO:0002949,GO:0046085,GO:0008237,GO:0001948,GO:0005737,GO:0006139,GO:0044710,GO:0005623,GO:0044260,GO:0006399,GO:0042278,GO:0071704,GO:0010467,GO:0005576,GO:1901360,GO:0006400,GO:0006508,GO:0005506,GO:0044281,GO:0042802,GO:0016787,GO:0008033,GO:0005515,GO:0009987,GO:0006725,GO:0072521,GO:0004222,GO:0003824,GO:0043412,GO:0008150,GO:0009116,GO:0008152,GO:0009119,GO:0046128,GO:0055086,GO:0046483,GO:0016070,GO:0044238,GO:1901564,GO:0019538,GO:0004519,GO:0005829,GO:0044464,GO:0044237,GO:0043170,GO:0005575,GO:1901657,GO:0044444,GO:0070011,GO:0034470,GO:0044424,GO:0070526,GO:1901135,GO:0006396,GO:0070525
WP_003514333.1	GO:0006493,GO:0008933,GO:0016829,GO:0016020,GO:0000270,GO:0016798,GO:0042597
WP_003514339.1	GO:0016787,GO:0003824
WP_003514341.1	GO:0003674,GO:0044237,GO:0003676,GO:0005622,GO:1901363,GO:0005737,GO:0044267,GO:0044260,GO:0070930,GO:0071704,GO:0009987,GO:0006464,GO:0043412,GO:0036211,GO:0008150,GO:0008152,GO:0070929,GO:0044238,GO:0019538,GO:0097159,GO:0005829,GO:0044464,GO:0005623,GO:0043170,GO:0005575,GO:0044444,GO:0003723,GO:0044424,GO:0005488
WP_003514375.1	GO:0016787,GO:0006281,GO:0016021,GO:0006355,GO:0008270,GO:0003677,GO:0008168
WP_003514376.1	GO:0016310,GO:0016301,
WP_003514377.1	GO:0016787,
WP_003514378.1	GO:0016787,GO:0038023,GO:0016020,GO:0008152
WP_003514381.1	GO:0005737,GO:0043565,GO:0003700,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0006355,GO:0003677,GO:0044424
WP_003514383.1	GO:0030248,GO:0005975,GO:0008810,GO:0071555,GO:0046872,GO:0016021,GO:0030246,GO:0030245,GO:0000272,GO:0003824,GO:0022857,GO:0052689,GO:0004553,GO:0008168,GO:0007154,GO:0032259,GO:0055085
WP_003514386.1	GO:0008452,GO:0003677,GO:0046872,GO:0006396,GO:0005525
WP_003514395.1	GO:0016310,GO:0016301,GO:0016787
WP_003514399.1	GO:0003700,GO:0006355,GO:0003677,GO:0005622
WP_003514437.1	GO:0016887,GO:0005524
WP_003514439.1	GO:0016021,GO:0016020,GO:0005575,GO:0005886,GO:0055085
WP_003514440.1	GO:0003824,GO:0008152,
WP_003514456.1	GO:0005737,GO:0016787,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0003824,GO:0019239,GO:0003674,GO:0008152,GO:0044424,GO:0008150
WP_003514458.1	GO:0005737,GO:0019346,GO:0004121,GO:0004123,GO:0044464,GO:0080146,GO:0005623,GO:0044540,GO:0005575,GO:0003824,GO:0047982,GO:0030170,GO:0044424,GO:0005622,GO:0003962
WP_003514465.1	GO:0016021,GO:0016020,GO:0005575,GO:0005886,GO:0055085
WP_003514467.1	GO:0016887,GO:0005524
WP_003514472.1	GO:0044248,GO:0005975,GO:0044260,GO:0009986,GO:0005575,GO:0005576,GO:0004553,GO:0009057
WP_003514478.1	GO:0006355,GO:0003677
WP_003514483.1	GO:0004435,GO:0006080,GO:0006629,GO:0016021,GO:0016985,GO:0030246,GO:0005576,GO:0004553,GO:0035556,GO:0000272
WP_003514493.1	GO:0005829,GO:0006935,GO:0004871,GO:0007165
WP_003514500.1	GO:0008757,GO:0008213,GO:0000160,GO:0051998,GO:0032259
WP_003514503.1	GO:0005737,GO:0006482,GO:0008984,GO:0006935,GO:0000160,GO:0000156,GO:0050568,GO:0005623,GO:0005622,GO:0005575,GO:0018277,GO:0044424,GO:0008168,GO:0032259,GO:0044464
WP_003514505.1	GO:0055114,GO:0016491
WP_003514543.1	GO:0016021,GO:0050660,GO:0016614,GO:0055114
WP_003514545.1	GO:0006355,GO:0003677
WP_003514552.1	GO:0005737,GO:0044238,GO:0032269,GO:0005840,GO:1990904,GO:2000113,GO:0034249,GO:0010629,GO:0006417,GO:0043022,GO:0043024
