ProteinID	GO
ADU74510.1	GO:0080090,GO:0019222,GO:0030423,GO:1901363,GO:0071840,GO:0010605,GO:0010604,GO:0010608,GO:0040029,GO:0016458,GO:0048518,GO:0048519,GO:0060255,GO:0040033,GO:0046483,GO:0016441,GO:0006378,GO:0022607,GO:0009892,GO:0009893,GO:0009890,GO:0009891,GO:0010629,GO:0006807,GO:0003674,GO:0005488,GO:0003676,GO:0003677,GO:0050789,GO:0044260,GO:0016043,GO:0065003,GO:0065007,GO:1901360,GO:0045727,GO:0009889,GO:0043566,GO:0050794,GO:0008150,GO:0008152,GO:0016070,GO:0016071,GO:0097159,GO:0006355,GO:0010557,GO:0010556,GO:0010558,GO:0034641,GO:0044699,GO:0006139,GO:0051248,GO:0051246,GO:0051247,GO:0043933,GO:0022618,GO:0032270,GO:0045975,GO:0045974,GO:0009987,GO:0006725,GO:0022613,GO:0032269,GO:0032268,GO:0043170,GO:0003723,GO:0017148,GO:0003681,GO:0031328,GO:0031327,GO:0031326,GO:0031325,GO:0031324,GO:0031323,GO:0090304,GO:0034622,GO:0043631,GO:0071826,GO:2000112,GO:2000113,GO:0071704,GO:0010467,GO:0016246,GO:0010468,GO:0031124,GO:0031123,GO:0044763,GO:0031047,GO:0044238,GO:0035194,GO:0044237,GO:0044085,GO:0048523,GO:0006417,GO:0048522,GO:0006396,GO:0006397
ADU74518.1	GO:0016423,GO:0008175,GO:0009019,GO:0009451,GO:0090304,GO:0034641,GO:0006807,GO:0003674,GO:0005623,GO:0034660,GO:0008168,GO:0005622,GO:1901360,GO:0005737,GO:0030488,GO:0040007,GO:0044260,GO:0016740,GO:0071704,GO:0010467,GO:0016741,GO:0006400,GO:0032259,GO:0008033,GO:0006139,GO:0008757,GO:0009987,GO:0006725,GO:0008173,GO:0043412,GO:0008150,GO:0008152,GO:0001510,GO:0046483,GO:0016070,GO:0044238,GO:0003824,GO:0044464,GO:0044237,GO:0043170,GO:0005575,GO:0006399,GO:0006396,GO:0034470,GO:0044424,GO:0043414,GO:0052906
ADU74579.1	GO:0003824,GO:0008152,
ADU74599.1	GO:0005737,GO:0006436,GO:0004830,GO:0016021,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0004812,GO:0006418,GO:0044424,GO:0000166,GO:0005524
ADU74708.1	GO:0006310,GO:0004803,GO:0006313,GO:0098655,GO:0016021,GO:0032196,GO:0019829,GO:0015074,GO:0003676,GO:0005886,GO:0046872,GO:0003677,GO:0005524
ADU74726.1	GO:0004479,GO:0071951,GO:0016021,GO:0000162,GO:0016742,GO:0003824,GO:0009058,GO:0006413,GO:0004834
ADU74765.1	GO:0005975,GO:0008745,GO:0004553,GO:0019867,GO:0009254,GO:0016740,GO:0009253
ADU74874.1	GO:0005737,GO:0001123,GO:0003700,GO:0016021,GO:0016987,GO:0006355,GO:2000142,GO:0006352,GO:0003677,GO:0003899
ADU74909.1	GO:0015931,GO:0034645,GO:0043933,GO:0015858,GO:0044249,GO:0003674,GO:0005488,GO:0003676,GO:0005622,GO:0043241,GO:1901363,GO:0044699,GO:1901264,GO:0005737,GO:0044267,GO:0032984,GO:0043624,GO:0005623,GO:0044260,GO:0016043,GO:0071705,GO:0071704,GO:0010467,GO:0071840,GO:0071702,GO:0008079,GO:0009987,GO:0016149,GO:1901576,GO:0015864,GO:0006810,GO:0015862,GO:0009058,GO:0009059,GO:0008150,GO:0008152,GO:0051234,GO:0051179,GO:0044238,GO:0071822,GO:0019538,GO:0097159,GO:0008135,GO:0044464,GO:0044765,GO:0044237,GO:0043170,GO:0005575,GO:0003723,GO:0044424,GO:0044763,GO:0006415,GO:0003747,GO:0022411,GO:0006412
ADU74998.1	GO:0005737,GO:0032259,GO:0044260,GO:0016021,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0006364,GO:0044424,GO:0008168,GO:0140102,GO:0009451
ADU75126.1	GO:0016021
ADU75174.1	GO:0006508,GO:0016021,GO:0004222,
ADU75265.1	GO:0003700,GO:0016021,GO:0016987,GO:0006355,GO:2000142,GO:0006352,GO:0003677,GO:0003899
ADU75281.1	GO:0016021
ADU75551.1	GO:0008168,GO:0032259,GO:0008716,
ADU75560.1	GO:0005737,GO:0042450,GO:0004042,GO:0043231,GO:0005618,GO:0016310,GO:0016020,GO:0044464,GO:0006526,GO:0005623,GO:0005622,GO:0005575,GO:0071944,GO:0008150,GO:0005886,GO:0044424,GO:0030312,GO:0003991,GO:0005524,GO:0040007
ADU75615.1	GO:0005737,GO:0004139,GO:0046386,GO:0044464,GO:0016829,GO:0016052,GO:0042558,GO:0005622,GO:0005575,GO:0003824,GO:0009264,GO:0044424,GO:0005623
ADU75650.1	GO:0016021,GO:0016788,GO:0016539,GO:0009405,GO:0003723,GO:0043022
ADU75656.1	GO:0004803,GO:0006313,GO:0006281,GO:0015940,GO:0003677,GO:0003864
ADU75688.1	GO:0016021,GO:0016788,GO:0016539,GO:0009405,GO:0003723,GO:0043022
ADU75721.1	GO:0016021
ADU75724.1	GO:0005737,GO:0044464,GO:0003924,GO:0005623,GO:0005622,GO:0005575,GO:0044424,GO:0046872,GO:0005525
ADU75731.1	GO:0008810,GO:0016162,GO:0030247,GO:0030245,GO:0000272,GO:0003824,GO:0004553
ADU75767.1	GO:0016021,GO:0016020,GO:0005575,GO:0005886,GO:0055085
ADU75853.1	GO:0004803,GO:0006313,GO:0003677
ADU75877.1	GO:0008080,GO:0071951,GO:0016742,GO:0003824,GO:0009058,GO:0016758,GO:0140101,GO:0006518
ADU75920.1	GO:0016787,GO:0015992,GO:0046933,GO:0046034,GO:0016021,GO:0033178,GO:0046961,GO:0042777,GO:0005524
WP_003511526.1	GO:0016021,GO:0006810,GO:0055085
WP_003511531.1	GO:0000160,GO:0000156,GO:0006817,GO:0006355,GO:0003677
WP_003511534.1	GO:0006508,GO:0008233,
WP_003511544.1	GO:0006633,GO:0006631,GO:0016790,GO:0019752,GO:0044249,GO:0003674,GO:0005488,GO:0044283,GO:0072330,GO:1901576,GO:0044710,GO:0044711,GO:0071704,GO:0006629,GO:0009987,GO:0032787,GO:0009058,GO:0008150,GO:0008152,GO:0043436,GO:0000036,GO:0044255,GO:0008610,GO:0044238,GO:0051192,GO:0006082,GO:0046394,GO:0016053,GO:0044237,GO:0044620,GO:0048037,GO:0044281
WP_003511546.1	GO:0016787,GO:0016021,GO:0008152,
WP_003511547.1	GO:0016787,
WP_003511548.1	GO:0016021,GO:0030246
WP_003511549.1	GO:0015995,GO:0051536,GO:0015979,GO:0003824,GO:0046872,GO:0016021,GO:0055114
