ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
M00026	Histidine biosynthesis, PRPP => histidine	2/11	11/283	0.0624323687886624	0.24972947515465	0.24972947515465	Clo1313_1619/Clo1313_0427	2
M00009	Citrate cycle (TCA cycle, Krebs cycle)	1/11	10/283	0.331707667569986	0.500527890631801	0.500527890631801	Clo1313_1355	1
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	1/11	12/283	0.384572744610143	0.500527890631801	0.500527890631801	Clo1313_1355	1
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	1/11	17/283	0.500527890631801	0.500527890631801	0.500527890631801	Clo1313_1355	1
