Protein	Locus
ADU74675.1	Clo1313_1614
WP_003515992.1	Clo1313_2411
ADU73226.1	Clo1313_0129
WP_003519433.1	Clo1313_1074
WP_003516263.1	Clo1313_1487
ADU75136.1	Clo1313_2095
ADU73977.1	Clo1313_0909
WP_003515694.1	Clo1313_1140
WP_003512896.1	Clo1313_0231
ADU74383.1	Clo1313_1320
ADU75440.1	Clo1313_2426
WP_003515952.1	Clo1313_2426
WP_003512055.1	Clo1313_2147
ADU73106.1	Clo1313_0006
ADU75700.1	Clo1313_2716
ADU75951.1	Clo1313_2973
ADU75593.1	Clo1313_2592
ADU75363.1	Clo1313_2341
WP_003519351.1	Clo1313_0614
ADU75112.1	Clo1313_2071
ADU73210.1	Clo1313_0113
ADU73121.1	Clo1313_0021
ADU74812.1	Clo1313_1755
WP_003512919.1	Clo1313_0215
WP_014522615.1	Clo1313_1299
WP_003515284.1	Clo1313_0397
WP_003517497.1	Clo1313_0989
ADU73141.1	Clo1313_0041
WP_003515330.1	Clo1313_0359
WP_003515885.1	Clo1313_2452
WP_003516485.1	Clo1313_1636
ADU73483.1	Clo1313_0393
ADU74202.1	Clo1313_1138
WP_003517009.1	Clo1313_0938
WP_003511610.1	Clo1313_0656
WP_004463813.1	Clo1313_0828
WP_003512521.1	Clo1313_1907
ADU74284.1	Clo1313_1220
WP_003512414.1	Clo1313_1963
ADU73959.1	Clo1313_0891
WP_003517487.1	Clo1313_0999
WP_003515614.1	Clo1313_1183
WP_003512702.1	Clo1313_1818
WP_003514981.1	Clo1313_2675
ADU74904.1	Clo1313_1851
ADU73313.1	Clo1313_0219
WP_003513574.1	Clo1313_2914
WP_003513155.1	Clo1313_0087
ADU75589.1	Clo1313_2588
WP_003513493.1	Clo1313_2953
ADU73228.1	Clo1313_0132
WP_003517944.1	Clo1313_1757
WP_003516864.1	Clo1313_2830
WP_003514846.1	Clo1313_0581
WP_003517026.1	Clo1313_0929
WP_003519574.1	Clo1313_2510
WP_003516386.1	Clo1313_1427
ADU75809.1	Clo1313_2829
ADU74121.1	Clo1313_1053
WP_003517107.1	Clo1313_0893
ADU74514.1	Clo1313_1452
ADU75561.1	Clo1313_2557
WP_003513490.1	Clo1313_2954
ADU74302.1	Clo1313_1238
ADU73641.1	Clo1313_0557
ADU74429.1	Clo1313_1366
ADU75420.1	Clo1313_2403
ADU73661.1	Clo1313_0579
ADU75869.1	Clo1313_2889
ADU73979.1	Clo1313_0911
WP_003520546.1	Clo1313_0957
ADU75093.1	Clo1313_2052
WP_003518873.1	Clo1313_1048
ADU74795.1	Clo1313_1738
WP_003517499.1	Clo1313_0987
ADU75436.1	Clo1313_2422
WP_003515296.1	Clo1313_0383
ADU75247.1	Clo1313_2209
WP_003515723.1	Clo1313_1126
WP_003520372.1	Clo1313_1269
WP_003514381.1	Clo1313_0348
WP_003511696.1	Clo1313_0712
ADU73622.1	Clo1313_0538
ADU75144.1	Clo1313_2103
WP_003518647.1	Clo1313_1260
WP_003515046.1	Clo1313_2661
ADU74936.1	Clo1313_1884
ADU75928.1	Clo1313_2949
WP_003520472.1	Clo1313_0545
WP_003516678.1	Clo1313_1540
ADU73674.1	Clo1313_0592
WP_003516306.1	Clo1313_1461
WP_003512259.1	Clo1313_2050
WP_003517535.1	Clo1313_0967
WP_003518635.1	Clo1313_1266
WP_003514645.1	Clo1313_0456
ADU74018.1	Clo1313_0950
WP_003520229.1	Clo1313_2794
ADU74366.1	Clo1313_1303
WP_003518773.1	Clo1313_1379
ADU73756.1	Clo1313_0676
ADU75973.1	Clo1313_2995
ADU75155.1	Clo1313_2114
WP_003513635.1	Clo1313_2884
WP_003517791.1	Clo1313_2250
WP_003518452.1	Clo1313_2610
WP_003513649.1	Clo1313_2876
WP_003513594.1	Clo1313_2903
WP_003515022.1	Clo1313_0308
ADU75255.1	Clo1313_2219
ADU74885.1	Clo1313_1829
ADU75769.1	Clo1313_2785
ADU74413.1	Clo1313_1350
WP_003518763.1	Clo1313_1384
WP_003518194.1	Clo1313_1936
ADU73899.1	Clo1313_0830
ADU74074.1	Clo1313_1006
ADU74227.1	Clo1313_1163
WP_003515439.1	Clo1313_0226
ADU74450.1	Clo1313_1387
ADU75249.1	Clo1313_2211
ADU73375.1	Clo1313_0284
WP_003515298.1	Clo1313_0382
ADU75666.1	Clo1313_2671
ADU73292.1	Clo1313_0197
WP_003520176.1	Clo1313_0860
ADU73723.1	Clo1313_0643
WP_003517659.1	Clo1313_1661
ADU73871.1	Clo1313_0799
ADU75775.1	Clo1313_2793
ADU73369.1	Clo1313_0278
WP_003513089.1	Clo1313_0122
WP_003515877.1	Clo1313_2456
ADU74242.1	Clo1313_1178
ADU75982.1	Clo1313_3004
WP_003512272.1	Clo1313_2040
WP_003514863.1	Clo1313_0571
ADU74614.1	Clo1313_1552
WP_003518707.1	Clo1313_1415
WP_003516233.1	Clo1313_1504
WP_003515936.1	Clo1313_2431
ADU73392.1	Clo1313_0301
WP_003518001.1	Clo1313_1718
ADU74168.1	Clo1313_1104
ADU74046.1	Clo1313_0978
WP_003516585.1	Clo1313_1587
ADU75549.1	Clo1313_2545
ADU73477.1	Clo1313_0387
ADU74672.1	Clo1313_1611
WP_003511783.1	Clo1313_0743
ADU75767.1	Clo1313_2783
WP_003517339.1	Clo1313_2343
ADU74380.1	Clo1313_1317
ADU75986.1	Clo1313_3008
WP_003515910.1	Clo1313_2441
ADU74721.1	Clo1313_1664
ADU74172.1	Clo1313_1108
WP_003512233.1	Clo1313_2063
ADU74850.1	Clo1313_1794
WP_003517379.1	Clo1313_2321
ADU74253.1	Clo1313_1189
ADU75489.1	Clo1313_2476
WP_003511677.1	Clo1313_0698
WP_003514081.1	Clo1313_2691
ADU74089.1	Clo1313_1021
ADU74729.1	Clo1313_1672
WP_003520835.1	Clo1313_0381
WP_014522613.1	Clo1313_1137
ADU73932.1	Clo1313_0864
WP_003515545.1	Clo1313_1222
WP_003517391.1	Clo1313_2312
ADU73956.1	Clo1313_0888
WP_003514341.1	Clo1313_0337
WP_003513087.1	Clo1313_0123
WP_003518976.1	Clo1313_2902
ADU73334.1	Clo1313_0240
ADU75322.1	Clo1313_2293
WP_003516873.1	Clo1313_2812
ADU75653.1	Clo1313_2655
WP_003513660.1	Clo1313_2860
WP_003520701.1	Clo1313_2373
ADU75354.1	Clo1313_2332
ADU76010.1	Clo1313_3032
WP_003519374.1	Clo1313_0630
WP_003516518.1	Clo1313_1619
WP_003518709.1	Clo1313_1414
WP_014522587.1	Clo1313_0035
WP_003516435.1	Clo1313_0044
ADU74249.1	Clo1313_1185
WP_003517868.1	Clo1313_2119
WP_003517405.1	Clo1313_2303
ADU74476.1	Clo1313_1414
WP_003517504.1	Clo1313_0982
WP_003520521.1	Clo1313_1408
ADU73646.1	Clo1313_0564
WP_003519241.1	Clo1313_0793
ADU75300.1	Clo1313_2269
WP_003511667.1	Clo1313_0686
ADU74992.1	Clo1313_1945
ADU75260.1	Clo1313_2225
ADU74513.1	Clo1313_1451
ADU74600.1	Clo1313_1538
ADU76005.1	Clo1313_3027
WP_003518688.1	Clo1313_1810
WP_003513777.1	Clo1313_2536
ADU74440.1	Clo1313_1377
ADU74951.1	Clo1313_1900
ADU75415.1	Clo1313_2398
ADU73209.1	Clo1313_0112
WP_003517722.1	Clo1313_2286
WP_003514630.1	Clo1313_0449
ADU74608.1	Clo1313_1546
ADU75068.1	Clo1313_2024
WP_003512152.1	Clo1313_2102
ADU74931.1	Clo1313_1879
ADU75409.1	Clo1313_2392
WP_003517969.1	Clo1313_1744
WP_003513953.1	Clo1313_2630
WP_003512022.1	Clo1313_2163
ADU75487.1	Clo1313_2474
WP_003519426.1	Clo1313_1855
WP_003518356.1	Clo1313_0121
ADU73215.1	Clo1313_0118
WP_003514148.1	Clo1313_2730
WP_003517284.1	Clo1313_1302
ADU75401.1	Clo1313_2384
WP_003517264.1	Clo1313_1314
WP_003513454.1	Clo1313_2975
ADU75175.1	Clo1313_2134
WP_003517065.1	Clo1313_0910
WP_003514597.1	Clo1313_0434
WP_003516031.1	Clo1313_2387
ADU74990.1	Clo1313_1943
ADU74478.1	Clo1313_1416
ADU75782.1	Clo1313_2801
ADU75169.1	Clo1313_2128
WP_003517071.1	Clo1313_0907
WP_003518911.1	Clo1313_2541
WP_003515738.1	Clo1313_1119
WP_003513882.1	Clo1313_2592
WP_003516271.1	Clo1313_1482
WP_003512025.1	Clo1313_2162
WP_003511981.1	Clo1313_2182
ADU73463.1	Clo1313_0373
ADU75532.1	Clo1313_2528
ADU75463.1	Clo1313_2449
ADU73773.1	Clo1313_0694
WP_003518175.1	Clo1313_1955
ADU75381.1	Clo1313_2359
ADU75516.1	Clo1313_2507
WP_003517259.1	Clo1313_1316
WP_003511726.1	Clo1313_0725
WP_003518298.1	Clo1313_0841
ADU75200.1	Clo1313_2160
ADU73295.1	Clo1313_0200
ADU75865.1	Clo1313_2885
ADU74831.1	Clo1313_1774
WP_003513203.1	Clo1313_0066
ADU74583.1	Clo1313_1521
ADU75548.1	Clo1313_2544
WP_003515943.1	Clo1313_2428
ADU73166.1	Clo1313_0067
WP_003512583.1	Clo1313_1882
ADU75528.1	Clo1313_2523
ADU75871.1	Clo1313_2891
ADU75395.1	Clo1313_2378
WP_003513674.1	Clo1313_2854
ADU74872.1	Clo1313_1816
WP_003517600.1	Clo1313_1691
WP_037295199.1	Clo1313_0415
ADU74859.1	Clo1313_1803
ADU73746.1	Clo1313_0666
WP_003515465.1	Clo1313_0176
ADU75879.1	Clo1313_2899
WP_003513588.1	Clo1313_2906
ADU74021.1	Clo1313_0953
ADU74593.1	Clo1313_1531
ADU75054.1	Clo1313_2010
WP_014522626.1	Clo1313_2008
WP_003511980.1	Clo1313_2183
ADU74535.1	Clo1313_1473
WP_003518401.1	Clo1313_2173
ADU75897.1	Clo1313_2917
WP_003516837.1	Clo1313_2858
ADU74592.1	Clo1313_1530
WP_003512436.1	Clo1313_1949
ADU75627.1	Clo1313_2627
ADU73289.1	Clo1313_0194
WP_003519208.1	Clo1313_0803
WP_003511683.1	Clo1313_0704
WP_003516421.1	Clo1313_0054
ADU74013.1	Clo1313_0945
WP_003514134.1	Clo1313_2723
ADU74321.1	Clo1313_1258
WP_003515678.1	Clo1313_1151
WP_003515458.1	Clo1313_0188
WP_003513366.1	Clo1313_3022
ADU73180.1	Clo1313_0082
ADU74706.1	Clo1313_1649
ADU73858.1	Clo1313_0785
WP_003515696.1	Clo1313_1139
WP_003518726.1	Clo1313_1404
ADU74037.1	Clo1313_0969
ADU73412.1	Clo1313_0321
WP_003514737.1	Clo1313_0514
ADU74194.1	Clo1313_1130
WP_003516358.1	Clo1313_1438
ADU73288.1	Clo1313_0193
ADU73822.1	Clo1313_0744
ADU74349.1	Clo1313_1286
WP_003518813.1	Clo1313_0407
WP_003519089.1	Clo1313_1891
WP_003519329.1	Clo1313_1914
ADU74485.1	Clo1313_1423
WP_003516284.1	Clo1313_1472
ADU74774.1	Clo1313_1717
WP_003517717.1	Clo1313_2289
WP_003517815.1	Clo1313_2240
ADU74499.1	Clo1313_1437
WP_003512492.1	Clo1313_1923
ADU75154.1	Clo1313_2113
ADU75770.1	Clo1313_2786
ADU74200.1	Clo1313_1136
WP_003512325.1	Clo1313_2010
WP_003515852.1	Clo1313_2465
ADU73917.1	Clo1313_0848
ADU73445.1	Clo1313_0355
ADU74491.1	Clo1313_1429
WP_003513703.1	Clo1313_2837
WP_003512995.1	Clo1313_0173
WP_003516027.1	Clo1313_2392
ADU75009.1	Clo1313_1962
WP_003512104.1	Clo1313_2127
ADU74647.1	Clo1313_1586
ADU74756.1	Clo1313_1699
WP_003515563.1	Clo1313_1211
WP_003514658.1	Clo1313_0463
ADU74092.1	Clo1313_1024
WP_003512648.1	Clo1313_1853
ADU74999.1	Clo1313_1952
ADU74994.1	Clo1313_1947
ADU75015.1	Clo1313_1968
WP_003513758.1	Clo1313_2526
WP_003518893.1	Clo1313_1036
WP_003515511.1	Clo1313_1239
WP_003515069.1	Clo1313_2821
ADU75303.1	Clo1313_2272
ADU73571.1	Clo1313_0482
WP_003519140.1	Clo1313_1095
WP_003517709.1	Clo1313_2294
ADU75282.1	Clo1313_2250
WP_003512687.1	Clo1313_1823
WP_003512136.1	Clo1313_2109
ADU74623.1	Clo1313_1561
ADU73511.1	Clo1313_0422
WP_003516937.1	Clo1313_0536
ADU73532.1	Clo1313_0443
WP_003515698.1	Clo1313_1138
WP_003512892.1	Clo1313_0233
ADU73519.1	Clo1313_0430
WP_003521386.1	Clo1313_0753
WP_014522590.1	Clo1313_0351
WP_003519168.1	Clo1313_1082
WP_003512930.1	Clo1313_0208
ADU73963.1	Clo1313_0895
ADU74347.1	Clo1313_1284
ADU74443.1	Clo1313_1380
WP_037294696.1	Clo1313_0513
WP_003513019.1	Clo1313_0154
WP_003514077.1	Clo1313_2688
WP_003512662.1	Clo1313_1845
WP_003512354.1	Clo1313_1995
WP_003511902.1	Clo1313_2222
WP_003517011.1	Clo1313_0937
ADU73181.1	Clo1313_0083
ADU74137.1	Clo1313_1073
WP_003516530.1	Clo1313_1612
ADU73138.1	Clo1313_0038
WP_003517537.1	Clo1313_0966
ADU75444.1	Clo1313_2430
WP_003515996.1	Clo1313_2408
WP_003517908.1	Clo1313_1773
WP_003516032.1	Clo1313_2386
WP_003514126.1	Clo1313_2719
WP_003512059.1	Clo1313_2145
ADU74651.1	Clo1313_1590
WP_003519286.1	Clo1313_1921
WP_003514792.1	Clo1313_0610
ADU75987.1	Clo1313_3009
WP_003519074.1	Clo1313_1786
WP_003516913.1	Clo1313_0568
ADU74262.1	Clo1313_1198
ADU73790.1	Clo1313_0712
ADU74544.1	Clo1313_1482
WP_003514213.1	Clo1313_2761
ADU73685.1	Clo1313_0603
ADU75464.1	Clo1313_2450
WP_003516509.1	Clo1313_1624
WP_003519623.1	Clo1313_0788
ADU73102.1	Clo1313_0002
WP_003512814.1	Clo1313_0271
WP_003513026.1	Clo1313_0145
ADU75367.1	Clo1313_2345
WP_003511951.1	Clo1313_2198
WP_003518489.1	Clo1313_2921
WP_003518977.1	Clo1313_2892
ADU73699.1	Clo1313_0619
WP_003517030.1	Clo1313_0927
ADU73145.1	Clo1313_0046
ADU74459.1	Clo1313_1396
WP_003513605.1	Clo1313_2898
ADU75825.1	Clo1313_2845
ADU75108.1	Clo1313_2067
ADU74832.1	Clo1313_1775
WP_003517502.1	Clo1313_0984
ADU74288.1	Clo1313_1224
ADU73165.1	Clo1313_0066
WP_003516462.1	Clo1313_0013
ADU75089.1	Clo1313_2048
WP_003513902.1	Clo1313_2601
ADU73159.1	Clo1313_0060
ADU75651.1	Clo1313_2653
WP_003512862.1	Clo1313_0249
ADU74445.1	Clo1313_1382
ADU75253.1	Clo1313_2216
WP_003517897.1	Clo1313_1777
WP_003514226.1	Clo1313_2773
WP_003517505.1	Clo1313_0981
ADU73151.1	Clo1313_0052
ADU74599.1	Clo1313_1537
WP_003513547.1	Clo1313_2926
ADU73262.1	Clo1313_0167
WP_003516777.1	Clo1313_2726
ADU73995.1	Clo1313_0927
WP_003516314.1	Clo1313_1455
WP_003511538.1	Clo1313_0621
ADU75830.1	Clo1313_2850
WP_003517151.1	Clo1313_1367
WP_003513159.1	Clo1313_0085
WP_003517906.1	Clo1313_1774
ADU75850.1	Clo1313_2870
WP_003516440.1	Clo1313_0038
WP_003518575.1	Clo1313_1295
ADU75565.1	Clo1313_2561
WP_003515653.1	Clo1313_1163
ADU74306.1	Clo1313_1242
ADU74240.1	Clo1313_1176
WP_003514691.1	Clo1313_0490
WP_003515677.1	Clo1313_1152
ADU73618.1	Clo1313_0534
ADU75170.1	Clo1313_2129
ADU73232.1	Clo1313_0136
ADU74010.1	Clo1313_0942
ADU75097.1	Clo1313_2056
WP_003516448.1	Clo1313_0030
ADU74570.1	Clo1313_1508
WP_003511856.1	Clo1313_0777
WP_003514556.1	Clo1313_0418
ADU73626.1	Clo1313_0542
ADU74193.1	Clo1313_1129
ADU74322.1	Clo1313_1259
WP_003520705.1	Clo1313_2371
ADU73347.1	Clo1313_0253
WP_003520684.1	Clo1313_2381
ADU75106.1	Clo1313_2065
ADU73256.1	Clo1313_0161
WP_003513124.1	Clo1313_0103
WP_003518814.1	Clo1313_0406
WP_003518853.1	Clo1313_1058
ADU75087.1	Clo1313_2046
ADU74916.1	Clo1313_1864
WP_003513104.1	Clo1313_0113
ADU74100.1	Clo1313_1032
WP_003516767.1	Clo1313_2737
ADU75967.1	Clo1313_2989
WP_003517789.1	Clo1313_2251
ADU73425.1	Clo1313_0334
WP_003516606.1	Clo1313_1575
WP_003516644.1	Clo1313_1557
WP_003515756.1	Clo1313_1111
WP_003516870.1	Clo1313_2816
ADU75559.1	Clo1313_2555
ADU73355.1	Clo1313_0262
ADU73176.1	Clo1313_0078
ADU73703.1	Clo1313_0623
ADU74827.1	Clo1313_1770
WP_014522659.1	Clo1313_2868
WP_003516866.1	Clo1313_2826
WP_003515507.1	Clo1313_1241
ADU75977.1	Clo1313_2999
ADU74678.1	Clo1313_1617
WP_003518767.1	Clo1313_1382
ADU75953.1	Clo1313_2975
ADU75719.1	Clo1313_2735
WP_003513278.1	Clo1313_0024
ADU73556.1	Clo1313_0467
ADU73371.1	Clo1313_0280
ADU75231.1	Clo1313_2191
ADU74751.1	Clo1313_1694
ADU75190.1	Clo1313_2149
ADU74070.1	Clo1313_1002
WP_003517776.1	Clo1313_2259
ADU75180.1	Clo1313_2139
ADU74817.1	Clo1313_1760
ADU74686.1	Clo1313_1625
WP_003512370.1	Clo1313_1987
WP_003515873.1	Clo1313_2458
ADU73199.1	Clo1313_0102
ADU74066.1	Clo1313_0998
ADU74217.1	Clo1313_1153
ADU73572.1	Clo1313_0483
ADU74374.1	Clo1313_1311
ADU73185.1	Clo1313_0088
ADU73869.1	Clo1313_0796
WP_003516243.1	Clo1313_1499
ADU75739.1	Clo1313_2755
WP_003516694.1	Clo1313_2793
ADU73849.1	Clo1313_0773
WP_003511905.1	Clo1313_2219
WP_003520980.1	Clo1313_1542
WP_003511577.1	Clo1313_0641
ADU75485.1	Clo1313_2472
ADU73217.1	Clo1313_0120
ADU75731.1	Clo1313_2747
ADU74637.1	Clo1313_1576
WP_003518005.1	Clo1313_1714
WP_003512665.1	Clo1313_1841
WP_003513523.1	Clo1313_2936
ADU74676.1	Clo1313_1615
ADU75499.1	Clo1313_2487
ADU75725.1	Clo1313_2741
ADU75678.1	Clo1313_2689
WP_003519257.1	Clo1313_2694
ADU74205.1	Clo1313_1141
ADU73952.1	Clo1313_0884
ADU74384.1	Clo1313_1321
WP_003515409.1	Clo1313_0265
ADU73490.1	Clo1313_0400
WP_003517346.1	Clo1313_2340
ADU74519.1	Clo1313_1457
WP_003517933.1	Clo1313_1763
ADU75590.1	Clo1313_2589
ADU73105.1	Clo1313_0005
WP_003519077.1	Clo1313_1783
WP_003513533.1	Clo1313_2931
WP_003515853.1	Clo1313_2464
ADU75717.1	Clo1313_2733
WP_003513880.1	Clo1313_2591
WP_003518310.1	Clo1313_0834
ADU75123.1	Clo1313_2082
ADU74219.1	Clo1313_1155
WP_003511635.1	Clo1313_0666
WP_003517389.1	Clo1313_2314
WP_003512237.1	Clo1313_2061
ADU75062.1	Clo1313_2018
WP_003513874.1	Clo1313_2588
WP_003514339.1	Clo1313_0336
ADU74505.1	Clo1313_1443
ADU75378.1	Clo1313_2356
ADU75326.1	Clo1313_2299
WP_003516148.1	Clo1313_0700
WP_003514757.1	Clo1313_0525
ADU74995.1	Clo1313_1948
ADU75133.1	Clo1313_2092
WP_003513078.1	Clo1313_0127
WP_003517480.1	Clo1313_1002
ADU73916.1	Clo1313_0847
ADU73928.1	Clo1313_0860
ADU73587.1	Clo1313_0498
WP_003514855.1	Clo1313_0575
ADU75342.1	Clo1313_2319
ADU73948.1	Clo1313_0880
ADU75837.1	Clo1313_2857
WP_003520694.1	Clo1313_2376
ADU75339.1	Clo1313_2314
WP_003514747.1	Clo1313_0520
WP_003513644.1	Clo1313_2879
ADU73119.1	Clo1313_0019
WP_003519198.1	Clo1313_0809
ADU75056.1	Clo1313_2012
WP_003515355.1	Clo1313_0325
WP_003512699.1	Clo1313_1820
ADU74948.1	Clo1313_1897
ADU74122.1	Clo1313_1054
WP_003516324.1	Clo1313_1449
WP_003518386.1	Clo1313_2187
WP_003518658.1	Clo1313_1254
WP_003511607.1	Clo1313_0655
ADU74517.1	Clo1313_1455
ADU73642.1	Clo1313_0558
WP_003516443.1	Clo1313_0033
ADU73597.1	Clo1313_0512
WP_003513164.1	Clo1313_0083
WP_003515627.1	Clo1313_1177
ADU75625.1	Clo1313_2625
ADU73231.1	Clo1313_0135
WP_003511681.1	Clo1313_0702
ADU75411.1	Clo1313_2394
ADU73650.1	Clo1313_0568
WP_003519182.1	Clo1313_0814
WP_003518650.1	Clo1313_1258
WP_003515588.1	Clo1313_1198
WP_003512188.1	Clo1313_2082
ADU75244.1	Clo1313_2204
ADU74972.1	Clo1313_1922
ADU75431.1	Clo1313_2415
WP_003519003.1	Clo1313_2004
ADU73322.1	Clo1313_0228
WP_003514386.1	Clo1313_0352
WP_003512366.1	Clo1313_1991
ADU75631.1	Clo1313_2631
ADU73658.1	Clo1313_0576
ADU74935.1	Clo1313_1883
WP_003512401.1	Clo1313_1968
ADU75439.1	Clo1313_2425
ADU74915.1	Clo1313_1862
ADU74929.1	Clo1313_1877
ADU75425.1	Clo1313_2408
ADU75276.1	Clo1313_2244
ADU75142.1	Clo1313_2101
WP_003515281.1	Clo1313_0400
ADU73589.1	Clo1313_0500
ADU73603.1	Clo1313_0518
ADU74444.1	Clo1313_1381
WP_003512630.1	Clo1313_1858
ADU74921.1	Clo1313_1869
ADU74432.1	Clo1313_1369
ADU74299.1	Clo1313_1235
WP_003512867.1	Clo1313_0246
WP_003517959.1	Clo1313_1749
ADU75399.1	Clo1313_2382
WP_003515701.1	Clo1313_1136
WP_003516661.1	Clo1313_1549
ADU75772.1	Clo1313_2789
WP_003516055.1	Clo1313_0764
WP_003513273.1	Clo1313_0027
WP_003516859.1	Clo1313_2840
WP_003519118.1	Clo1313_1022
WP_003514583.1	Clo1313_0431
ADU75385.1	Clo1313_2367
ADU75072.1	Clo1313_2029
WP_003516640.1	Clo1313_1560
WP_003517987.1	Clo1313_1731
ADU74462.1	Clo1313_1399
ADU74849.1	Clo1313_1793
ADU74230.1	Clo1313_1166
ADU75512.1	Clo1313_2502
ADU73376.1	Clo1313_0285
ADU73753.1	Clo1313_0673
WP_004463784.1	Clo1313_0867
WP_003517255.1	Clo1313_1318
ADU73291.1	Clo1313_0196
ADU73734.1	Clo1313_0654
ADU74045.1	Clo1313_0977
ADU75159.1	Clo1313_2118
WP_003518465.1	Clo1313_2947
WP_003519922.1	Clo1313_0524
ADU74406.1	Clo1313_1343
WP_003512871.1	Clo1313_0244
WP_003513240.1	Clo1313_0047
ADU74059.1	Clo1313_0991
ADU74587.1	Clo1313_1525
WP_003512952.1	Clo1313_0198
WP_003514025.1	Clo1313_2669
WP_003515754.1	Clo1313_1112
WP_003517514.1	Clo1313_0974
WP_003512565.1	Clo1313_1896
WP_003516833.1	Clo1313_2862
WP_003514874.1	Clo1313_0566
ADU74051.1	Clo1313_0983
ADU75757.1	Clo1313_2773
ADU73742.1	Clo1313_0662
WP_003513987.1	Clo1313_2642
WP_003515461.1	Clo1313_0185
WP_003512267.1	Clo1313_2045
WP_003516971.1	Clo1313_0955
WP_003517674.1	Clo1313_1655
ADU74868.1	Clo1313_1812
WP_003515441.1	Clo1313_0223
WP_003512571.1	Clo1313_1892
ADU74345.1	Clo1313_1282
WP_003519116.1	Clo1313_1023
ADU74860.1	Clo1313_1804
ADU74359.1	Clo1313_1296
WP_003517341.1	Clo1313_2342
ADU74792.1	Clo1313_1735
WP_003512799.1	Clo1313_0282
ADU74702.1	Clo1313_1644
ADU74033.1	Clo1313_0965
ADU74101.1	Clo1313_1033
ADU74171.1	Clo1313_1107
ADU74726.1	Clo1313_1669
WP_003514291.1	Clo1313_2800
ADU74250.1	Clo1313_1186
ADU75714.1	Clo1313_2730
WP_003516355.1	Clo1313_1441
ADU75218.1	Clo1313_2178
WP_003517644.1	Clo1313_1668
ADU73472.1	Clo1313_0382
WP_003514820.1	Clo1313_0595
ADU74778.1	Clo1313_1721
WP_003513857.1	Clo1313_2581
ADU75319.1	Clo1313_2290
WP_003517713.1	Clo1313_2291
WP_003515304.1	Clo1313_0375
ADU74718.1	Clo1313_1661
ADU74165.1	Clo1313_1101
ADU73802.1	Clo1313_0724
WP_003512624.1	Clo1313_1866
ADU74683.1	Clo1313_1622
ADU73455.1	Clo1313_0365
ADU73426.1	Clo1313_0335
ADU75325.1	Clo1313_2298
ADU73449.1	Clo1313_0359
WP_003516175.1	Clo1313_1530
WP_003518743.1	Clo1313_1394
WP_003517153.1	Clo1313_1366
ADU74111.1	Clo1313_1043
WP_003515915.1	Clo1313_2439
ADU73441.1	Clo1313_0351
WP_003517870.1	Clo1313_2108
WP_003518738.1	Clo1313_1397
ADU74096.1	Clo1313_1028
WP_003515540.1	Clo1313_1225
ADU74365.1	Clo1313_1302
ADU75480.1	Clo1313_2467
ADU73509.1	Clo1313_0420
WP_003517414.1	Clo1313_2299
ADU75307.1	Clo1313_2276
WP_003515567.1	Clo1313_1209
ADU74816.1	Clo1313_1759
WP_003515583.1	Clo1313_1201
WP_003520966.1	Clo1313_1609
ADU74603.1	Clo1313_1541
ADU75031.1	Clo1313_1984
ADU75789.1	Clo1313_2809
ADU75037.1	Clo1313_1990
WP_003517976.1	Clo1313_1740
WP_003514662.1	Clo1313_0465
ADU74980.1	Clo1313_1930
WP_003516577.1	Clo1313_1591
WP_003511544.1	Clo1313_0622
WP_003512683.1	Clo1313_1827
WP_003513471.1	Clo1313_2963
WP_003519164.1	Clo1313_1086
ADU75317.1	Clo1313_2288
ADU73515.1	Clo1313_0426
WP_003512977.1	Clo1313_0186
WP_003515577.1	Clo1313_1204
WP_003516613.1	Clo1313_1572
WP_003512888.1	Clo1313_0235
WP_003513536.1	Clo1313_2928
ADU75458.1	Clo1313_2444
WP_003518519.1	Clo1313_0488
WP_014522594.1	Clo1313_0627
WP_003517399.1	Clo1313_2306
ADU73528.1	Clo1313_0439
ADU76008.1	Clo1313_3030
WP_003511862.1	Clo1313_0780
WP_003513193.1	Clo1313_0071
ADU73983.1	Clo1313_0915
WP_003512967.1	Clo1313_0191
ADU74500.1	Clo1313_1438
WP_003517853.1	Clo1313_2148
ADU75811.1	Clo1313_2831
ADU75176.1	Clo1313_2135
WP_003513453.1	Clo1313_2976
ADU73812.1	Clo1313_0734
WP_003514311.1	Clo1313_0320
WP_003514635.1	Clo1313_0451
ADU73520.1	Clo1313_0431
WP_003514796.1	Clo1313_0605
ADU74969.1	Clo1313_1918
ADU75795.1	Clo1313_2815
WP_003520703.1	Clo1313_2372
ADU73681.1	Clo1313_0599
WP_003512884.1	Clo1313_0237
ADU73774.1	Clo1313_0696
ADU75460.1	Clo1313_2446
ADU75470.1	Clo1313_2456
ADU73175.1	Clo1313_0077
ADU75053.1	Clo1313_2009
ADU74461.1	Clo1313_1398
WP_003516579.1	Clo1313_1590
WP_003516438.1	Clo1313_0041
WP_003512036.1	Clo1313_2153
ADU73161.1	Clo1313_0062
ADU74852.1	Clo1313_1796
WP_003515673.1	Clo1313_1154
WP_003514254.1	Clo1313_2797
ADU75628.1	Clo1313_2628
ADU75829.1	Clo1313_2849
ADU75043.1	Clo1313_1997
ADU73278.1	Clo1313_0183
WP_003517613.1	Clo1313_1685
ADU73749.1	Clo1313_0669
WP_003514681.1	Clo1313_0475
ADU73169.1	Clo1313_0071
WP_003515466.1	Clo1313_0175
