Protein	Locus
WP_003516372.1	Clo1313_1431
ADU73689.1	Clo1313_0609
ADU73911.1	Clo1313_0842
WP_003516841.1	Clo1313_2852
ADU73931.1	Clo1313_0863
WP_003515542.1	Clo1313_1224
ADU74247.1	Clo1313_1183
ADU74564.1	Clo1313_1502
WP_003517204.1	Clo1313_1346
WP_003511666.1	Clo1313_0685
ADU74107.1	Clo1313_1039
WP_003512134.1	Clo1313_2110
ADU74993.1	Clo1313_1946
WP_003511658.1	Clo1313_0677
ADU74601.1	Clo1313_1539
ADU75694.1	Clo1313_2710
WP_003514612.1	Clo1313_0441
WP_003515370.1	Clo1313_0300
WP_003511546.1	Clo1313_0623
ADU73643.1	Clo1313_0559
ADU73208.1	Clo1313_0111
WP_003521384.1	Clo1313_0754
ADU75315.1	Clo1313_2286
ADU74245.1	Clo1313_1181
WP_003519236.1	Clo1313_0795
ADU74609.1	Clo1313_1547
ADU75408.1	Clo1313_2391
WP_003513952.1	Clo1313_2629
WP_003520620.1	Clo1313_2207
ADU75988.1	Clo1313_3010
WP_003511670.1	Clo1313_0689
ADU74615.1	Clo1313_1553
ADU74086.1	Clo1313_1018
ADU73991.1	Clo1313_0923
WP_014522596.1	Clo1313_0679
WP_003513794.1	Clo1313_2545
ADU74961.1	Clo1313_1910
ADU76006.1	Clo1313_3028
WP_003513467.1	Clo1313_2965
ADU75400.1	Clo1313_2383
ADU75934.1	Clo1313_2955
WP_003512965.1	Clo1313_0192
WP_003515286.1	Clo1313_0394
WP_003517974.1	Clo1313_1741
ADU73810.1	Clo1313_0732
WP_003516909.1	Clo1313_0579
WP_003517064.1	Clo1313_0911
WP_003516030.1	Clo1313_2389
ADU73526.1	Clo1313_0437
ADU75783.1	Clo1313_2802
WP_003517525.1	Clo1313_0972
WP_003520198.1	Clo1313_1032
ADU75622.1	Clo1313_2622
ADU75611.1	Clo1313_2611
WP_003514668.1	Clo1313_0468
ADU74534.1	Clo1313_1472
WP_003517408.1	Clo1313_2302
ADU73687.1	Clo1313_0605
ADU75655.1	Clo1313_2658
ADU75462.1	Clo1313_2448
WP_003518601.1	Clo1313_1283
ADU73880.1	Clo1313_0811
WP_003516026.1	Clo1313_2393
ADU75174.1	Clo1313_2133
ADU74814.1	Clo1313_1757
ADU74109.1	Clo1313_1041
ADU75864.1	Clo1313_2884
ADU74521.1	Clo1313_1459
ADU74830.1	Clo1313_1773
WP_003514235.1	Clo1313_2782
WP_003513202.1	Clo1313_0067
ADU73329.1	Clo1313_0235
WP_003519008.1	Clo1313_1998
ADU73788.1	Clo1313_0710
ADU75454.1	Clo1313_2440
ADU74582.1	Clo1313_1520
ADU73268.1	Clo1313_0173
WP_003511753.1	Clo1313_0736
WP_003512582.1	Clo1313_1883
WP_003521254.1	Clo1313_1118
ADU75529.1	Clo1313_2524
ADU75394.1	Clo1313_2377
ADU75041.1	Clo1313_1995
WP_003517056.1	Clo1313_0915
WP_003519449.1	Clo1313_1643
WP_003517611.1	Clo1313_1686
ADU73780.1	Clo1313_0702
ADU74858.1	Clo1313_1802
ADU73747.1	Clo1313_0667
WP_011837904.1	Clo1313_1424
ADU73177.1	Clo1313_0079
ADU74826.1	Clo1313_1769
ADU74088.1	Clo1313_1020
ADU73712.1	Clo1313_0632
WP_003512804.1	Clo1313_0277
WP_003515665.1	Clo1313_1158
WP_003514220.1	Clo1313_2767
ADU75742.1	Clo1313_2758
WP_003519441.1	Clo1313_1067
ADU75235.1	Clo1313_2195
WP_003512397.1	Clo1313_1970
ADU73276.1	Clo1313_0181
WP_003515596.1	Clo1313_1193
WP_003516995.1	Clo1313_0944
WP_003518293.1	Clo1313_0843
WP_003514693.1	Clo1313_0491
WP_003515671.1	Clo1313_1155
WP_003518069.1	Clo1313_2044
WP_003511682.1	Clo1313_0703
WP_003518117.1	Clo1313_3011
WP_003518535.1	Clo1313_0481
ADU73195.1	Clo1313_0098
ADU75856.1	Clo1313_2876
WP_003517318.1	Clo1313_2353
WP_003515459.1	Clo1313_0187
ADU74320.1	Clo1313_1257
WP_003513367.1	Clo1313_3021
WP_003514621.1	Clo1313_0445
ADU75535.1	Clo1313_2531
ADU73632.1	Clo1313_0548
ADU73254.1	Clo1313_0159
ADU74036.1	Clo1313_0968
ADU74195.1	Clo1313_1131
WP_003513106.1	Clo1313_0112
WP_003516726.1	Clo1313_2774
ADU74749.1	Clo1313_1692
