Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003517959.1	24.2064483333333	25.4111566666667	23.631475	23.1622425	23.0989433333333	25.0182875	23.9641425	22.7041483333333	22.9623975	20.5557766666667	22.9884766666667	22.2582416666667
WP_003516661.1	26.2845925	26.0951433333333	26.5957966666667	27.6816983333333	26.2499108333333	28.5498	27.4969033333333	27.1993141666667	27.0262975	26.4719708333333	27.5111633333333	27.0568366666667
WP_003518177.1	29.2483916666667	29.1823966666667	29.452555	29.3537333333333	29.3738775	29.4613225	29.2546191666667	29.2193333333333	29.3351858333333	29.1544108333333	29.0933108333333	28.4439916666667
WP_003513624.1	27.1223225	27.6772158333333	28.1247991666667	26.8354258333333	27.2746133333333	27.4901033333333	27.222865	26.3506383333333	27.5141483333333	27.1008758333333	26.7205833333333	26.5261141666667
WP_003517270.1	20.3413558333333	22.5692675	21.447495	20.2622775	22.8178691666667	20.4021283333333	23.471825	23.1264741666667	24.2694633333333	22.1222058333333	23.01489	20.6871741666667
WP_003514581.1	28.8779775	28.4060525	28.618045	28.8486708333333	28.5383491666667	28.8779775	28.4755766666667	28.7160291666667	27.2388208333333	28.7705066666667	29.0109491666667	28.6068916666667
WP_003515703.1	26.3865408333333	25.8035916666667	26.1903233333333	25.7331325	26.2280891666667	26.2499108333333	24.5916158333333	26.1330491666667	26.5493858333333	25.4289108333333	26.8061508333333	26.5724658333333
WP_003516667.1	25.604585	26.3003066666667	26.3165308333333	26.0825091666667	26.1486025	26.2209158333333	26.0530033333333	25.92161	26.3865408333333	26.2280891666667	25.2161908333333	26.2900333333333
WP_003518917.1	27.1393158333333	26.3079383333333	26.5076408333333	27.2388208333333	28.189375	27.1826933333333	28.2269566666667	28.18567	27.1993141666667	27.5658133333333	28.0654608333333	27.9448325
WP_003521330.1	29.6895325	29.5620125	29.699295	29.5829833333333	29.857385	29.3087066666667	30.3731916666667	30.1743783333333	31.4600475	29.8964	30.6195341666667	30.7734291666667
WP_003517276.1	22.6423333333333	22.2404316666667	22.5183016666667	21.9447066666667	26.337075	19.4010466666667	22.8348675	20.2396125	20.7611091666667	22.4853158333333	19.39387	20.07421
WP_003514583.1	22.7801775	18.6397975	22.0918408333333	22.7429941666667	21.6369041666667	22.4799766666667	22.3187008333333	22.3325641666667	23.6518691666667	23.5833816666667	20.7934216666667	20.5146875
WP_003517274.1	24.8403625	24.5747883333333	25.531395	26.1620366666667	22.35725	22.6799566666667	27.2838566666667	27.5295341666667	24.6533333333333	24.2514925	23.5287	27.2131708333333
WP_003520766.1	25.1283466666667	24.6329125	23.5718991666667	24.262035	25.2026283333333	25.2026283333333	24.916235	25.6850625	26.5115308333333	25.39757	24.7569658333333	25.8075841666667
WP_003516312.1	31.02988	31.9456325	30.80224	31.4316991666667	29.4613225	30.3346691666667	30.9705908333333	30.3346691666667	31.6979058333333	30.38554	30.8215533333333	31.0006808333333
