GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:1901362	organic cyclic compound biosynthetic pro...	254	8	4.99	0.099
GO:0034654	nucleobase-containing compound biosynthe...	212	7	4.17	0.101
GO:0009072	aromatic amino acid family metabolic pro...	28	2	0.55	0.102
GO:0071704	organic substance metabolic process	719	17	14.13	0.116
GO:0043170	macromolecule metabolic process	465	12	9.14	0.142
GO:0090304	nucleic acid metabolic process	230	7	4.52	0.143
GO:0010467	gene expression	232	7	4.56	0.148
GO:0044255	cellular lipid metabolic process	38	2	0.75	0.169
GO:0065007	biological regulation	197	6	3.87	0.173
GO:0046394	carboxylic acid biosynthetic process	114	4	2.24	0.177
GO:0009266	response to temperature stimulus	10	1	0.2	0.181
GO:0046677	response to antibiotic	10	1	0.2	0.181
GO:0022411	cellular component disassembly	10	1	0.2	0.181
GO:0097237	cellular response to toxic substance	10	1	0.2	0.181
GO:0019692	deoxyribose phosphate metabolic process	10	1	0.2	0.181
GO:0032984	protein-containing complex disassembly	10	1	0.2	0.181
GO:0016053	organic acid biosynthetic process	115	4	2.26	0.181
GO:0018130	heterocycle biosynthetic process	245	7	4.81	0.184
GO:0016070	RNA metabolic process	159	5	3.12	0.190
GO:0006526	arginine biosynthetic process	11	1	0.22	0.197
GO:0071897	DNA biosynthetic process	11	1	0.22	0.197
GO:0042592	homeostatic process	11	1	0.22	0.197
GO:0040007	growth	120	4	2.36	0.202
GO:0033692	cellular polysaccharide biosynthetic pro...	12	1	0.24	0.213
GO:0006525	arginine metabolic process	12	1	0.24	0.213
GO:0015672	monovalent inorganic cation transport	12	1	0.24	0.213
GO:0034637	cellular carbohydrate biosynthetic proce...	12	1	0.24	0.213
GO:0006091	generation of precursor metabolites and ...	45	2	0.88	0.220
GO:0008652	cellular amino acid biosynthetic process	84	3	1.65	0.224
GO:0098660	inorganic ion transmembrane transport	13	1	0.26	0.229
GO:0098662	inorganic cation transmembrane transport	13	1	0.26	0.229
GO:0006725	cellular aromatic compound metabolic pro...	407	10	8	0.242
GO:0009130	pyrimidine nucleoside monophosphate bios...	14	1	0.28	0.244
GO:0009123	nucleoside monophosphate metabolic proce...	89	3	1.75	0.251
GO:0005976	polysaccharide metabolic process	50	2	0.98	0.257
GO:0006139	nucleobase-containing compound metabolic...	364	9	7.15	0.259
GO:0000271	polysaccharide biosynthetic process	15	1	0.29	0.259
GO:0009129	pyrimidine nucleoside monophosphate meta...	15	1	0.29	0.259
GO:0000910	cytokinesis	15	1	0.29	0.259
GO:1901360	organic cyclic compound metabolic proces...	415	10	8.15	0.266
GO:1901564	organonitrogen compound metabolic proces...	465	11	9.14	0.267
GO:0046034	ATP metabolic process	52	2	1.02	0.272
GO:0009084	glutamine family amino acid biosynthetic...	16	1	0.31	0.274
GO:0022402	cell cycle process	16	1	0.31	0.274
GO:0044260	cellular macromolecule metabolic process	369	9	7.25	0.274
GO:0019538	protein metabolic process	228	6	4.48	0.279
GO:0009124	nucleoside monophosphate biosynthetic pr...	53	2	1.04	0.280
GO:0050789	regulation of biological process	184	5	3.61	0.287
GO:0006631	fatty acid metabolic process	17	1	0.33	0.288
GO:0009636	response to toxic substance	17	1	0.33	0.288
GO:0006807	nitrogen compound metabolic process	626	14	12.3	0.293
GO:0006464	cellular protein modification process	55	2	1.08	0.295
GO:0036211	protein modification process	55	2	1.08	0.295
GO:0044271	cellular nitrogen compound biosynthetic ...	332	8	6.52	0.312
GO:0044237	cellular metabolic process	684	15	13.44	0.313
GO:0016051	carbohydrate biosynthetic process	19	1	0.37	0.316
GO:0006221	pyrimidine nucleotide biosynthetic proce...	19	1	0.37	0.316
