GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0051173	positive regulation of nitrogen compound...	10	2	0.2	0.015
GO:0031325	positive regulation of cellular metaboli...	10	2	0.2	0.015
GO:0010468	regulation of gene expression	81	5	1.59	0.017
GO:0010628	positive regulation of gene expression	11	2	0.22	0.018
GO:0009893	positive regulation of metabolic process	11	2	0.22	0.018
GO:0010604	positive regulation of macromolecule met...	11	2	0.22	0.018
GO:0008610	lipid biosynthetic process	30	3	0.59	0.019
GO:0048522	positive regulation of cellular process	12	2	0.24	0.022
GO:0050790	regulation of catalytic activity	13	2	0.26	0.025
GO:0060255	regulation of macromolecule metabolic pr...	90	5	1.77	0.026
GO:0065009	regulation of molecular function	14	2	0.28	0.029
GO:0019222	regulation of metabolic process	93	5	1.83	0.029
GO:0006355	regulation of transcription, DNA-templat...	63	4	1.24	0.031
GO:2001141	regulation of RNA biosynthetic process	64	4	1.26	0.032
GO:1903506	regulation of nucleic acid-templated tra...	64	4	1.26	0.032
GO:0043650	dicarboxylic acid biosynthetic process	15	2	0.29	0.033
GO:0051252	regulation of RNA metabolic process	67	4	1.32	0.037
GO:0006629	lipid metabolic process	40	3	0.79	0.040
GO:0048518	positive regulation of biological proces...	17	2	0.33	0.042
GO:0044249	cellular biosynthetic process	445	13	8.74	0.044
GO:0006351	transcription, DNA-templated	72	4	1.41	0.047
GO:0019219	regulation of nucleobase-containing comp...	72	4	1.41	0.047
GO:0097659	nucleic acid-templated transcription	73	4	1.43	0.049
GO:2000112	regulation of cellular macromolecule bio...	74	4	1.45	0.051
GO:1901576	organic substance biosynthetic process	453	13	8.9	0.051
GO:0009628	response to abiotic stimulus	19	2	0.37	0.051
GO:0010556	regulation of macromolecule biosynthetic...	76	4	1.49	0.056
GO:0031326	regulation of cellular biosynthetic proc...	76	4	1.49	0.056
GO:0034645	cellular macromolecule biosynthetic proc...	227	8	4.46	0.056
GO:0032774	RNA biosynthetic process	77	4	1.51	0.058
GO:0009889	regulation of biosynthetic process	77	4	1.51	0.058
GO:0009058	biosynthetic process	462	13	9.08	0.060
GO:0022900	electron transport chain	21	2	0.41	0.062
GO:0044238	primary metabolic process	682	17	13.4	0.062
GO:0009059	macromolecule biosynthetic process	232	8	4.56	0.062
GO:0051171	regulation of nitrogen compound metaboli...	85	4	1.67	0.078
GO:0043648	dicarboxylic acid metabolic process	24	2	0.47	0.078
GO:0031323	regulation of cellular metabolic process	86	4	1.69	0.081
GO:0032259	methylation	53	3	1.04	0.081
GO:0019438	aromatic compound biosynthetic process	246	8	4.83	0.084
GO:0080090	regulation of primary metabolic process	88	4	1.73	0.087
GO:0006260	DNA replication	26	2	0.51	0.090
GO:0009073	aromatic amino acid family biosynthetic ...	26	2	0.51	0.090
