hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003517959.1	24.3210930422922	25.4394809690167	23.9525371547585	23.5486722097145	23.6566686021376	25.0840498407036	24.2701137464695	23.3213829660838	NA	20.8775097154329	NA	22.2168339526098
WP_003516661.1	26.3295941695021	26.121108500252	26.6861366065212	27.7553808029728	26.4029091307241	28.5769352003519	27.6043114686055	27.3223222011689	26.6854749519457	26.5679537314071	27.1913288449112	27.0739615702675
WP_003518177.1	29.2867098005553	29.1849911233515	29.4933800187594	29.4115246178711	29.4649300202045	29.472742357237	29.3402682857892	29.3040190679007	29.1400686546393	29.2179268869277	28.9014189022256	28.44064283996
WP_003513624.1	27.165104073333	27.6920302760806	28.1970267823326	26.913213287769	27.4037362601033	27.5264844509869	27.326718079708	26.4895660377767	27.2089286049066	27.1913544135266	26.3416530257724	26.5240289723783
WP_003517270.1	NA	22.7040456765042	21.8883861898933	NA	23.4230230987919	NA	23.8872629519806	23.6832075816828	23.42322493734	22.6180616814661	20.9380375996553	NA
WP_003514581.1	28.9024966190727	28.4033652596778	28.6728837880267	28.8933981283432	28.6254634543447	28.8946177076025	28.5466661239981	28.7903780596017	26.9230470236954	28.8219096781835	28.8024217261191	28.6134969687179
WP_003515703.1	26.432218892628	25.8342361030839	26.2967082217192	25.843129775735	26.3778626415313	26.2894780632136	24.806671937578	26.2868450104236	26.1793965965215	25.5841952465468	26.4326479913161	26.5688797976532
WP_003516667.1	25.6818893964022	26.3167696775964	26.4172024191977	26.1802112599212	26.304832825655	26.2615050462488	26.1916799449367	26.0946804910976	26.007715736095	26.3320693689711	24.627345670443	26.2922657553433
WP_003518917.1	27.1783613797965	26.3226384826047	26.6013906338568	27.309594448929	28.2781463434218	27.2121468737126	28.3012552840834	28.2707220583779	26.8758745413303	27.6579311055904	27.7989137483985	27.9425005190015
WP_003521330.1	29.7088858420442	29.5554584504534	29.748043513126	29.619114806313	29.9239270933674	29.3401257164367	30.4294866527849	30.2572108592003	31.3662948104626	29.9393383282102	30.4591530861718	30.7785981379783
WP_003517276.1	22.9300959696429	22.2580782084731	22.9893354413982	22.3336665853477	26.4821197758221	NA	23.3567030706192	NA	NA	22.9655877856698	NA	NA
WP_003514583.1	23.056291960998	NA	22.5621316969754	23.1639376957962	22.404862588413	22.6859609405088	22.9032139870406	22.9912458340688	22.3462782440934	23.9210841110416	NA	NA
WP_003517274.1	24.9342226372794	24.6131347311673	25.6725258810444	26.2613043659214	23.0219995179643	22.921862299057	27.3880999107798	27.6567956619106	23.9574071835221	24.4681771430394	21.9923216633367	27.2129628349076
WP_003520766.1	25.214036215788	24.6680192969394	23.9039847783536	24.4552527560478	25.4150540626862	25.271293941701	25.1130201648886	25.8695509415642	26.146654706867	25.5512263141482	24.0642909282072	25.8249261189418
WP_003516312.1	31.0439331709487	31.9444611444845	30.8357819527328	31.4548911102726	29.5316018043521	30.3556228610536	30.9968783845175	30.4029975872383	31.6088767874939	30.435673277049	30.7014280333135	31.0011134195125
WP_003519009.1	26.4103764937894	27.6709522268087	26.6920397252591	26.0995351167414	26.513151529264	26.531893312488	26.4994968772871	27.0124114505297	26.2055830679609	27.8035908819663	25.7744309982172	25.8334475203349
WP_003513356.1	26.7830037266389	26.8765781649012	26.3400945386405	26.796425594314	26.7764730305121	25.2563011809526	26.6532859399131	25.827550928796	NA	26.4724125380023	25.9391354206484	25.8802129066314
WP_003517251.1	25.4205637680335	24.6516734290503	25.7050342487655	25.8048225287807	23.5911876155505	24.1438245892961	25.583758412811	25.9771501520413	23.2402180866435	25.3269919511848	25.5445820361697	24.7526217506763
WP_003517278.1	25.9122547264873	25.5335616261634	25.8000148144745	25.9640905897118	25.2455379510831	26.174397161273	26.7116682362469	26.2482392146844	24.6548217615164	24.3360487706251	24.4077366369888	25.4693188961889
