hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
ADU73753.1	29.1416746277898	28.9454523613484	29.2392506593783	28.9891469793973	29.2405758455683	28.8094210141918	29.140992154232	29.2528360689265	29.0633699446853	29.549378321699	28.9734414899237	28.9335810039222
WP_003512581.1	24.6573916686229	25.134368339527	24.8265433575136	24.516664279756	30.5294122241573	25.6958791576568	24.7155910570758	24.5407465519232	25.9941423630979	23.8738622787492	24.5421866870591	24.338373154427
WP_003513261.1	24.2592548237312	23.9774802818858	24.2381475744296	24.6906929675412	24.3368628584469	23.139541022159	22.4129085690011	23.9126551671424	22.5004402305372	23.6903362339237	22.7816567315843	NA
WP_004463784.1	28.6934210695133	28.6078527225323	29.2474443508087	29.0237287449024	28.4472032859856	29.2485382279257	29.0336978074532	29.2693231511283	29.3552319043937	28.910541603013	28.366308928048	28.9828270882191
WP_003517255.1	24.3763325997657	23.6247053779257	27.1838587242835	27.6992097793889	25.1709249148753	NA	NA	23.3330660493605	NA	22.8153523749991	23.7021476293686	NA
WP_003517824.1	27.56122022909	27.331785975614	27.5101467531892	26.9743162667812	26.8235373592631	27.7968196396454	27.4931475711528	27.5140910827513	NA	28.031985143472	26.6695788792686	26.2718212106185
WP_003518187.1	21.2526521172812	20.8592653425576	21.7564280323145	21.9926604883093	22.4648635517649	22.2901519636584	21.9948795765413	20.8368074413048	21.9867649337853	20.730399718849	NA	21.0855944985785
WP_003518528.1	NA	NA	26.0233529825557	NA	24.2356428519488	NA	24.8814983385097	24.2983553196522	NA	24.3013765534118	20.4055922843673	26.9656786659028
WP_003512715.1	27.0909685689262	26.5860698304737	26.3233406146731	26.6019166131874	26.9781987369494	26.6498369872207	26.1520273107041	26.9427014168437	26.3215039198301	26.8101709221636	26.3458391011666	26.6577300621549
WP_003512577.1	27.4328380123771	28.2907761096565	27.4896268324197	27.7025402089344	28.1138332484511	27.5980742697529	27.9466434913991	28.1117744752335	28.6481713381826	27.7500616759868	26.7474977556328	29.0513057349823
WP_003519665.1	NA	NA	NA	21.1921889032576	22.4224656607393	21.2318455328911	23.7634149075116	22.8539892308125	22.9715128959391	23.7278384051537	NA	NA
WP_003512950.1	24.5843517939379	24.422435098882	24.2417158211333	24.499798564479	24.0684961472269	23.8958007708384	24.633014461256	24.3353477475804	24.5941637291901	24.3241387350502	25.0519487664029	23.3178804376409
WP_003521254.1	24.2003237430311	25.0110823051894	24.2463690623813	23.41415549208	23.7242908280274	24.6924017404006	23.7861106216955	23.8485691175684	NA	23.9327328856576	22.8771468319008	24.3636887001836
WP_003517223.1	NA	22.8840612989609	NA	NA	NA	23.5766981333703	23.3498936901188	24.1287859962243	23.0427783335173	25.591971615609	NA	22.4147383066676
WP_003512952.1	24.0043989924775	24.1929593501839	24.2033374479002	24.3403307834943	23.9867949946586	24.7262499816912	24.3044951455648	24.8312848631395	24.4970764244521	25.21661712186	22.9439956392761	24.4064246486095
WP_003517648.1	26.580355311187	25.6853977244418	24.8493803020038	26.2999354437305	25.926661596576	25.9266918000608	26.0814229625492	27.4846330001134	27.8773018490906	26.840126252214	26.4936814372221	26.4160412756906
WP_003514478.1	22.4094890863684	22.1298457649134	22.3023862281782	25.5504464647066	25.0775810964635	NA	24.2955864726369	23.3917209853772	24.4231375423913	23.0772868812837	21.0284196533779	23.1085923043458
WP_003518706.1	28.1726093780118	28.470165694916	28.3430124399217	28.2405248044857	27.943876864607	28.5209577562825	27.5262741999109	27.1030470219783	27.8181262301453	27.9477175584089	27.860482420619	28.1504120518923
WP_003512565.1	25.7884768191907	25.4310144028802	24.5960147158503	25.7962381021365	25.733841761332	26.0734481482721	26.0234496465036	25.0126933669091	23.8113341133628	25.4696279023213	23.5370813122026	25.6823637987707
WP_003515445.1	27.1106110721435	28.2048196474008	28.5921712424254	28.1555883300621	27.5522361890124	27.8978710910281	29.2574692300092	28.0658533385619	26.9518657898485	28.2823655867307	28.0128759220872	29.1678700046492
WP_003516833.1	22.8119569400562	NA	25.3754081455619	25.4179017497894	25.7920272937828	22.3019365485557	22.42199746613	NA	NA	25.0954655501429	24.8076841908622	26.1175091453893
WP_003516973.1	24.1613630216306	26.1438756855026	24.706922061286	24.7240280719362	24.6405538251787	24.7147193013738	24.1141681980165	23.1437594495809	22.9308692281204	25.3298087391388	23.7194375315519	24.9517711616199
ADU74051.1	28.7718518844489	28.4413926502506	28.6896358187976	27.9149476610262	28.8930801310069	29.5801980344357	28.5874968933468	28.9512354163827	29.1138952768393	28.9033131774027	28.9330284769812	28.647657482334
WP_003515461.1	29.6602562035396	29.979875515108	29.8284555477498	29.8344596995516	29.9920917682355	29.6786592810699	29.0219492977806	29.3233356108525	27.6584416809242	29.6286218514957	29.0361534870877	30.1801908234394
WP_003512267.1	27.7090004099517	27.8250309513776	26.9016248184038	26.7263295119266	26.5352773673496	28.3276463967019	26.2401269138335	26.4974255632045	27.5184397322515	27.4586297831672	26.9150628491467	27.3998925734428
WP_003515443.1	23.5386301545026	23.7573139427789	23.1395687773099	23.457188942113	20.6881138857955	22.9472892041495	21.2589371125735	20.5569482178391	23.9700400036137	23.1483568388238	NA	20.8612248212407
WP_003516971.1	26.1919149754417	27.0495931671802	26.1772309362217	27.0433587126955	25.9689356246624	27.1908655191212	26.6944416615083	27.1522366197095	27.2518137184156	27.0177203206988	25.4648241137821	27.1574000877304
WP_003516556.1	24.8674809167073	24.3403307834943	25.6746481608169	24.8050572612623	25.4303019687684	25.7295435374049	25.380001161131	28.0087091723033	24.5375604186801	26.1075242150329	24.6126854946941	24.9852966126323
WP_003512265.1	28.2443371299128	27.3763911854599	28.2920772030151	28.1433726230103	28.3062867232407	28.5579657677359	28.2906103391624	28.3308660344998	28.6765365742171	28.34500763793	28.0384617967917	28.075169549042
WP_003521240.1	27.3609317661178	27.4872408574093	26.9470406268933	26.8705341095903	27.2713412396011	26.7981113150245	27.2677165646699	27.3353037812905	26.651931679451	27.508240802447	25.6524610828511	26.6139693418135
WP_003512571.1	23.1279513347906	24.6318693666068	25.4906988758515	23.2657853780062	25.4430988027252	26.7293154367022	NA	25.6501540968615	24.9187279304347	NA	NA	22.8348340242739
WP_003516977.1	27.5755947023102	27.1267534426599	26.35512194924	25.7811563359394	NA	NA	25.9442137716142	25.0208708824384	NA	26.3273164992348	25.8885871203701	24.6477888462768
WP_003518165.1	24.3945152502054	25.6614533207658	25.962673976757	25.4794831627656	24.9287833870748	26.1538908813802	25.6020851286238	24.9368682278308	25.4634194313988	25.7553507397111	24.5951521371463	26.462432320278
WP_003518681.1	23.1598847020752	23.8978125032599	23.7720276932141	24.615717374601	24.1917422986623	24.6044019170968	22.8551519482519	23.4577113866023	NA	23.3690300633165	22.1264967068434	23.5756342890771
WP_003517341.1	25.1079477244804	27.035764851573	25.3525822340824	25.6542955572189	24.8867103594471	23.9569271077824	23.9144990403409	27.1216704984522	27.3018548832592	26.250213661923	23.748906517909	27.1533639653155
WP_003514804.1	25.5867944622493	23.5074242321855	23.805900329733	24.3928869650996	23.2227668873458	24.9515170910337	24.7766045450867	23.7567615675501	24.5585031659764	24.5240135815339	23.843949104072	22.7073737246193
WP_003512799.1	24.5526484443513	23.1908830763947	24.48217498931	24.232966253602	22.6702454502969	NA	22.5823325613783	NA	23.1338417598128	23.2090864165524	NA	22.9609989778366
WP_003512783.1	NA	25.4151197227639	25.7129834641212	25.225893420935	25.9861384799999	25.0338173072052	25.5588829937349	25.587911307672	NA	NA	NA	25.7355015241446
WP_003513828.1	28.8095196107681	28.8720972904153	29.4083787396827	29.0783417152276	29.2482586744566	28.9657352698671	29.1836038760135	29.1318527898671	28.8836531299003	29.5599385835453	29.2492915457235	29.398259310463
WP_003518339.1	25.9465530800748	25.4993887416228	25.062686887632	26.0922273484103	25.1965044072391	25.3681969469163	25.3096283102356	24.5554845802677	NA	24.2278834530998	25.8374949364753	24.4202819376611
ADU74726.1	27.307229175307	26.4613085934804	26.8737999839169	27.0732198022819	27.1541087492295	26.465346058585	26.8983550169722	27.4476213632374	25.7917013274531	26.7127731030455	26.4890858496555	26.533856762989
WP_003514291.1	26.6250163938937	26.4514205104563	26.312872685215	26.4482383792267	26.4890342781389	26.2292979990346	26.638443122896	26.7491701213347	25.5828016321384	26.4559182800049	23.252744309405	26.8417332048264
WP_003516238.1	28.5657486773332	28.7219793880916	29.5356940388216	29.4882349307601	28.5431641829517	29.1191702008767	30.2607585328096	29.05074214677	29.7725969068095	29.8647410591424	30.1794577269084	30.3774116233992
WP_003517353.1	24.115250933476	24.6411323104503	24.4665108436409	24.8907970560114	27.9389109959913	27.1499478348697	27.4097845960302	27.4714503865559	26.9668642806549	27.1697146391766	28.1972369753513	27.904628337926
WP_003514293.1	24.287440341994	24.0551075994483	24.4291607649598	24.6683470474506	24.5320819681834	24.0353932826689	24.2901622638172	24.1650350321061	23.6218663584994	24.446579087167	22.4460728134515	24.1716984291569
WP_003519238.1	NA	22.8389840244392	23.2258348519715	22.1312670724846	27.7287178402044	27.4596276965987	22.7829767385266	27.339201626502	26.7387311159094	27.4794812870837	NA	NA
WP_003518486.1	28.6701100017278	28.4975778726601	28.6499270124301	28.8487340209199	28.6479871847307	27.7305083654248	28.7849147016594	28.6751614049171	28.0767781604989	28.7265423957216	27.8776186431044	28.5940563995902
WP_003513339.1	26.37661268799	27.6288105033289	27.6052375160749	27.6116138648893	27.381416464888	27.259872335231	27.504760691872	28.1170047320195	27.7055883000596	27.0439242921193	27.0149806868561	27.8829940127665
WP_003513857.1	24.4306554062752	24.5585031659764	21.7956686244341	24.5668799301055	24.0960508972978	23.0134500433741	20.9750691801918	22.922297369728	23.72306111515	22.9122361314791	NA	21.3202368419318
WP_003511548.1	25.6124942510242	25.8702568932515	25.086195479701	25.0771300182417	25.3044463656878	24.6756381437459	23.9909689795526	25.2447034911022	20.6114984048125	23.8787395851473	21.4757444578328	25.3798571252561
WP_003517008.1	27.2390177565803	26.8529379364409	26.868203224145	28.6165270667255	27.4206029595642	26.6669349755471	27.820797369173	27.8223723361906	27.6974782889131	26.5203502167513	27.1145004660947	26.8520672804008
WP_003512248.1	27.8056057782114	27.8983259616683	28.2688279544065	27.8786462919782	28.4276384496905	28.3626613352362	27.9726498433433	28.0982998706056	27.7882691186457	28.3166848436519	27.2772302132694	28.0251260765982
WP_003518554.1	31.1803258157152	30.843787359752	30.961425741951	30.8492001096065	31.7720018322927	31.6777582624744	31.4095284107665	31.3268835361748	30.6092345301612	31.3691810876656	30.8929562908961	31.0752658979062
ADU74165.1	27.0722682737571	22.8297056561454	27.7186697741572	23.0274155409196	27.568471434946	27.168530535186	26.3020487193169	22.9017268114804	24.939644034867	22.0604240927609	NA	22.0230093591472
WP_003512200.1	30.4044130748548	30.5527522506468	30.662844025997	30.3837665031738	29.8071981956056	29.4141155868733	30.0341114651431	28.6412194766382	30.4843324714867	30.6980135110665	31.0337352481168	30.9854587078387
WP_003519138.1	NA	22.6853943944027	NA	22.9488038747197	22.4541731188408	21.8485057463933	23.3191934710166	25.2617657356449	24.8783574206703	24.94136356432	NA	23.9053488481446
WP_003520409.1	23.9889332408059	24.6023584762216	23.7788656789009	24.0147095952226	24.0073408847804	24.389385002156	24.0178212300912	23.7153462693208	22.754522536555	24.350059658969	23.530064057734	23.5817026058042
WP_003513333.1	26.900488635417	26.8380184634716	26.8593190324963	27.8250309513776	27.244314976274	27.1025252546977	27.1774640580677	26.8683909126671	NA	28.1096213022867	26.6609825008424	27.8660150636013
WP_003514705.1	NA	26.3793097260494	25.2806656381961	25.1842888459733	25.8929466499869	26.868170739593	26.5590132857005	26.1082032557634	24.9637627627585	25.2775599349412	26.1377033479176	25.2556828960603
WP_003513331.1	26.3730945041017	26.3427465398658	26.5546953997598	26.2679317056012	26.1421967322272	26.8982590849419	26.4329092922387	26.7272032760419	26.3068868635982	26.5751574557692	25.8279550211302	26.3074797049026
WP_003514703.1	20.316626967114	24.5120790907998	23.8210069363529	22.2701241442725	24.9699381532734	NA	NA	23.3516170988052	19.4249529160562	23.9120774415319	NA	NA
WP_003515554.1	25.2891295781511	25.194203586331	25.3894809883651	25.1103165214925	25.6968807029689	24.3116889699345	24.7347011124485	24.8016345161107	24.7234085683167	24.8471163229465	23.9679653259388	25.1230432933509
WP_003517362.1	21.9316464745461	21.7864720653818	NA	21.3245544638494	26.5084323993009	24.5716835396348	26.0476945812088	26.2669316905347	24.5637999361679	25.812576184928	24.5597023791053	24.9932266719112
WP_003516177.1	25.8540846842348	25.2452847654942	24.3526588206648	25.6978085713844	25.520981212927	24.6073211528807	24.1498159104755	23.8965396991842	26.4609243762956	24.9760345915321	24.2413547730531	25.0371241300823
WP_003515979.1	24.1826690210915	24.2773250375895	23.5484229562961	23.4945911816601	23.448761104736	23.7852818568009	23.3263401062264	24.6653459424456	NA	23.7173608872296	24.2966621390952	25.1475377203744
WP_003513337.1	27.966606492989	28.0767781604989	26.0702269078062	26.4562270870168	27.3105206507072	27.7760252580542	27.9190210218941	27.183189925357	NA	24.5823938575153	NA	NA
WP_003513683.1	28.6365142373311	27.4290188091391	26.4355069771429	28.2837858271859	29.0737172407327	28.7772891626091	28.7786445883168	28.0129971121966	26.7167395078318	29.0969101657957	26.6340085753344	28.1775383731457
WP_003516175.1	29.2532612433283	29.357562419423	29.8045723069225	29.2179375599473	29.5648627090921	29.202874924091	28.4494382369518	29.0876304033033	28.7824613679357	29.3818760379211	28.2104514378705	29.2331368128993
WP_003518455.1	27.8010828181362	29.1246207492235	29.0288552895398	28.6542412465181	28.1249126837083	27.504281922208	27.7642016584755	28.6844017732701	28.8927364905492	28.9768983738638	28.8918603119381	28.882590260031
WP_003513449.1	29.953596316325	29.8104973550071	30.4197565272514	29.7265309311191	30.0036811824892	30.7075493614898	31.7318478372609	30.9876006465889	29.9188074428584	30.0984319298135	30.6420523448933	30.5491386470854
WP_003515915.1	27.692202218469	27.247163561238	25.8562402425815	27.9106226337267	27.9218732578498	25.7006385116299	27.8317545266542	27.4525921975717	26.7480194090834	25.430593465698	25.4783347078984	26.4596162630105
WP_003516163.1	27.3036357742007	27.9508191161571	28.2037602829952	28.4511568104295	28.2672308767778	27.2990155611675	26.9765715634244	28.4005786246019	28.011330228806	27.99620624005	27.0316375700702	27.6543421937865
WP_003515542.1	25.4517854158092	25.8388145512514	23.9633645935776	26.1964772600745	26.2736898812318	25.8403493107137	25.9704840079796	26.196845401708	26.2897741255967	24.7138265272092	28.1600714105912	26.1585865351069
WP_014522638.1	26.7770332016212	27.2684837725959	27.454883647124	27.1444049150169	25.1216918970608	26.3636591565447	25.449300291786	26.3853943586021	24.6485631167732	25.1406955453943	24.606384929597	24.4467193630964
WP_003514209.1	NA	22.2365885507583	NA	22.5332365289496	22.0303709454113	23.1265242496121	22.8148055724514	22.0098461723669	NA	22.9245336699144	NA	21.5296615533626
WP_003518738.1	25.090983233551	25.0018766501951	24.7925608803082	24.9022978520374	22.6771334871753	23.9954876396206	24.7986856087156	25.6032615652833	24.1628838747252	23.8456645686977	24.7057077454892	25.014966452813
WP_003515569.1	26.0710200290534	25.2496269314062	26.1422833705383	25.0961311148282	25.4601798726383	26.0769477830669	26.1265762581161	25.2755713177926	25.2738613764213	24.8151616798394	24.8022559033968	25.2877093690828
WP_003515540.1	28.840806503021	28.8215555355287	28.510999979361	28.4974267213353	28.8034529575722	27.7099844586131	28.6556923948831	28.2880400965615	27.8644116390079	28.559258727518	27.9097021313425	28.2897096386438
WP_003515565.1	31.0297062139413	30.5638377276696	31.0833443641248	31.5030717345262	30.5443579687573	31.1526579749771	30.6236912754558	31.1202767659775	31.2509475821724	30.6871229004241	30.8758249623459	30.6963480819708
WP_003513187.1	25.8758525390543	26.2090719741356	26.9928990092121	25.0447922690583	26.9210412914289	26.8824741842396	27.07908116902	27.0942138054594	27.0958640216442	27.0320645722463	27.0201408942337	27.205019476098
WP_003514670.1	29.2962013172082	29.0887083933295	28.9753903703792	28.6211063192302	27.3768064964409	28.7398631730717	29.4619492991622	27.629293887833	27.3226059821668	28.1684959567229	28.5030759209491	28.8612255407135
WP_003513096.1	NA	NA	24.3095425138084	NA	28.3456969693535	21.0414797090898	28.4560412666337	28.5603831041085	25.9817644613506	27.5594527577233	26.3200154240432	26.7855219641583
WP_003512112.1	29.68660903701	29.2866472012617	29.2955730044477	29.6394725134123	29.6398119432467	29.5001973827243	29.8998033324253	29.3337265789067	28.6092877348178	29.1907317808455	29.1685717226462	29.3002638615929
WP_003515567.1	31.156455322539	31.2470556312083	31.1467616898156	31.1054219197357	31.0214330258159	30.4233004365571	30.415708786463	30.9328419314827	30.2302802775912	30.1709086592829	30.424605840853	30.6727504139722
WP_003516250.1	24.6043814685503	24.9124775862982	25.2058848865898	25.268385044989	24.8603502263128	25.6635112128729	24.705853371774	24.0995532640194	24.1044694944894	25.3577545028774	24.1914027418115	24.2434604489456
WP_003512846.1	23.3890533515634	24.9930086484084	24.7195072136331	22.6590569339289	23.3498101084229	23.7620753649716	22.5075584294437	24.2404709605233	22.812666885792	22.6285515035886	20.9787467028873	23.6549285367083
WP_003511658.1	29.1069242936219	29.4219721633075	28.7782452230183	29.3082466421327	29.5432247521643	29.271946815601	29.7492486424583	29.885535444161	29.547389084888	29.9252377617186	29.1801756210977	29.113271830052
WP_003516517.1	26.701465125721	25.7689630285741	26.6737052563131	25.9554133302172	25.6852861099404	26.546984256993	26.7297157481828	26.2195878075012	25.8076847923918	24.6626387946795	25.6861592947836	26.1082193162208
WP_003511604.1	25.4285764649929	24.3012403232526	25.1959103985859	24.9455924533424	24.8916834474003	27.8751964639416	24.8863416693792	24.8061434725815	24.0661234178386	24.2865345855312	24.3317421254671	24.9359288855187
WP_003520966.1	NA	NA	27.8659195462182	25.8803593334239	25.8432814944439	26.4101048621379	26.5247707190142	NA	26.9028604571165	26.572206806333	24.9897730767953	26.6378296528495
WP_003514612.1	24.7723424164111	23.7057475883275	24.8460393083312	23.3078707901434	NA	24.9395838981983	26.4081812287602	NA	26.3636965137883	24.4433619289336	24.9472580933833	23.5316203734449
WP_003515370.1	24.9717389310856	24.7127828913197	25.4501794595265	25.1749470193917	26.2864529657629	25.5686084363444	25.6847403520452	25.8141462595824	26.3868301542922	26.3506333776522	27.0712617257124	25.2782329956641
WP_003511606.1	23.4829289904121	22.1602877754884	23.5231834451607	23.2493937996581	22.9975252872064	23.0654560456261	23.1528847097778	22.7822877089236	23.3214681359036	22.843276898462	21.9755127099202	22.2626975340101
WP_003511546.1	22.401011162065	23.8802394137333	23.5369738830131	NA	23.9691784429563	23.1016735934225	23.3441143076628	22.5629129081573	23.0288212973809	NA	NA	23.0526634510797
WP_003513956.1	27.2054881501087	27.1124222888551	27.3928414412839	26.5602053899512	26.653490293636	26.2406150643079	26.3794483839618	26.1682067154801	26.3310239686813	26.658379927021	26.3275793342903	26.5498941575193
WP_003517046.1	28.387369230613	NA	29.1302080540058	29.3932392419002	28.9871702217934	29.5341272058929	29.1260742647368	NA	NA	25.7021320966191	28.9271627812701	27.789789488522
WP_003517976.1	24.3413924223335	23.4874808269622	23.0884689939854	24.7199272741025	24.5798991839936	22.7330238196702	23.8568548211815	24.2821031641119	24.457987981493	24.537529064931	23.6884219981921	24.342968352432
WP_003514662.1	28.1406529306913	27.9014407131189	28.6613097851343	28.6952786853949	28.0508541075251	27.0537961802164	27.5605665410133	28.4710750750333	28.1999596451821	28.6464688228976	27.4908876328166	26.8045807755721
WP_003511544.1	25.4248008915003	25.094138881152	25.1075471250574	24.7449162533117	25.5666637658393	23.9522450814237	25.1755357567634	25.1083779367436	26.1290030748326	25.0565987683475	23.7762733259577	25.0813467754225
WP_003513954.1	25.1014522585109	23.8645570671692	27.6753620592609	24.7933089523629	23.5461188882033	23.4350862259465	26.7568710909074	26.2060015144872	28.0435809440676	24.9382553415079	27.6261220132438	25.8061020691572
WP_003514618.1	30.6957475317719	32.1296584312695	31.9532353418656	31.9519604195684	30.3952748402134	31.3827090463747	31.294684818366	31.7711240942347	31.8029278713656	30.9477332661243	31.4378517908105	31.7421491791792
WP_003519164.1	NA	NA	24.0128140194251	23.80739019484	24.5531094351696	23.4006054725151	22.6517588699376	24.0255697437057	NA	24.0626115131811	NA	NA
WP_003517107.1	24.4226689574685	23.5444297339748	24.2139019683082	NA	26.3549301077529	26.1385142750532	26.2192965719832	24.8469166338812	NA	NA	23.1631438189844	23.2760231646959
WP_003512977.1	27.75963531484	28.1403572512057	28.1239284645327	27.8406092559645	27.5896149041688	24.8817473800448	27.3738872457646	27.3007794201742	NA	25.8597371173193	26.1296783741924	26.2752654218159
WP_003516575.1	23.0685979485645	21.2095950292397	23.1649661694511	22.1054016918268	22.5714815075305	23.8018140214206	23.0508219931017	NA	23.0132173743453	NA	NA	NA
WP_003514317.1	26.2657788517263	26.3396234623076	26.0140060913929	23.6013674066478	26.260114093701	23.0942730671825	25.7508572717727	25.5362099468308	25.0363825369661	25.2465716316829	26.2866256158338	25.1690415383558
WP_003513934.1	27.9967461163418	28.1666753598789	26.9878272807634	28.1029588323396	26.5383758775955	28.9027916981151	28.5173296865237	28.7675592085563	28.4984631875629	28.1429514519045	26.1426452115234	27.9682259636035
WP_003515591.1	27.7412716063089	27.74167330025	28.3265056284582	28.0470242835552	28.5569143129533	27.5416944783348	28.6970893296528	28.9277099557098	27.8603241040985	27.9857713762327	27.5334188990378	28.2956724005262
WP_003513185.1	26.3989841092263	26.3316994644015	25.6023778744788	26.4034590098982	26.5176305011993	26.352204725353	25.6109855266991	26.467899741003	25.6673493583847	26.3360752259404	26.5385620486917	26.7491013327394
WP_003516573.1	24.1255658785419	23.7626608860661	24.858426185822	24.6958681399132	24.8512108942157	24.3936784783722	23.4294434452333	22.5731032912349	21.2137122187105	22.9570418511831	22.4333458886084	21.5071888981893
WP_003518270.1	25.6080541756181	24.939644034867	25.3214593167168	25.4526637011113	25.553515609645	25.4355140337374	25.2045713385059	25.6082588633011	25.3026999815346	25.9012773710751	25.8062120390879	25.7858717365408
WP_003517900.1	27.417997823461	26.9048769107807	26.996853770338	27.4392981508648	27.2220885648309	26.2809256581689	27.4192841019297	27.0813372188953	26.8054851850123	26.6957634714731	26.0606884804788	26.7793316911494
WP_003511963.1	24.7461788082729	24.7203618467112	NA	24.2752677100165	NA	NA	24.3194422175379	25.3225765439128	25.3215641007297	25.2601154904862	NA	25.2112616760979
WP_014522596.1	22.5956957619237	23.1462321140198	22.4639909394162	23.6760133184718	22.9388523518105	24.0840236443064	23.3904666654763	23.5189117954251	23.9520256372252	23.1636698711266	23.2175965661142	NA
WP_003513794.1	32.9991060553711	30.7658552336635	31.9180026545602	32.3789046228891	33.4459790781468	32.6449162167982	32.8005183374695	31.3827090463747	32.2198244500718	30.0383264786062	32.2162406494027	32.0636099219293
WP_003511705.1	26.8717287310299	26.7641728019467	27.6853859367322	27.4436381443409	27.4640948035259	26.9742937597502	27.1646386813307	27.4343287296208	27.2573738801129	27.283106963088	27.1384418856373	27.3179990757529
WP_014522594.1	24.5110943389379	24.7806283340022	24.5321253076626	24.0920349551944	25.0221406790633	25.1916147084533	25.2183497674597	25.6804782847132	25.2039565076522	24.9341049041644	24.6562936374569	23.7815501122874
WP_003513744.1	22.8226097091126	NA	NA	NA	23.0871671547032	24.9209070766459	23.6722694585349	24.6861498200444	24.1519720993211	23.4180161960709	24.2709754967989	24.2362258672528
WP_003514623.1	30.3961015481692	30.222772443348	28.9697470756953	30.2283270199019	30.468584705349	30.1813752323389	30.9826826081551	31.0205499034902	30.9987220482815	29.4769404302392	30.1308604800088	30.6472245689806
