Protein	Cluster
WP_003512781.1	13
WP_003516470.1	1
WP_003519383.1	1
WP_003519292.1	2
WP_003517986.1	10
WP_003519385.1	28
WP_003513007.1	4
WP_003513529.1	3
WP_037295047.1	1
WP_003516462.1	2
WP_003513001.1	0
WP_003517483.1	11
WP_003516640.1	10
WP_003513220.1	1
WP_003516112.1	5
WP_003517972.1	27
WP_003513306.1	13
WP_003513572.1	13
WP_003515322.1	23
ADU74599.1	10
WP_003513547.1	12
WP_003515928.1	28
WP_003516759.1	1
WP_003516777.1	13
WP_003514219.1	13
WP_003517988.1	1
WP_003513128.1	1
ADU73379.1	2
WP_003518865.1	1
WP_003514026.1	1
WP_003517590.1	27
WP_003513619.1	27
WP_003516440.1	0
WP_003518575.1	7
WP_003512712.1	13
WP_003515653.1	3
WP_003515675.1	1
WP_003521203.1	4
WP_003512710.1	15
WP_003512963.1	26
WP_003517507.1	1
WP_003519477.1	2
WP_003517750.1	7
WP_003518671.1	0
WP_003519056.1	1
WP_003517165.1	16
WP_003518669.1	22
WP_003516448.1	22
ADU75731.1	1
WP_003517163.1	2
WP_003515317.1	23
WP_003517145.1	3
WP_003515290.1	10
WP_003515663.1	1
WP_003512183.1	32
WP_003514554.1	9
WP_003517592.1	2
WP_003517147.1	19
WP_003520705.1	1
WP_003515754.1	1
WP_003513126.1	1
WP_003515869.1	2
WP_003514573.1	12
WP_003517177.1	1
WP_003518814.1	11
WP_003517984.1	3
WP_003512807.1	8
WP_003514575.1	1
WP_003514095.1	17
WP_003517153.1	24
WP_003513615.1	17
WP_003516767.1	30
WP_003517752.1	1
WP_003517204.1	4
WP_003515387.1	18
WP_003521649.1	18
WP_003512687.1	25
WP_003516870.1	9
WP_003512220.1	5
WP_003517588.1	1
WP_003515501.1	1
WP_003517436.1	21
WP_003517088.1	2
WP_003517249.1	26
WP_003517657.1	23
WP_003515849.1	22
WP_003515758.1	6
WP_003515507.1	11
WP_003512363.1	3
WP_003513400.1	6
WP_003517802.1	3
WP_003517491.1	1
WP_003520820.1	15
WP_003518120.1	19
WP_003517754.1	25
WP_003515841.1	2
WP_003518593.1	9
WP_003518136.1	11
WP_003517208.1	5
WP_003517778.1	1
WP_003517457.1	2
WP_003515764.1	3
WP_003516351.1	1
WP_003515847.1	2
WP_003519332.1	21
WP_003518444.1	2
WP_003518745.1	25
WP_003515762.1	4
WP_003515855.1	8
WP_003519334.1	1
WP_003518743.1	29
WP_003512370.1	7
WP_003515873.1	1
WP_003514181.1	4
WP_003515871.1	6
WP_003513581.1	1
WP_003514861.1	14
WP_003512374.1	1
WP_003517742.1	0
WP_003515511.1	3
WP_003515405.1	6
WP_003517254.1	2
WP_003519255.1	27
WP_003519151.1	1
WP_003516591.1	17
ADU73719.1	31
WP_003518898.1	16
WP_003520980.1	1
WP_003513826.1	6
WP_003511577.1	18
WP_003518755.1	17
WP_003513535.1	21
WP_003516581.1	3
WP_003520797.1	15
WP_003511913.1	15
WP_003518757.1	24
WP_003517659.1	7
WP_003519966.1	16
WP_003512262.1	5
WP_003517004.1	14
WP_003511915.1	28
WP_003513523.1	16
WP_003514859.1	13
WP_003518684.1	2
WP_003518007.1	11
WP_003516278.1	11
WP_003516211.1	1
WP_003513521.1	23
WP_003519155.1	1
WP_003519257.1	3
WP_003519135.1	19
WP_003515926.1	28
WP_003517348.1	3
WP_003519133.1	15
WP_003517346.1	2
ADU75701.1	3
WP_003516520.1	14
WP_003516173.1	14
WP_003513533.1	8
WP_003517935.1	16
WP_003516522.1	25
WP_003515853.1	4
WP_003516200.1	15
WP_003511635.1	5
WP_003517389.1	19
WP_003519061.1	15
WP_003513808.1	28
WP_003517395.1	1
WP_003512050.1	2
WP_003514339.1	1
WP_003515904.1	9
WP_003516139.1	11
WP_003513878.1	1
WP_003515365.1	26
WP_023062381.1	3
WP_003513884.1	0
WP_003515900.1	26
WP_003516144.1	8
WP_003513078.1	11
WP_003517480.1	1
WP_003516227.1	24
WP_003512179.1	3
WP_003517957.1	4
WP_003513604.1	1
WP_003514331.1	1
WP_003513913.1	20
WP_003512177.1	2
WP_003513911.1	20
WP_003512175.1	2
WP_003511613.1	11
WP_003516137.1	1
WP_003515355.1	2
WP_003518388.1	2
WP_003517880.1	10
WP_003512699.1	6
WP_003516324.1	1
WP_003514607.1	32
WP_003517489.1	1
WP_003512697.1	15
WP_003518658.1	0
WP_003511607.1	6
WP_003513166.1	24
WP_003516527.1	21
WP_003511583.1	25
WP_003517953.1	12
WP_003516952.1	7
WP_003516225.1	15
WP_003515586.1	11
WP_003511639.1	25
WP_003513141.1	1
WP_003518656.1	22
WP_003515802.1	1
WP_003513490.1	14
ADU75721.1	1
WP_003518650.1	10
WP_003512188.1	26
WP_003513937.1	11
WP_003519003.1	3
WP_003519180.1	1
WP_003516103.1	30
WP_003517488.1	11
WP_003512634.1	5
WP_003513498.1	10
WP_003515836.1	8
WP_003512190.1	22
WP_003513888.1	3
WP_003518624.1	6
WP_003513133.1	30
WP_003515732.1	1
WP_003517108.1	2
WP_003517139.1	1
WP_003515281.1	1
ADU74579.1	4
WP_003516096.1	19
WP_004463776.1	2
WP_003516143.1	8
WP_003512630.1	19
WP_003515832.1	4
WP_003517262.1	4
WP_003518620.1	26
WP_003512867.1	2
WP_003519434.1	0
