Protein	Cluster
WP_003516642.1	15
WP_003512674.1	1
WP_003519132.1	7
WP_003516592.1	2
WP_003515026.1	2
WP_003517930.1	19
WP_003515408.1	2
WP_003515921.1	14
WP_003512676.1	6
WP_003519130.1	7
WP_003515176.1	25
WP_003512791.1	11
WP_003516596.1	19
WP_003515686.1	1
WP_003518679.1	6
WP_003513685.1	0
WP_003514324.1	22
WP_003513308.1	6
WP_003519106.1	1
WP_003516203.1	4
WP_003515434.1	13
WP_003519346.1	0
WP_003514326.1	10
WP_003517355.1	3
WP_003518000.1	13
WP_003519104.1	8
WP_003518714.1	17
WP_003513691.1	2
WP_003511918.1	25
WP_003518716.1	17
WP_003517725.1	11
WP_003512240.1	28
ADU74393.1	3
WP_003516665.1	10
WP_003512242.1	25
WP_003513819.1	22
WP_003516273.1	27
WP_003516698.1	4
WP_003518853.1	1
WP_003512244.1	4
WP_003513817.1	21
WP_003515917.1	2
WP_003517364.1	3
WP_003515376.1	11
WP_003517366.1	1
WP_003515378.1	1
WP_003516483.1	2
WP_003519375.1	22
WP_003513932.1	11
WP_003515597.1	5
WP_003515548.1	10
WP_003512852.1	1
WP_003516145.1	18
WP_014522610.1	1
WP_003512164.1	2
WP_003515546.1	28
WP_003516491.1	1
WP_003519369.1	21
WP_003511600.1	32
WP_003513010.1	23
WP_003517950.1	5
WP_003511680.1	0
WP_003513195.1	0
WP_003512174.1	1
WP_003519663.1	12
WP_003514614.1	8
WP_003515593.1	16
WP_003513175.1	11
WP_003519002.1	8
WP_003513930.1	4
WP_003511674.1	1
WP_003520554.1	20
WP_003512850.1	1
WP_003516452.1	5
WP_003516150.1	24
WP_003516558.1	1
WP_003515284.1	2
WP_003512157.1	25
WP_003513132.1	4
WP_003514660.1	9
WP_003511707.1	9
WP_003511616.1	8
WP_003511686.1	19
WP_003514218.1	3
WP_003514625.1	22
WP_003518533.1	2
WP_003519429.1	1
ADU74510.1	20
WP_003511713.1	13
WP_003515727.1	32
WP_003514639.1	15
WP_003515833.1	8
WP_003514621.1	31
WP_003520602.1	1
WP_003518180.1	20
WP_003512584.1	8
ADU73598.1	33
WP_003515729.1	3
WP_003518390.1	2
WP_003513786.1	11
WP_003515733.1	1
WP_003518182.1	2
WP_003518605.1	9
WP_003514637.1	1
WP_003519427.1	4
WP_003518481.1	5
WP_003514906.1	7
WP_003513200.1	2
WP_003517285.1	12
WP_003512015.1	5
WP_003513592.1	31
WP_003511737.1	4
WP_003513782.1	13
WP_003518521.1	26
WP_003518906.1	5
WP_003512586.1	2
WP_003513590.1	17
WP_003513780.1	4
WP_003513891.1	3
WP_003512828.1	4
WP_003518637.1	1
WP_003511688.1	2
WP_003518914.1	28
WP_011837932.1	9
WP_003517076.1	3
WP_003515756.1	0
WP_003516061.1	24
WP_003517617.1	5
WP_003514904.1	1
WP_003518549.1	1
WP_003517619.1	30
WP_003520265.1	0
WP_003518935.1	11
WP_003516073.1	12
WP_003518476.1	2
WP_003517677.1	13
WP_003516545.1	6
WP_003513583.1	1
WP_003512026.1	27
WP_003513253.1	13
WP_003516077.1	13
WP_003514246.1	23
WP_003517096.1	23
WP_003523036.1	3
WP_003518855.1	1
WP_003512274.1	9
WP_003518160.1	7
WP_003515476.1	1
WP_003515942.1	14
WP_003517667.1	5
WP_003518927.1	2
WP_003512298.1	4
WP_003512405.1	5
WP_003514175.1	1
WP_003514493.1	7
WP_003517661.1	11
WP_003519012.1	1
WP_003515018.1	1
WP_003516590.1	7
WP_003512475.1	8
WP_003515478.1	16
WP_003518690.1	1
WP_003518049.1	1
WP_003513303.1	1
WP_003512194.1	13
WP_003516310.1	12
WP_003512461.1	6
WP_003513301.1	0
WP_003516071.1	3
WP_003514292.1	22
WP_003514163.1	6
WP_003517768.1	1
WP_003512286.1	0
WP_003513371.1	6
WP_003514141.1	18
WP_003518023.1	1
WP_003514728.1	1
WP_003518458.1	21
WP_003511549.1	28
WP_003513361.1	20
WP_003516738.1	21
WP_003512826.1	15
WP_003518652.1	6
WP_003517350.1	12
WP_003519111.1	1
WP_003517679.1	22
WP_003512770.1	1
WP_003511787.1	29
WP_003516730.1	2
WP_003517766.1	32
WP_003514835.1	2
WP_003512284.1	0
WP_003513680.1	4
WP_003518725.1	9
WP_003514839.1	8
WP_003514730.1	14
WP_003516184.1	8
WP_003511587.1	1
WP_003519098.1	29
WP_003517375.1	1
WP_003515543.1	9
WP_003517189.1	3
WP_003517206.1	14
WP_003517357.1	27
WP_003516188.1	4
WP_003516166.1	29
WP_003517098.1	7
WP_003516314.1	13
WP_003515531.1	17
WP_003515960.1	15
WP_003515557.1	0
WP_014522629.1	7
WP_003516198.1	19
WP_003512787.1	30
WP_003512117.1	0
WP_003520969.1	14
WP_003511547.1	11
WP_003511653.1	1
WP_003513190.1	8
WP_003514645.1	21
WP_003512127.1	0
ADU75314.1	1
WP_003518460.1	14
WP_003511651.1	1
WP_003516190.1	1
WP_003512336.1	1
WP_003513438.1	6
WP_003516379.1	0
WP_003515590.1	11
