Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	PUF
WP_003512676.1	6.37317223214285	27.3557891071429	25.2433711602054	3.79233355546849e-18	7.43297376871824e-15	29.6940266281723	No
WP_003520976.1	-5.27393660714286	22.3608362117347	-17.3751377154555	1.24189462959354e-14	1.21705673700167e-11	22.9880031125122	No
WP_003521161.1	8.44316848214286	26.3897292219388	16.8044159413288	2.52008234205551e-14	1.6464537968096e-11	22.3600976938511	No
WP_003515609.1	-9.82179732142857	24.2003389158163	-15.855243596572	8.56811781422954e-14	4.19837772897248e-11	21.2614850873566	No
WP_003519374.1	4.38940008928571	28.3041000637755	15.4173736171597	1.53874015216301e-13	5.850840767082e-11	20.7304591329838	No
WP_003512674.1	4.67859374999999	30.3108709183673	15.3054747572298	1.79107370420878e-13	5.850840767082e-11	20.5921913911851	No
WP_003518003.1	-6.68598892857143	22.4056988137755	-15.0203928657679	2.64821472593099e-13	7.41500123260678e-11	20.2350982419642	No
WP_003515661.1	-8.07958821428571	23.2203665688776	-14.4109699801835	6.23881216570999e-13	1.52850898059895e-10	19.4477533599139	No
WP_003520602.1	-3.44063071428571	25.9067272831633	-13.1264797040024	4.19735314734991e-12	9.14090240978424e-10	17.6740012693132	No
WP_003516547.1	-7.89157357142857	23.5116335714286	-12.9138603802765	5.83582133770719e-12	1.14382098219061e-09	17.3644815031563	No
WP_003513862.1	-3.80101669642858	28.1656257142857	-12.726348890507	7.83144666332996e-12	1.39542140546607e-09	17.0875710688853	No
WP_003515607.1	-6.60939651785714	22.9693898341837	-12.1745144422036	1.89787764775002e-11	3.09986682465836e-09	16.2506016882383	Yes
WP_003518813.1	-2.81786517857143	28.2149470535714	-12.023888852204	2.42921372556801e-11	3.66250684777946e-09	16.016282196422	No
WP_003516730.1	-3.77349321428572	25.1078854719388	-11.5623658811397	5.25052245586391e-11	7.35073143820947e-09	15.2821280075179	No
WP_003512684.1	-7.12745758928571	22.9260924234694	-11.2405994129196	9.10631859743143e-11	1.18989229673104e-08	14.7554623445733	No
WP_003514917.1	7.183830625	24.9247962882653	10.8050641008373	1.95375635425451e-10	2.39335153396177e-08	14.0225265088276	Yes
WP_003518457.1	-2.505954375	28.5694330739796	-10.6064446355834	2.78699280395652e-10	3.2132387622087e-08	13.6804300076144	No
WP_003517377.1	2.86648303571428	29.4088674617347	10.5403098501149	3.14006374251641e-10	3.41918051962897e-08	13.5654103721901	No
WP_003518601.1	2.14995116071428	30.0412676403061	10.3622752396942	4.33998467176194e-10	4.47703681929126e-08	13.2529897757532	No
WP_003518002.1	-7.95397205357143	23.805335	-10.1505289052971	6.40857280263033e-10	6.28040134657772e-08	12.8760597569392	No
WP_003517715.1	-4.24826821428572	28.4240755739796	-10.1103816945442	6.90425922471041e-10	6.44397527639639e-08	12.8039314706359	Yes
WP_003517362.1	3.71004151785715	26.3978528188776	10.0481439714662	7.75251048502215e-10	6.63503410026454e-08	12.6916953021847	No
WP_003514910.1	2.59614741071429	26.2218754209184	10.0458329805579	7.78600940337165e-10	6.63503410026454e-08	12.6875179265596	No
WP_003514863.1	2.19130223214286	26.6259923086735	9.66119074341012	1.6103511185551e-09	1.31512008015333e-07	11.9823033923347	No
WP_003519228.1	-3.86904517857143	28.4368035076531	-9.61619085337161	1.75533686913501e-09	1.37618410540185e-07	11.898497967226	No
WP_003514245.1	2.52285848214285	28.8745611096939	9.16252181731902	4.24603480265185e-09	3.20085700507601e-07	11.0381305275678	Yes
WP_003517617.1	-1.96672607142857	27.1258405739796	-9.10573625187439	4.75118032300617e-09	3.38814661443791e-07	10.9284372709206	No
WP_003515075.1	-4.90730392857143	22.0013732270408	-9.09637778389978	4.84020944919701e-09	3.38814661443791e-07	10.9103163463071	No
WP_003513693.1	-2.91947919642858	25.1107595535714	-9.04776067004357	5.33124013257261e-09	3.60318298615253e-07	10.8159819377757	Yes
WP_003515619.1	5.74474214285715	23.7104843112245	9.02274808218088	5.60363098504961e-09	3.66103891023241e-07	10.76732016292	Yes
WP_003517381.1	2.67759473214285	29.3778845153061	8.95301438833891	6.44153886625036e-09	4.07271489608088e-07	10.6311920187325	No
WP_003512683.1	-2.89722375	25.8109914795918	-8.85406547177277	7.85841347709033e-09	4.81327825471783e-07	10.4368629797609	No
WP_003511613.1	4.84606473214286	24.3044095663265	8.69930321136611	1.07521600753505e-08	6.38613143869301e-07	10.1301595319466	No
WP_003513956.1	-1.68252517857143	25.500223494898	-8.64938059741905	1.19044290320481e-08	6.8625532067101e-07	10.0305037591113	No
WP_003512682.1	-2.61580540178572	27.432406065051	-8.57318488861038	1.3914383796296e-08	7.75343512756468e-07	9.87772230809309	No
WP_003518454.1	-3.81489276785714	23.6450908035714	-8.56188483905198	1.4241003295527e-08	7.75343512756468e-07	9.85499441780859	No
WP_003512715.1	-5.81630392857143	23.8247853061225	-8.49070192391599	1.64886424504363e-08	8.73452410887979e-07	9.71140779192514	No
WP_003515408.1	-2.35143651785715	27.9427597193878	-8.03919526038028	4.24302095859276e-08	2.18850554706363e-06	8.78390653088746	No
WP_003516143.1	1.49696651785714	28.3269775	8.00343786244753	4.57813366524373e-08	2.28187279428464e-06	8.70921561886609	No
WP_003513585.1	-4.51172955357143	21.8625662244898	-7.99542633022932	4.65688325364212e-08	2.28187279428464e-06	8.69245607355868	Yes
WP_003512420.1	-1.88265026785714	27.681110369898	-7.95204673687614	5.10817388681845e-08	2.44095190658466e-06	8.60155110076815	No
ADU74249.1	-8.32880821428571	24.7711464923469	-7.94095707320485	5.2306112283957e-08	2.44095190658466e-06	8.57826913836186	No
WP_003517942.1	-4.54994044642857	22.3844935204082	-7.86118790758298	6.20521288150355e-08	2.82842261575511e-06	8.41028640069831	No
WP_003516353.1	-3.74548589285714	24.9829024744898	-7.77995367976954	7.39100405692834e-08	3.29235635263171e-06	8.23829395297977	No
WP_003516462.1	-2.39663669642857	27.8176759566327	-7.71228025912205	8.55587588618379e-08	3.72655927487116e-06	8.09430230236632	No
WP_003512627.1	-2.11423982142857	29.1666115178571	-7.69524044746249	8.87790879588559e-08	3.78276113911647e-06	8.05794435262714	No
WP_003512405.1	1.51375321428571	28.9832069770408	7.65215053459011	9.74906771820738e-08	4.0655686654652e-06	7.96582106899949	No
WP_003513101.1	-6.10564883928572	22.1905446173469	-7.59626121548177	1.10116178498964e-07	4.49641062204103e-06	7.84594545100163	No
WP_003516841.1	1.610855625	27.3270383545918	7.56876889178812	1.16932023849724e-07	4.6022288989803e-06	7.78681734994655	No
WP_003515847.1	1.67433276785715	26.9537888010204	7.56692732518404	1.17403798443375e-07	4.6022288989803e-06	7.78285289176846	No
WP_003513368.1	2.16922875	27.0180596811224	7.49586735660174	1.37185350047186e-07	5.27222129593105e-06	7.62951603625664	Yes
WP_003516459.1	-4.78798116071429	22.1559282142857	-7.44388218022892	1.53803105539905e-07	5.79719397804257e-06	7.51689444734456	No
WP_003516871.1	2.49294366071429	26.2023756887755	7.22240960556444	2.51340046672534e-07	9.2948394618522e-06	7.03290913151104	No
WP_003517950.1	-2.67108982142857	25.4024998086735	-7.1426067294825	3.00473305933744e-07	1.08925298480951e-05	6.85687053610431	No
WP_003520766.1	2.39168607142857	26.3580278188776	7.13320320444574	3.0687895858857e-07	1.08925298480951e-05	6.83607029155871	Yes
WP_003513987.1	2.89149410714286	21.0451966964286	7.12695127894572	3.11215138517002e-07	1.08925298480951e-05	6.82223465683902	Yes
WP_003517375.1	4.09471571428571	26.2133765816327	7.1054328584004	3.26626290280595e-07	1.1231360157017e-05	6.7745736638556	No
WP_003517348.1	2.76521741071429	28.4015548341837	7.06795213941259	3.55365085708394e-07	1.20088891032492e-05	6.6914091110882	No
WP_003519375.1	4.47926223214286	28.4633114923469	7.02725695605328	3.89519417381608e-07	1.29399670858975e-05	6.6008988759731	No
WP_003513615.1	-2.54544392857143	26.7561180612245	-6.92082497839738	4.95680356532315e-07	1.61922249800556e-05	6.36314173428827	No
WP_003513566.1	-6.94752723214286	23.9593738903061	-6.90103860447579	5.18478529529626e-07	1.65940163522543e-05	6.31877628797641	No
WP_003517366.1	6.10551339285714	22.0558483418367	6.89561553029297	5.24912762163145e-07	1.65940163522543e-05	6.30660757924323	No
WP_003511715.1	1.678453125	28.7211914540816	6.86392751482494	5.64180343168859e-07	1.75522773430312e-05	6.23542662960418	No
WP_003515281.1	-3.56760348214286	24.5389612627551	-6.84407248500692	5.90306452292442e-07	1.8078135101456e-05	6.19075939638513	No
WP_003515517.1	6.33313357142858	24.7481234566327	6.79401256735222	6.61822158923427e-07	1.97498770680775e-05	6.07791400464798	No
WP_003514918.1	6.33775366071428	24.5706788392857	6.79045416960254	6.67231892090543e-07	1.97498770680775e-05	6.0698803058862	No
WP_014522595.1	5.37022223214286	26.4015687818878	6.78531599111627	6.75123348755712e-07	1.97498770680775e-05	6.05827709907591	No
WP_003518607.1	1.60356901785714	26.7622375510204	6.69095343378735	8.38335171779082e-07	2.39750389224761e-05	5.84458293135843	No
WP_003518761.1	1.578349375	27.9190216326531	6.68801635590713	8.44019227372884e-07	2.39750389224761e-05	5.83791340687092	No
WP_003518712.1	-3.59897946428571	27.5467102487245	-6.6804144595941	8.58914893120818e-07	2.40496170073829e-05	5.82064593188527	No
WP_003517485.1	-2.19635589285715	27.7020754145408	-6.65890668293769	9.02533334559436e-07	2.4915004728683e-05	5.77175215113029	No
WP_003519285.1	-2.29384330357143	26.4670418877551	-6.63518264664171	9.53283686224333e-07	2.53778606990021e-05	5.71775262266916	No
WP_003519383.1	1.76663785714286	27.4792283163265	6.63410557418325	9.55655880386414e-07	2.53778606990021e-05	5.71529936595324	No
WP_003518337.1	-4.25266946428571	22.1302394132653	-6.63297892903312	9.58143720268447e-07	2.53778606990021e-05	5.71273304166765	No
WP_003513095.1	-6.61962026785714	21.5966582653061	-6.6227101072417	9.81126924263126e-07	2.56401169540764e-05	5.68933492562089	No
WP_003513046.1	-4.20372071428572	21.5321740306122	-6.57331843882279	1.09981482057656e-06	2.8363645372764e-05	5.57660953568327	No
WP_003514505.1	2.16618803571428	24.7824971173469	6.43902673828039	1.50250915364769e-06	3.82456875473959e-05	5.26860401410747	No
WP_003516296.1	1.50606598214285	28.1881334056122	6.41783308287804	1.57865611855945e-06	3.96687947740581e-05	5.21979603542392	No
WP_003512950.1	-3.48085973214286	22.3007623852041	-6.41036994283472	1.60639997626502e-06	3.98549867529042e-05	5.20259602987206	No
WP_003513130.1	1.88824348214285	30.5832190561224	6.40231403374418	1.63690709640215e-06	4.01042238618526e-05	5.18402246388057	No
WP_003517379.1	3.412976875	26.036464005102	6.37897521799176	1.7286748415296e-06	4.18296628320742e-05	5.13016950187265	No
WP_003516148.1	-1.49632089285714	23.9022943367347	-6.37098848189303	1.76127199311512e-06	4.20986964208005e-05	5.11172580986891	No
WP_003517965.1	-2.61468830357143	23.6974516454082	-6.35285173461305	1.83764807897571e-06	4.33950630697879e-05	5.06981496705922	No
WP_003516483.1	-3.04841821428572	26.3979466581633	-6.34035932138854	1.8922156391535e-06	4.4151698246915e-05	5.04092479780903	No
WP_014522631.1	-2.87842553571429	26.4134354719388	-6.32181491683193	1.97628774958343e-06	4.55708704609827e-05	4.99800516412544	No
WP_003517181.1	1.579593125	27.0536728061224	6.30922331972904	2.0355384951702e-06	4.63913424480651e-05	4.968840117329	No
WP_003517539.1	-4.36653491071429	22.9561818112245	-6.29832205283938	2.08829929793497e-06	4.70467428040521e-05	4.94357547310521	No
WP_003514463.1	-6.25607651785715	22.1620064285714	-6.24684268559314	2.35697527519914e-06	5.24962674930716e-05	4.82408343661699	No
WP_003513564.1	-5.56282741071428	22.9660065178571	-6.23409524220959	2.42879672776812e-06	5.34881077126462e-05	4.79444797055105	Yes
WP_003514166.1	-4.50651616071429	24.1075763392857	-6.22111896028447	2.50420372803624e-06	5.45359922994559e-05	4.76426166949548	No
WP_003519476.1	-3.92706267857142	25.9477113265306	-6.19962638275573	2.63439676976805e-06	5.66900193789832e-05	4.71422262040683	Yes
WP_003512313.1	-1.670578125	27.9820373086735	-6.1953745794392	2.66096009329921e-06	5.66900193789832e-05	4.7043174508386	No
WP_003515919.1	-4.86018053571429	25.1231865688775	-6.15472951493649	2.92910997297889e-06	6.17317800756841e-05	4.60952792536502	No
WP_003513423.1	1.62313750000001	26.9062130994898	6.03480813896236	3.89250286237247e-06	8.11628256409579e-05	4.32880942274978	No
WP_003519056.1	-1.503533125	28.2454986734694	-6.02895829074551	3.94703160334766e-06	8.14334941322255e-05	4.31507664143337	No
WP_003514187.1	1.92514116071428	30.0514908928571	6.0058357409748	4.1702981171988e-06	8.51435865594755e-05	4.26076049893512	Yes
WP_003518605.1	1.26900571428571	29.2831825127551	5.95512199047192	4.7061493707416e-06	9.50933274912735e-05	4.14143816162499	No
WP_003512244.1	1.777998125	27.5422977423469	5.91538443495632	5.17469374257053e-06	0.000103493874851411	4.04775919830775	Yes
WP_003513509.1	3.12356544642857	21.7950238392857	5.88473546493789	5.56833332245082e-06	0.000110241750626299	3.97539883059668	No
WP_003517403.1	-4.30292892857143	21.7658134821429	-5.85276861284093	6.01145847329376e-06	0.000117162872889177	3.89982921495897	No
WP_003517972.1	-2.70560169642857	25.0415647321429	-5.8509670785554	6.03747457235042e-06	0.000117162872889177	3.89556744916061	No
WP_003513902.1	-1.83017669642857	26.4735546811225	-5.84049895939213	6.19092945052725e-06	0.000118962958068955	3.87079758011357	No
WP_003518714.1	-2.55407357142857	25.8150263010204	-5.82885632425033	6.36627084888227e-06	0.000121144571493294	3.84323625613433	No
WP_003518492.1	-3.72438946428572	22.1383975637755	-5.79397582488727	6.92243757028191e-06	0.000129897987686139	3.76058782021545	No
WP_003515917.1	-2.56693383928571	23.992620994898	-5.79179438175998	6.9588207689003e-06	0.000129897987686139	3.75541516119312	No
WP_003519322.1	4.245385	23.1407293112245	5.75230391232613	7.6521634450403e-06	0.000141492833512066	3.6616990307359	Yes
ADU75560.1	-1.57307883928571	28.009616747449	-5.73174576876103	8.04051716804256e-06	0.000147284239713677	3.61285554860908	No
WP_003512371.1	-2.27540241071429	26.472244872449	-5.70251017683251	8.62758591704037e-06	0.000156574707383325	3.54333041143607	No
WP_003515836.1	1.72341178571428	25.3757079591837	5.6969490480861	8.74409785610349e-06	0.000157233319247366	3.53009693437783	No
WP_003520963.1	1.28614071428572	28.6177050637755	5.66075693601299	9.5424588563116e-06	0.000170029266894279	3.44390695386832	No
WP_003518690.1	-1.64210866071429	25.9976882397959	-5.65432251331415	9.69196933521819e-06	0.000171137476549799	3.42857182875525	No
WP_003518456.1	-1.18559616071428	27.1225482270408	-5.63006722812411	1.02772887750798e-05	0.000179852553563897	3.37073274742961	No
WP_003517206.1	1.92448473214286	27.162959375	5.61504759954735	1.06576167824602e-05	0.000184857777819664	3.33489222117637	No
WP_003513185.1	-1.92927446428571	25.0136302678571	-5.59873081253528	1.10870190625541e-05	0.000190618924233386	3.29593517812861	No
WP_003517383.1	5.80182053571429	24.8886452295918	5.5904511880906	1.13115893266195e-05	0.000192788826784123	3.27615886008181	No
WP_003512678.1	-4.10568616071428	21.6827866836735	-5.55395902405145	1.23577532164574e-05	0.000208803416416004	3.18892943624176	No
WP_003515606.1	-8.86857214285714	24.9536201913265	-5.54079790291567	1.275871989141e-05	0.000213735820403108	3.15744362433064	No
WP_003517378.1	4.69968392857143	27.2764825382653	5.52648153415694	1.32098983717923e-05	0.000219418650921296	3.1231786969649	No
WP_003518357.1	-6.115096875	21.3199671173469	-5.51941714031994	1.34384648814968e-05	0.000221339421577594	3.10626486499989	No
WP_003517446.1	-3.03983330357143	20.5113491836735	-5.480121503049	1.47851412714082e-05	0.000241490640766333	3.01211248692237	No
WP_003519012.1	4.53857758928571	24.1661459693878	5.46089538492849	1.54931293723801e-05	0.000250963087354256	2.96600470236303	No
WP_003513047.1	-5.66120696428572	23.0329982270408	-5.44193304129087	1.62250979649758e-05	0.000260665508289776	2.92050310640544	No
WP_003513222.1	-5.14169607142858	24.2658682015306	-5.42614580188336	1.68611998960774e-05	0.000267856498031849	2.88260076258667	No
WP_003513387.1	1.58470178571429	27.0283521045918	5.42408635543486	1.69460233448721e-05	0.000267856498031849	2.8776550982402	No
WP_003513430.1	1.851228125	27.544667244898	5.4165240480431	1.72612240560078e-05	0.000270655993198202	2.85949201661359	Yes
WP_003519039.1	1.09926535714286	31.5322316454082	5.41025554856535	1.75269995521217e-05	0.000272642215255226	2.84443336416194	No
WP_003513251.1	-1.40308071428571	28.7746754719388	-5.37562837722721	1.90717060045148e-05	0.000294334990305898	2.76120078812047	Yes
WP_003512113.1	3.94511732142857	25.1131846556122	5.36619579820856	1.95159209500388e-05	0.000298837539547469	2.73851388346945	No
WP_003517364.1	3.13289053571429	25.3562332653061	5.33445553329394	2.10891565439731e-05	0.000320424394001451	2.66213044244095	No
WP_003517583.1	2.86959017857143	22.8934136734694	5.32965210224514	2.13381936277984e-05	0.000321714303926806	2.65056525075162	No
WP_003518239.1	-1.12415839285714	28.0469780612245	-5.31736938990992	2.19886317704153e-05	0.000328990215801634	2.62098559972693	No
WP_003512175.1	0.901295446428566	30.1387657653061	5.27940846786299	2.41286204218031e-05	0.000358273454747986	2.52950778950319	No
WP_011837932.1	1.71147901785715	27.4561339413265	5.25995575096625	2.53057566576761e-05	0.000372926940218385	2.48259729204885	No
WP_003517483.1	-3.37349642857142	25.2536444897959	-5.2555459254006	2.5580591337581e-05	0.000374163873295961	2.4719598593362	No
WP_003518707.1	-2.73773526785715	20.3607044515306	-5.24546436076311	2.62203093039691e-05	0.000380680046190959	2.4476367847367	No
WP_003518755.1	3.90984366071429	22.9958962372449	5.22526728618927	2.75510298846706e-05	0.000397058960102606	2.39889141137225	No
WP_003515288.1	-4.75322571428571	21.7474066071429	-5.22072295628258	2.78597394204886e-05	0.000398577293898962	2.38792059784022	No
WP_003519439.1	-4.74348919642857	22.5777233290816	-5.21680249952576	2.81288779520008e-05	0.000399511599897983	2.37845501209822	No
WP_003513583.1	-1.61317482142857	30.5847455102041	-5.21054492760107	2.85639193883671e-05	0.00040277181295827	2.3633449371123	No
WP_003512652.1	3.4057784375	23.1193278507653	5.20459449456804	2.89839200666328e-05	0.000405774880932859	2.34897454041808	No
ADU75526.1	3.423039375	20.6995593239796	5.16333971297712	3.20727980956137e-05	0.000445834640194347	2.24929227143943	Yes
WP_003517208.1	1.31292875	27.130277627551	5.14835427178582	3.32754767584929e-05	0.000459295313004549	2.21306209260425	No
WP_003516139.1	3.65830732142857	24.82787625	5.14100855469735	3.38815673367894e-05	0.000464390713147603	2.19529838208546	No
WP_003513811.1	-4.01737982142857	24.367367372449	-5.12941291151194	3.48611095849896e-05	0.000474498436017914	2.16725203803939	No
WP_003517398.1	-3.19734053571429	21.4495410969388	-5.05539502701008	4.18250872085786e-05	0.000565359799509063	1.98808114114855	No
WP_003513590.1	-1.51444964285714	26.6561898469388	-5.0521258371158	4.21632050238602e-05	0.000566026587991548	1.98016218481614	No
WP_003517355.1	1.84669723214286	28.1126569132653	5.04264738544712	4.31592008028249e-05	0.000575456010704333	1.95720010643837	No
WP_003516527.1	1.04380151785714	29.3549602423469	5.02296450067826	4.53040178360604e-05	0.000599167512698846	1.90950595165117	No
WP_003517649.1	1.16235839285714	25.6163389668367	5.02077678581376	4.55489588735348e-05	0.000599167512698846	1.90420392165811	No
WP_003518218.1	-1.071390625	27.9930396683673	-5.01768591714339	4.58972986702124e-05	0.000599724702624109	1.8967127497461	No
WP_003515355.1	1.47564991071429	24.3836287755102	5.00409932582385	4.74606672435425e-05	0.000616045747002274	1.86377947488181	No
WP_003515563.1	-3.71401741071429	25.1753444770408	-4.97527591655034	5.09575467900507e-05	0.000657084155976969	1.79389114365297	No
WP_003516360.1	1.53049285714286	27.9541455612245	4.96367921591352	5.2436765249952e-05	0.000671738953528796	1.76576461499003	Yes
WP_003516105.1	-2.557966875	25.4284610586735	-4.92997527925631	5.69863668044198e-05	0.000721257663620857	1.68399540906134	No
WP_003518658.1	-1.07495285714286	28.3738314668367	-4.92960688939056	5.70382336026698e-05	0.000721257663620857	1.68310146952082	No
