C0 (167 genes)	C1 (76 genes)	C2 (56 genes)	C3 (19 genes)	C4 (16 genes)	C5 (51 genes)	C6 (32 genes)	C7 (41 genes)	C8 (84 genes)	C9 (51 genes)	C10 (79 genes)	C11 (56 genes)	C12 (41 genes)	C13 (17 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
WP_003511658.1	WP_003512590.1	WP_003512799.1	WP_003514493.1	WP_003517100.1	WP_003513026.1	WP_003514245.1	WP_003513362.1	WP_003512626.1	WP_003513527.1	WP_003512988.1	WP_003513498.1	WP_003513185.1	WP_003517221.1
WP_003511674.1	WP_003512676.1	WP_003512807.1	WP_003514572.1	WP_003517262.1	WP_003513117.1	WP_003514315.1	WP_003513388.1	WP_003512965.1	WP_003513786.1	WP_003513261.1	WP_003513674.1	WP_003513536.1	WP_003517930.1
WP_003511696.1	WP_003512699.1	WP_003512894.1	WP_003514573.1	WP_003517490.1	WP_003513301.1	WP_003514614.1	WP_003513777.1	WP_003513126.1	WP_003514163.1	WP_003513364.1	WP_003514194.1	WP_003514478.1	WP_003518361.1
WP_003511964.1	WP_003512797.1	WP_003513231.1	WP_003515533.1	WP_003518237.1	WP_003513352.1	WP_003514796.1	WP_003513780.1	WP_003513139.1	WP_003514215.1	WP_003513509.1	WP_003514326.1	WP_003514654.1	WP_003518457.1
WP_003511984.1	WP_003512801.1	WP_003513361.1	WP_003515648.1	WP_003518450.1	WP_003513610.1	WP_003514852.1	WP_003513825.1	WP_003513220.1	WP_003514293.1	WP_003513535.1	WP_003514456.1	WP_003514660.1	WP_003518813.1
WP_003512019.1	WP_003512850.1	WP_003513413.1	WP_003515764.1	WP_003519437.1	WP_003513615.1	WP_003515457.1	WP_003513950.1	WP_003513296.1	WP_003514305.1	WP_003513782.1	WP_003514635.1	WP_003514839.1	WP_003519375.1
WP_003512026.1	WP_003512852.1	WP_003513578.1	WP_003516579.1	WP_003520408.1	WP_003514187.1	WP_003515634.1	WP_003514134.1	WP_003513304.1	WP_003514581.1	WP_003513827.1	WP_003514667.1	WP_003514847.1	WP_014522595.1
WP_003512034.1	WP_003512867.1	WP_003513649.1	WP_003516876.1		WP_003514207.1	WP_003515791.1	WP_003514625.1	WP_003513356.1	WP_003514587.1	WP_003513891.1	WP_003514681.1	WP_003515022.1	WP_014522611.1
WP_003512035.1	WP_003512950.1	WP_003513828.1	WP_003518588.1		WP_003514338.1	WP_003516134.1	WP_003515365.1	WP_003513534.1	WP_003514651.1	WP_003514085.1	WP_003515478.1	WP_003515597.1	
WP_003512097.1	WP_003512981.1	WP_003513911.1	WP_003519966.1		WP_003514745.1	WP_003516374.1	WP_003515551.1	WP_003513592.1	WP_003514656.1	WP_003514144.1	WP_003515507.1	WP_003515602.1	
